sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Tianjin,Pingyao,Kunming,Shanghai,Lanzhou,Shantou
60,poləŋkar,kʰeɕitʰər,kʰɛɕitʰəu,kʰiɛʔɕiʔtʰɛutsɹ̩,kʰatʰauhu,kəʔtikʰuei,sɐttʰɐu,ɕidəɯku,pɔɕjkɛ,kʰɐʔtɕʰiəʔtʰɯ,tsʰittʰeuhoŋ,ɕiəʔkʰodei,kʰɤtɕʰitʰəu,pɤləŋkar,kʰɯtɕʰikai,pɤɕikɛr,tɕakʰydɤu,poliŋkar,kʌʔɕiʌʔkʰuætsʌʔ,kʰəɕitʰəu,tɕiaʔmødɤ,pəɕikɛtsɹ̩,kʰatʰauu
61,tʰuei,tʰueikan,patʰuei,tɕiɔʔ,tʰui,tʰuei,kœk,tʰəipɒtsɹ̩,tʰuɨ,tʰe,kiok,tɕiɑʔpʰɑŋ,tʰei,tʰuei,tʰuei,tʰuei,tʰai,tʰuei,tʰuæ,tʰueitu+Hpɔ,tɕiaʔpʰɑ̃,tʰuei,kʰa
62,tiɛ,pa,papa,pɑʔ,hutsʰin,lautsəʔ,papa,tietie,tata,pɐʔpɐʔ,apa,pɑpɑ,futɕʰin,pa,pa,papa,apa,pɑ,tiɤ,tiɛ,tiatia,tiə,apa
63,niɑŋ,ma,ma,m̩mɑ,butsʰin,ma,mama,m̩mɒ,m̩ma,mai,ame,mɑmɑ,moŋtɕʰin,ma,ma,ma,ama,mɑ,mɑŋ,mɐ,m̩ma,ma,anã
64,iɛiɛ,ieie,iɛiɛ,kuŋkuŋ,akɔŋ,ieie,ajɛ,kənkən,iiɛ,tete,akuŋ,tiɑtiɑ,tsəufu,iɛiɛ,iɛ,iɤiɤ,aji,ieie,iɤiɤ,lɔtiɛ,lɔtia,iəiə,akoŋ
65,nainai,pʰopʰo,tʰaitʰai,pʰopʰo,abã,nainai,ama,ŋaidʑi,nɛnɛ,lɤlɤ,apʰo,nɤnɤ,tsəumoŋ,nai,nai,nainai,ɲiɲi,nainai,ɲiɑɲiɑ,næ,n̩na,lɛlɛ,amã
66,taiɛ,pepe,pɛpɜ,tʰaipɑʔ,apeʔ,taie,pakfu,pɒpɒ,tata,tapɐʔ,apak,pɑʔpɑʔ,pɤpɤ,taiɛ,pei,peipei,papa,tɑie,teiiɤ,tɐtiɛ,paʔpaʔ,tata,apeʔ
67,tama,peɲiaŋ,pɛma,tʰaimɑ,am̩,taniɒ̃,paknœŋ,pɒdʑi,mama,tata,pakme,dɑmɑmɑ,pɤmoŋ,taniaŋ,mama,tama,amo,tɑniɑŋ,tɑiɲiɑŋ,tɐmo,paʔmu,mama,am
68,ʂur,pər,susu,suʔ,atsik,suəʔsuəʔ,asuk,ʂəɯʂəɯ,papa,i,asuk,ɕiɔpɑʔpɑʔ,səusəu,ʂu,pa,fufu,aɕɤy,paipai,lɔlɔ,iɛiɛ,ɦiasoʔ,papa,atsek
69,ʂər,sənsən,sensen,sɨntsɹ̩,atsim,səŋsəŋ,asɐm,ʂəndʑi,ʂə̃tsɹ̩,ʂəntsə,sukme,senniɑŋ,səumoŋ,ʂər,niaŋ,ʂɤŋʂɤŋ,asaŋ,ʂər,ʂəŋʂəŋ,ʂə̃ʂə̃,səŋɲiã,ʂə̃nʂən,asim
70,lɑuiɛ,uaikoŋ,koŋkoŋ,ŋɑkuŋ,guakɔŋ,lauie,akuŋ,uaikən,uɨi,uɤtete,ŋoiakuŋ,ɦuɤkoŋ,uaitsəufu,lauiɛ,iɛ,vaiiɤiɤ,aji,lɑuie,tɕiɑŋiɤ,koŋkoŋ,ŋakoŋ,vɛiə,guakoŋ
71,lɑulɑu,uaipʰo,pʰopʰo,ŋɑpʰo,guabã,launiɒ̃,pʰɔpʰɔ,uaibo,uɨnɛnɛ,uɤlɤlɤ,ŋoiapʰo,ɦuɤbo,uaitsəumoŋ,laur,nai,vainainai,ɲiɲi,lɑulɑu,pæpæ,pʰopʰo,ŋabu,vɛlɛlɛ,guamã
72,tɕioutɕiou,tɕiəutɕiəu,tɕiəutɕiəu,mutɕʰiu,aku,tɕiəutɕiəu,kʰɐufu,dʑiəɯiɒ,atɕiɯ,tɕiɯtɕiɯ,akʰiu,niɑŋdʑiø,tɕiəufu,tɕiou,tɕiou,tɕiɤutɕiɤu,dʑaudʑau,tɕioutɕiou,tɕiəutɕiəu,tɕiəutiɛ,ɲiãdʑiɤ,atɕiou,aku
73,tɕiouma,tɕiəumər,tɕiəuma,tɕʰiumu,akim,tɕiəŋtɕiəŋ,kʰɐmmou,dʑiəɯɲian,tɕiɯmv̩,tɕiɯmə,kʰiume,dʑiøm̩,tɕiəumoŋ,tɕioumu,tɕiẽtsɹ̩,tɕiɤumu,,tɕioumu,tɕiŋtsʌʔ,tɕiəumɐ,dʑiɤma,tɕioumu,akim
74,nanʐən,naukoŋ,lanzen,lɑukuŋ,hu,lauxæ̃,loukuŋ,ŋaiin,nɔmə̃tsɹ̩ʐə̃,lɔtiəʔmən,laukuŋ,lɔkoŋ,tsaŋfu,tʂaŋfu,nyɕi,nanʐɤŋ,lɜkoŋ,tɑŋtɕiɑtie,nɑŋʐəŋ,nɐ̃ʐə̃,eɲiŋ,lɛ̃nʐə̃n,aŋ
75,ɕifər,naupʰo,lilɛ,lɑupʰo,tsʰe,laupʰɤ,loupʰɔ,ŋaiin,nɔmə̃tɕial̩tsɹ̩,lɤlɤmən,laupʰo,lɔbo,tɕʰitsɹ̩,laupʰɤ,ɕifuər,lɔpʰɤ,lɜjy,tɕiɑliti,lɔpei,pʰoniɐ,eɲiŋ,ɲyʐə̃n,bou
76,ərtsɹ̩,ər,ə˞tsɹ̩,tsai,kiã,ɕiautsəʔ,tsɐi,tsai,ɛtsɹ̩,atsə,laiie,əltsɹ̩,ɯtsɹ̩,ə˞tsɹ̩,ər,ə˞tsɹ̩,ŋ̩,ɘrtsə,ɕiɔtsʌʔ,ətsɹ̩,ɲitsɹ̩,ɯtsɹ̩,kiã
77,kueiny,ɲyər,kuliaŋ,ɲy,tsabokiã,kueiny,nøy,ɲytsaidʑi,kv̩ɲiɔ̃,iatʰɯ,moiie,nɥəl,nyɯ,kuniaŋ,ny,ɲyə˞,naŋ̩,kuənny,tɕynzɥ,nuə,nøŋ̩,kuɲiɑ̃,tsaukiã
78,tsɑutʂʰɑŋfan,tsaufan,kotsao,tsɑufan,tsatŋ̩,tsautɕʰiəŋfæ̃,tsoutsʰan,tsaɯɸan,tsɔfã,tsɔfæ̃,səttsau,tsɔvɤ̃,kuotsau,tsauʂaŋfan,kãtsaufã,kantsɔfan,tʰikuɔdzɹ̩,tianɕin,tsɔtɕʰixuɑŋ,tsɔtiɛ̃,tsɔve,tsɔfɛ̃n,mẽtsa
79,ʂɑŋufan,ufan,tsoŋufan,tsuŋfan,tioŋtautŋ̩,sɒ̃vufæ̃,ŋtsʰan,tʂənuɸan,v̩fã,tʂəŋfæ̃,səttsu,tsoŋvɤ̃,tsoŋfan,ʂaŋufan,ʂaŋufã,tʂuŋvufan,netɕɤudzɹ̩,tsɑufan,suəuxuɑŋ,tsɔfɐ̃,tsoŋve,ʂɑ̃vu,ziktau
80,uanfan,uanfan,uanfan,iɑfan,amtŋ̩,xəʔiefæ̃,mantsʰan,iɒɸan,xɨfã,uæ̃fæ̃,sətia,ɦivɤ̃,uanfan,uanʂaŋfan,xeiliɛfã,ɕiavufan,ɦaɕydzɹ̩,vanfan,xʌʔtɕiɑŋxuɑŋ,uɐ̃fɐ̃,ɦiave,xəfɛ̃n,mẽam
81,miantʰiɑur,mian,mian,miɛn,bĩ,mie,min,miẽ,miã,miɪ̃tʰiɔ,mien,miɤ̃,miɛn,miantʰiaur,miã,miantʰiɔr,mi,miantʰiɑur,kɑŋmiɤ,miɛ̃,mi,miɛ̃ntʰiɔtsɹ̩,mĩ
82,mantʰou,mantʰəu,mantʰəu,momo,bantʰo,mɤmɤ,mantʰɐu,momo,mɔmɔ,tamʊ,mantʰeu,muõdei,mantʰəu,mantʰou,tʂəŋmo,mɤmɤ,zaisaŋpuɔ,mantʰou,meimei,mɐ̃tʰəu,mødɤ,məmə,maŋtʰau
83,pɑutsɹ̩,pautsɹ̩,paotsɹ̩,pɑutsɹ̩,paua,pautsəʔ,pau,paɯtsɹ̩,pɔtsɹ̩,pɔtsə,pauve,muõdei,pautsɹ̩,pautsɹ̩,pautsɹ̩,pɔtsɹ̩,mødɤu,pɑutsə,pɔʐʌʔ,pɔtsɹ̩,mødɤ,pɔtsɹ̩,pau
84,xuntʰun,tsʰausəu,kʰuentʰen,tɕʰintʰɔŋ,piensip,xuəŋtuəŋ,wɐntʰɐn,ɸəntən,xuə̃tuə̃,tɕiɔtsə,kiauve,ɦunden,xuəntən,xuəntuən,xuẽtʰuẽ,xuŋtʰuŋ,vaŋdaŋ,xuəntʰuən,xuŋtuŋ,tɕiɔ,ɦuəŋdəŋ,xũntʰũn,kiau
85,tsʰu,tsʰu,tsʰu,ɕiɛutɕiu,tsʰo,tsʰu,tsʰou,tsʰəɯ,tɕʰy,tsʰu,sontsʰɹ̩,tsʰu,tsʰəu,tɕixuei,tsʰu,tsʰu,tsʰøy,tsʰu,tsʰəu,suɐ̃tsʰu,tsʰu,tsʰu,tsʰou
86,tɕiɑŋiou,tɕiaŋiəu,tɕiaŋiəu,tɕiɔŋiu,tauiu,tɕiɒ̃iəu,sijɐu,tsianiəɯ,tɕiɔ̃iɯ,tɕiɑ̃iɯ,pʰakmi,tɕiɑŋɦiø,tɕiaŋiəu,tɕʰiŋtɕiaŋ,tɕiaŋiou,tɕʰiŋtɕiɑŋ,tɕijau,tɕʰiŋtɕiɑŋ,tɕiɑŋiəu,tɕʰĩtɕiɐ̃,tɕiãɦiɤ,tɕʰĩntɕiɑ̃,siiu
87,ian,ian,ianpa,iɛn,iam,ɕieie,jim,iẽ,iã,iɪ̃,iam,ɦiɤ̃,iɛn,ɕianian,iã,tɕʰiŋtɕiɑŋɕianian,ji,ian,ɕiɑŋiɤ,iɛ̃pɐ,ɦi,iɛ̃n,iam
88,kʰuaitsɹ̩,kʰuaitsɹ̩,kʰuaitsɹ̩,kʰuaitsɹ̩,ti,kʰuaitsəʔ,faitsi,kʰuaitsɹ̩,kʰuɛtsɹ̩,kʰiɤtsə,kʰuaiie,kʰuɤəl,kʰuaitsɹ̩,kʰuaitsɹ̩,kʰuaitsɹ̩,kʰuaitsɹ̩,dzei,kʰuaitsə,kʰuætsʌʔ,kʰuə,kue,kʰuɛtsɹ̩,tɯ
89,ʂɑutsɹ̩,pʰiaukər,pʰiaoə˞,sɔʔtsɹ̩,tʰŋ̩si,tʰiaukəŋ,tsʰikɐŋ,diaɯkən,fɔfɔ,ʂuɐʔtsə,soke,zoʔəl,suotsɹ̩,ʂautsɹ̩,fofor,fɤfɤtsɹ̩,tʰiɛŋ̩,ʂɑur,sɹ̩sɹ̩,tʰiɔkə̃,zoʔtsɹ̩,fətsɹ̩,tʰɯŋsi
90,iɛmər,nanzən,lanlɛ,lanko,tapɔ,næ̃təʔ,namjɐn,naninkɒ,nãʐə̃,læ̃tiəʔ,nammeŋin,nɤ̃zentɕiɑ,nannən,nanʐən,nãʐẽ,nanʐɤŋ,nøtsɹ̩kʰa,nanʐən,xɑŋ,nɐ̃nə,nøɲiŋ,lɛnʐə̃n,tapou
91,nyʐən,ɲyzən,lilɛ,ɲyko,tsabɔ,nytəʔ,nøyjɐn,ɲyinkɒ,mjʐə̃,zɥtiəʔ,fuŋinka,nɥzentɕiɑ,nynən,nyʐən,nyʐẽ,ɲyʐɤŋ,lɜɲaŋkʰa,nyʐən,peiiməŋ,ninə,ɲyɲiŋ,ɲyʐə̃n,tsɯniõ
92,nanxar,nanuatsɹ̩,lanuaua,lantsaitsɹ̩,tapɔgĩna,næ̃vava,namtsɐi,ŋɒdʑi,kaua,ɕiɔsɹ̩,seakoe,nɤ̃ɦiɑəl,nanxai,ɕiautsɹ̩,uatsɹ̩,ə˞vatsɹ̩,nøŋ̩,ɕiɑutsə,ɕiɔtsʌʔ,nɐ̃uɐuɐ,nøɕiɔnø,ɯvatsɹ̩,tapoukiã
93,nyxar,ɲyuatsɹ̩,liuaua,ɲytsaitsɹ̩,tsabɔgĩna,nyvava,nøytsɐi,məidʑi,mjtsɹ̩,iatʰɯ,semoiie,nɥɦiɑəl,nyxai,iatʰou,nytsɹ̩,iatʰɤu,naŋ̩,kuənny,nzɥtsʌʔ,niuɐuɐ,ɲyɕiɔnø,ɲytsɹ̩,tsɯniõkiã
94,lɑutʰour,nautʰər,laotsei,lɑutʰɛutsɹ̩,lautualaŋ,lauxæ̃xæ̃,loujɐnka,naɯkɔntsɹ̩,lɔxã,lɔtʰɯtsə,lauapak,lɔdeiəl,nautietie,lautʰour,lauxã,lɔxan,lɜlɜ,lɑutʰour,lɔxɑŋ,lɔkuɐ̃ə,lɔkoŋkoŋ,lɔxɛ̃n,lautapou
95,iʂəŋ,isən,isen,isɛn,isiŋ,ɕiesəŋ,jisɐŋ,isən,ɕiãsə̃,zɹ̩sən,isen,ʔisen,isən,taifu,taifu,taifu,jisiɛ,taifu,isəŋ,isə̃,isã,ɕiɛ̃nʂə̃n,uiseŋ
96,taʂɻ̩fu,tsʰusɹ̩,tsʰutsɹ̩,tʰaisɹ̩fu,tsoŋpʰosaihu,tsʰutsəʔ,tsysi,dʑysɹ̩,tasɹ̩fv̩,tʂʰutsə,tsʰusɹ̩,dzɥvɑŋsɹ̩vu,tasɹ̩fu,taʂɻ̩fu,pfʰutsɹ̩,tʂʰutsɹ̩,dzɹ̩ɦuɔlɜsɹ̩,tsʰutsə,tsuʌʔxuɑŋtiʌʔ,tʂʰusɹ̩,zɹ̩sɹ̩,pfʰutsɹ̩,tousɯ
97,iɑufantə,tɕiauxuatsɹ̩,tɕiaoxuatsɹ̩,kɑufɑtsɹ̩,kʰittsiaʔ,tɕiauxuatsəʔ,hɐtji,kaɯɸɒtsɹ̩,ɕiə̃kʰɯ,tɕiɔxuatsə,kaufave,tɕiɔhuɑtsɹ̩,tɕʰikai,iaufanti,xãʐər,iɔfanti,kʰøŋ̩,iɑufanti,tɕiɔxuɑtsʌʔ,xuɐtsɹ̩,køhotsɹ̩,iɔtʂətʂʰɻ̩ti,kʰɯktsiaʔ
98,pɑumu,paumu,paomu,tɕiɲiɔŋ,linbu,paumu,kuŋjɐn,paɯmo,pɔmv̩,pɑ̃kəŋtiəʔ,paume,pɔmu,paumoŋ,laumatsɹ̩,yŋʐẽ,lɔmatsɹ̩,amo,naimɑtsə,liɔxeiʐʌʔtiʌʔ,pɔmu,ɲiãɦi,tsuxuəti,pom
99,piŋlə,pinno,senpinəu,pʰiɑŋliɛu,pʰuapĩ,pilie,pɛŋtsɔ,tʂobian,piəliɔ,pəʔxɔkʊ,potpʰiaŋ,senbintə,pinniau,piŋlə,piŋliɛ,piŋliɤ,siɛbeŋ,piŋlə,pʌʔtʌʔʂəu,pĩlə,sãbiŋ,pĩnxalɔ,naŋmõ
100,ʂɑŋfəŋ,saŋfoŋ,liaŋtao,sɔŋfuŋ,sioŋhoŋ,pʰiəʔtsulie,sœŋfuŋ,niantɒ,liɔ̃tʂʰuliɔ,ʂɑ̃fəŋ,soŋfuŋ,sɥɑŋfoŋ,saŋfoŋ,ʂaŋfəŋ,liaŋpfoliɛ,ʂɑŋfɤŋ,ɕihoŋ,ʂɑŋfəŋ,pʰiʌʔtsuʌʔliɑ,ʂɐ̃foŋ,sɑ̃foŋ,liɑ̃pfəlɔ,kuãtioʔ
101,nɑututsɹ̩,natutsɹ̩,tupʰipuxao,ɕiɑtʰu,lausai,tsʰuæ̃ɕi,tʰouɔ,təɯtsɹ̩o,latv̩tsɹ̩,pʰɔsɹ̩,olitu,dubidzɑ,ɕietəutsɹ̩,naututsɹ̩,pʰauxou,latutsɹ̩,seidøy,nɑututsɹ̩,pʰɔmɔtsʌʔ,ɕiɛtutsɹ̩,dubiza,pʰɔtutʂəli,lausai
102,tɕʰyɛtsɹ̩,paitsɹ̩,paitsɹ̩,kuaitsɹ̩,paikʰa,kuaitsəʔ,pɐikœklou,paitsɹ̩,tɕʰyutsɹ̩,tɕʰyɐʔtsə,paikioke,tɕʰiɔkuɤəl,potsɹ̩,tɕʰyɛtsɹ̩,potsɹ̩,tɕʰyɤtsɹ̩,pʰitɕa,tɕʰyetsə,kuætsʌʔ,pæpæ,tɕʰiɔtɕiaʔ,tɕʰyətsɹ̩,kuaikʰa
103,luokuor,tʰotsɹ̩,tʰotsɹ̩,tʰotsɹ̩,kʰiauku,peikuɤkuɤ,tʰɔpui,dotsɹ̩,pɨlɔkuɛ,tʰʊtsə,tʰopoiie,dopeilɔəl,tʰuotsɹ̩,luokuor,peikuotsɹ̩,luɤkuɤtsɹ̩,haupai,luokuor,pækueikuei,peiko,dutsɹ̩,peikuətsɹ̩,ioku
104,kɤrlə,sɹ̩no,sɹ̩əu,sɹ̩pɨʔlɛu,sia,sɹ̩lie,seitsɔ,naɯtɒ,mɔtiɔliɔ,pəʔtsɤlə,sipʰetle,sɹ̩liɔtə,sɹ̩niau,sɹ̩lə,sɹ̩liɛ,sɹ̩liɤ,sɹ̩ɦuɔ,sɹ̩lə,mɑliɑ,putsælə,ɕitʰəʔləʔ,sɹ̩lɔ,sikʰɯ
105,tɕʰiɑupiŋ,kʰanpin,kʰanpin,kʰɵnpʰiɑŋ,kʰuãpĩ,kæ̃piəŋ,tɐipɛŋ,kʰanbian,kʰãpiə̃,tɕʰiɔpin,kʰonpʰiaŋ,kʰɤ̃mɔbin,kʰanpin,kʰanpiŋ,kʰãpiŋ,kʰanpiŋ,tsʰɹ̩beŋ,kʰanpiŋ,liɔpi,tɕʰiɔpĩ,kʰøisã,kʰɛ̃npĩn,tʰõiuiseŋ
106,uo,ŋo,ŋo,ŋo,gua,ɣɤ,ŋɔ,ŋo,nɔ,ʊ,ŋai,ŋo,ŋuo,uo,ŋɤ,vɤ,ŋ̩,uo,ŋiɤ,o,ŋu,və,ua
107,ni,ɲi,li,n̩,li,ni,nei,ni,ɲi,li,n̩,ni,ni,ni,ni,ɲi,ɲi,ni,n̩,ni,noŋ,ɲi,lɯ
108,tʰa,tʰa,la,tɕie,i,tʰa,kʰøy,tʰɒ,tʰa,tʰa,ki,tʰɑ,tʰa,tʰa,tʰa,tʰa,gi,tʰɑ,uʌʔtɕiɑ,tʰɐ,ɦi,tʰa,i
109,uom,ŋomən,ŋomen,ŋomɨn,gun,ɣɤməʔ,ŋɔtei,ŋoin,nɔmə̃,ʊmən,ŋaitenŋin,ŋomen,ŋuomən,uomən,ŋai,vɤmɤŋ,ŋ̩le,uomən,ŋɑ,omə̃,aʔla,vəmə̃n,uaŋ
110,nim,ɲimən,limen,n̩mɨn,lin,niməʔ,neitei,ɲiin,ɲimə̃,limən,n̩tenŋin,nimen,nimən,nimən,ni,ɲimɤŋ,ɲile,nimən,ɲiɤ,nimə̃,na,ɲimə̃n,niŋ
111,tʰam,tʰamən,lamen,tɕiemɨn,in,tʰaməʔ,kʰøytei,tʰɒin,tɕiamə̃,tʰamən,kitenŋin,tʰɑmen,tʰamən,tʰamən,tʰati,tʰamɤŋ,gile,tʰɑmən,uʌʔtɕiɑmiɑ,tʰɐmə̃,ɦila,tʰamə̃n,inaŋ
112,tsam,ŋomən,ŋomen,ŋomɨn,lan,tsaməʔ,ŋɔtei,ŋoin,nɔmə̃,ʊmən,ŋaitenŋin,ŋomendɑtɕiɑ,ŋuomən,tsanmən,tsai,tsamɤŋ,ŋuɔɲi,tsanmən,tsʌʔməŋ,omə̃,aʔla,vəmə̃n,naŋ
113,tsɹ̩kɤr,kozən,tsɹ̩tɕi,tsʰɹ̩kan,kaki,tsɹ̩tɕia,tsikei,dzɹ̩kɒ,kutɕia,tsɹ̩tsɹ̩,tsʰɹ̩ka,dzɹ̩tɕiɑ,tsɹ̩tɕi,tsɹ̩tɕi,tsɹ̩kɤr,kɤʐɤŋ,zɹ̩,tsɹ̩kɤr,tsɹ̩tɕiɑ,tsɹ̩tɕi,zɹ̩ka,kətɕia,kaki
114,ʂei,nako,lako,lɑko,siã,suei,pinkɔ,nɒko,fɨ,xakə,manŋin,nɑkoʔ,nakuo,ʂei,sei,sei,ɲinaŋ,sei,suei,nɐkə,saɲiŋ,fei,titiaŋ
115,ʂəm,satsɹ̩,laŋtsɹ̩,sɨʔli,siãbĩʔ,səŋ,mɐt,ʂənmo,sa,xəŋkə,makke,sɑɕi,mosɹ̩,ʂa,sa,sa,gaɲi,mɑ,ʂəŋ,nɐiɐ̃,sa,sa,mĩʔkai
116,tʂɤr,tsər,tsɹ̩tɛ,koli,tsia,tsəʔlɤ,neitou,kotɔn,tʂɻ̩tʂa,tiɔtsə,eie,kəʔli,tsɤni,tʂeikar,tʂɤr,tseita,kelei,tɕiexər,tsæʐʌʔ,tʂɻ̩tiə,diɪʔtaʔ,tʂɻ̩tʰatʰa,tsiko
117,nar,nər,atɛ,heli,hia,vəʔlɤ,kɔtou,nɒtɔn,nɛtʂa,laɔtsə,keie,nɑli,nani,neikar,uor,neita,buɔta,nɑxər,uæʐʌʔ,nətiə,itaʔ,latʰatʰa,hɯko
118,nar,nər,latɛ,lɑli,toui,nalɤ,pintou,nɒtɔn,atʂa,lakətsə,ŋaike,nɑli,nani,neikar,ata,nata,ɲauduɔ,nɑxər,lɑʐʌʔ,nɐtiə,sadifɑ̃,latata,tiko
119,tʂɤkə,tseko,tsɹ̩ko,kotsɑʔ,tsitle,tsai,neikɔ,koko,tʂɻ̩kɔ,tikə,eke,tɕiəʔkoʔ,tsɤkuo,tʂeikɤ,tʂɻ̩kɤ,tseikɤ,kikai,tɕiekə,tsʌʔxuæ,tʂɻ̩kə,diɪʔgəʔ,tʂɻ̩ikə,tsikai
120,nakə,nako,ako,heko,hitle,vai,kɔkɔ,nɒko,nɛkɔ,lakə,keke,nɑkoʔ,nakuo,neikɤ,ukɤ,neikɤ,hekai,nɑkə,uʌʔxuæ,nəkə,igəʔ,lɛikə,hɯkai
121,nakə,nako,lako,lɑko,totsitle,nakuai,pinkɔ,nɒiko,akɔ,xaiəʔkə,ŋaike,nɑʔiəʔkoʔ,nakuo,neiikɤ,aikɤ,nakɤ,ɲaukai,neikə,lɑiʌʔxuæ,nɐkə,ɦaligəʔ,laikə,titsekkai
122,tsənmoiɑŋ,naŋko,tsakoiaŋ,lɔŋiɔŋ,antsuãiũ,tsaʔti,tim,ikai,amə̃tʂɛ,tsəniɑ̃,ŋioŋŋe,tɕiəʔkəʔtʰɔ,moiaŋ,tsaiaŋ,tsakɤɕiaŋ,tsamukɤ,tsɹ̩nanaŋ,nənməiɑŋ,tsɑtixuæ,tsɐkələ,nanəŋ,tsə̃nm̩lɔ,mĩʔsẽiõ
123,uei,ko,ko,ko,le,kuai,wɐi,tʂɒ,kɔ,kə,ke,ɦui,uei,uei,kɤ,kɤ,kai,,,,,,
124,ʂuaŋ,suaŋ,suaŋ,sɔŋ,siaŋ,tuei,tøy,sɔn,fɔ̃,ʂuɑ̃,suŋ,sɥɑŋ,suaŋ,ʂuaŋ,faŋ,fɑŋ,ɕyɔ,,,,,,
125,tʂʰuɑŋ,tsʰuaŋ,tsʰuaŋ,tsʰɔŋ,liã,tuei,tsʰɔŋ,dzɔn,tʂʰuɔ̃,tʂʰuɑ̃,fon,dzɥɑŋ,tsʰuaŋ,tʂʰuaŋ,pfʰaŋ,tʂʰuɑŋ,jyɔ,,,,,,
126,liɑŋ,tɕia,tɕia,pʰu,tai,kua,ka,bu,liɔ̃,kua,lioŋ,bu,niaŋ,liaŋ,liaŋ,liɑŋ,bu,,,,,,
127,tʰou,tʰiau,tʰiao,tsɑʔ,tsiaʔ,tuei,tsɛk,tʂɒ,tʰɯ,tʰiɔ,tʰiau,tsɑʔ,tʰiau,tʰou,kɤ,tʰɤu,dɤu,,,,,,
128,kʰou,kən,tʰiao,tsɑʔ,tsiaʔ,tuei,tsɛk,tʂɒ,kɔ,kʰɯ,tʰiau,tsɑʔ,tʰəu,kʰou,kɤ,tʰɤu,dɤu,,,,,,
129,ixuər,xər,tsen,iʔhɑtsɹ̩,le,tʰiəŋiəʔtsəŋtsəŋ,tsɐn,ɦɒ,xuɨ,,ha,çiəʔəl,,,,,,,,,,,
130,iɕiar,xa,xa,ha,pʰaʔtsitle,taiəʔxa,ha,ɦɒ,kua,,ha,tɕi,,,,,,,,,,,
131,ʂɑŋtʰou,saŋtʰəu,saŋtʰəu,sɔŋtʰɛu,tiŋtʰau,nautʰəu,sœŋpin,ʂɔndəɯ,ʂɔ̃tʰɯ,kɔtʰɯ,soŋpoi,kɔdei,saŋtʰəu,ʂaŋpiarla,ʂaŋtʰou,ʂɑŋtʰɤu,jimai,ʂɑŋtʰou,suətəu,ʂɐ̃ʂəu,zɑ̃dɤ,ʂɑ̃tʰou,teŋpõi
132,ɕiatʰou,ɕiatʰəu,ɕiatʰəu,hatʰɛu,ebin,xatʰəu,hapin,ɦɒdəɯ,xatʰɯ,tsɹ̩ɕia,hapoi,ɦiɑti,ɕiatʰəu,ɕiapiarla,tixa,xatʰɤu,ɦomai,ɕiɑtʰou,xɑtəu,ɕiɐʂəu,ɦodɤ,xatʰou,epõi
133,tsuopiar,tsopian,tsopian,tsopiɛn,topiŋ,tsɤpæ̃tɕʰiəʔ,tsɔpin,tsopiẽ,tsumiãɛ,tsʊpʊ̃kə,tsopʰien,tsopiɤ̃,tsuopiɛn,tsuopiarla,tsuoŋar,tsuɤpiɛr,tseiɕɤumai,tsuopiar,tɕiɤmiɤmiɤ,tsoʂəupiɛ̃,tsumi,tsuəʂou,totsʰiupõi
134,ioupiar,iəupian,iəupian,iupiɛn,tsiãpiŋ,iəupæ̃tɕʰiəʔ,jɐupin,iəɯpiẽ,iɯmiãɛ,iɯpʊ̃kə,iupʰien,ɦiøpiɤ̃,iəupiɛn,ioupiarla,iouŋar,iɤupiɛr,joŋɕɤumai,ioupiar,tʂɻ̩miɤmiɤ,iəuʂəupiɛ̃,ɦiɤmi,iouʂou,tsiãtsʰiupõi
135,tɑŋtɕiar,tsoŋtɕian,taŋtsoŋ,tɔŋtsuŋ,tiɔŋŋ̩,tɒ̃tsuəŋtɕiar,tsuŋkan,tʂənkan,tʂuə̃tɕiã,tʂəŋtɕɪ̃,tsuŋkian,tɑŋtsoŋ,taŋtsoŋ,taŋtɕiar,taŋpfəŋni,tɑŋtʂuŋ,tiɸtɕoŋ,tɑŋtsuŋ,tuətuətsuŋ,tʂə̃tsoŋtɕiɛ̃,tɑ̃tsoŋ,tɑ̃pfə̃n,tiŋtaŋ
136,litʰou,nimian,itʰəu,litʰɛu,laibin,litʰəu,jɐppin,nidəɯ,l̩tʰɯ,zɹ̩tʰɯ,tituve,lidei,nipiɛn,lipiarla,litʰou,litʰɤu,teimai,lipiar,limiɤmiɤ,iʂəu,liɕiã,litʰou,laitoi
137,uaitʰou,uaitʰəu,uaitʰəu,uaitʰɛu,guabin,vaitʰəu,tsʰøtpin,uaidəɯ,uɛtʰɯ,uɤtʰɯ,ŋoipoi,ɦuɤdei,uaipiɛn,uaipiarla,uaitʰou,vaitʰɤu,vamai,vaipiar,uæmiɤmiɤ,uæʂəu,ŋami,vɛtʰou,guakʰau
138,tʰian,tʰian,tʰian,tʰiɛn,tĩ,tʰie,tʰim,diẽ,tʰiã,tʰiɪ̃,tʰiam,diɤ̃,tʰiɛn,tʰian,tʰiã,tʰian,di,tʰian,tiɤ,tʰiɛ̃,di,tʰiɛ̃n,tiam
