sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Tianjin,Pingyao,Kunming,Shanghai,Lanzhou,Shantou
14,sanʂər,sansɹ̩uansaŋ,sansɹ̩iɛ,sansɨʔiɑuan,likauam,niesæ̃səʔ,ɲinsaman,daiɲiẽsanʂɻ̩,sãʂɻ̩uãɕj,liɪ̃sæ̃ʂəʔ,ŋiansamsəpŋit,ɲiɤ̃sɤ̃zəʔvɤ̃zɑŋ,tɕʰyɕi,sanʂəruanʂaŋ,sãʂərxeiliɛ,ɲiansanʂɻ̩,sazaiɲaiɦaɕy,sanʃərvanʂɑŋ,ɲiɤtsɥxɑ,sɐ̃ʂɻ̩uɐ̃ʂə̃,duɲiɦia,sɛ̃nʂɻ̩vɛ̃nɕi,ziʔkaumẽ
15,tɕinnian,tɕinɲian,tɕinlian,tɕinɲiɛn,kinlĩ,tɕiəŋnie,kɐmɲin,tɕinɲiẽtsɹ̩,tɕiə̃ɲiã,tɕinliɪ̃,kinŋian,kenɲiɤ̃,tɕinniɛn,tɕinnian,tɕiẽniã,tɕiŋɲian,keɲi,tɕinnian,tɕiŋɲiɤ,tɕĩniɛ̃,tɕiŋɲi,tɕĩnɲiɛ̃n,kimnĩ
16,miŋnian,minɲian,minlian,miɑŋɲiɛn,buãlĩ,miəŋnie,tsʰøtɲin,minɲiẽtsɹ̩,miə̃ɲiã,minliɪ̃,kuoeŋian,menɲiɤ̃,minniɛn,lainian,miŋniã,miŋɲian,maŋɲi,lainian,læɲiɤ,mĩəniɛ̃,kʰeɲi,mĩnɲiɛ̃n,mẽnĩ
17,tɕʰynian,tɕʰyɲian,tɕʰilian,tɕʰiuɲiɛn,kulĩ,niesɹ̩,kɐuɲin,tɕʰyɲiẽtsɹ̩,ɲiãsɹ̩,tsʰɥliɪ̃,kʰiuŋianne,dʑiøɲiɤ̃tsɹ̩,tɕʰyniɛn,tɕʰynian,niãsɹ̩kɤ,ɲiansɹ̩kɤ,dʑauɲi,tɕʰynian,ɲiɤsɹ̩,tɕʰiniɛ̃,dʑiɤɲi,ɲiɛ̃nʂɻ̩,kunĩ
18,miə̃r,mintʰian,mintʰian,miɑŋɲiʔ,bĩatsai,tsautɕʰi,tʰiŋjɐt,maiitsɹ̩,miə̃tʰiã,makə,səntsauŋit,mentsɔ,mintʰiɛn,miŋtʰian,miər,miŋtʰian,maŋtɕiɛ,mierkə,timi,mĩəʐɻ̩,miŋtsɔ,mĩnkə,mãzik
19,tsuor,tsotʰian,tsotʰian,tsʰɔʔɲiʔ,tsahŋ,ietʰie,kʰɐmjɐt,dzoitsɹ̩,iɛlɛ,tsʊkə,tsʰiupuŋit,zɑŋŋɑʔtsɹ̩,tsuoɯ,tsuotʰian,iɛkɤ,tsuɤtʰian,zoji,tsuorkə,iɤlæ,tsoʐɻ̩,zoʔɲiɪʔ,tsuəkə,tsazik
20,tɕiər,tɕintʰian,tɕintʰian,tɕinɲiʔ,kinlãlit,tɕiəŋzəɹ̩,kɐmjɐt,tɕinitsɹ̩,tɕiə̃ɛ,tɕiɤkə,kimŋit,kentsɔ,tɕinɯ,tɕintʰian,tɕiər,tɕiŋtʰian,kene,tɕiərkə,tɕiŋʐʌʔ,tɕĩəʐɻ̩,tɕiŋtsɔ,tɕĩnkə,kimzik
21,lipaitʰian,ɕintɕʰitʰian,ɕintɕʰitʰian,lipai,lepailit,lipai,siŋkʰeijɐt,sindʑii,ɕiə̃tɕʰjʐɻ̩,ɕintsʰɹ̩tʰiɪ̃,senkʰiŋit,lipɤtʰiɤ̃,ɕintɕʰitʰiɛn,lipaitʰian,ɕiŋtɕʰi,ɕiŋtɕʰitʰian,leipane,lipai,lipæʐʌʔ,ɕĩtɕʰi,lipatʰi,ɕĩntɕʰi,tsʰẽkʰizik
22,maitsɹ̩,metsɹ̩,mɛtsɹ̩,mɑʔtsɹ̩,beʔa,mieʔtsəʔ,mɐk,maitsɹ̩,mɨtsɹ̩,mɐʔtsə,make,mɑʔtsɹ̩,mɤtsɹ̩,maitsɹ̩,mei,meitsɹ̩,ma,maitsɹ̩,miʌʔtsʌʔ,mətsɹ̩,maʔtsɹ̩,mətsɹ̩,beʔ
23,tami,mi,tami,mi,bi,tʰautsəʔ,wɔ,daimi,tamj,mɹ̩,mi,mɤ̃mi,mi,tami,tami,tami,mei,tɑmi,tɑmi,mi,dumi,tami,tiu
24,tsʰantou,futəu,futəu,tsʰɵntʰɛu,tsʰantau,tatəu,tsʰamtɐu,uandəɯ,tatɯ,tsʰæ̃tɯ,futʰeu,dzɤ̃deiəl,tsʰantəu,tsʰantou,tsʰãtou,tatɤu,vadɤu,tsʰantou,tɑtəu,tsʰɐ̃təu,ɦødɤ,tatou,piaŋtau
25,ɕiaŋʐɻ̩kʰuei,ɕiaŋzɹ̩kʰuei,kʰueixua,kʰuifɑ,hiɔŋiɔŋhue,kʰueixua,hœŋjɐtkʰwɐi,tɕyẽiniẽ,ɕiɔ̃ʐɻ̩kʰuɨ,kʰuexua,hioŋŋitkʰui,guihuɑ,kʰueixua,takʰueixua,ɕiaŋrkʰuei,kʰueixua,tʰajivaiho,tʂuanlian,tʂʰɔiɑŋxuɑ,tʂʰɔiɐ̃pĩ,ɕiãzəʔgue,ɕiɑ̃ʐɻ̩kʰuei,hiaŋzikkʰui
26,potsʰai,potsʰai,potsʰai,potsʰai,polinatsʰai,tɕʰitsʰai,pɔtsʰɔi,potsʰai,pɔtsʰɛ,pʊtsʰɤ,koktsʰoiie,potsʰɤ,potsʰai,pɤtsʰai,potsʰai,pɤtsʰai,palaŋtsʰe,potsʰai,tsʰeitsʰæ,potsʰæ,putsʰe,lupətsʰɛ,pueleŋ
27,iɑŋpaitsʰai,tɕyanɕinpe,koɕinpɛ,pɑutsʰai,kŋ̩simtsʰai,xueitsəʔpai,jɛtsʰɔi,paɯtsʰai,tɕyãɕiəpɨtsʰɛ,pɔtʰɯtsʰɤ,pautsʰoi,pɔɕintsʰɤ,tɕyɛnɕintsʰai,tatʰoutsʰai,liãxuapei,lianxuapei,dʑautsʰe,iɑŋpaitsʰai,xuætsʌʔpæ,liɛ̃xuɐpə,tɕyøɕiŋtsʰe,liɛ̃nxuatsʰɛ,kole
28,ɕixuŋʂɻ̩,fantɕʰie,maolako,fantɕʰiɑ,tʰabãto,ɕifæ̃sɹ̩,fankʰɛ,siɦənsɹ̩,iɔ̃sɹ̩tsɹ̩,iɑ̃sɹ̩tsə,fankʰioe,fɤ̃dʑiɑ,fantɕʰie,ʂɻ̩tsɹ̩,iaŋsɹ̩tsɹ̩,iɑŋsɹ̩tsɹ̩,faga,xuosɹ̩tsə,iɑŋsɹ̩tsʌʔ,fɐ̃tɕʰiɛ,fega,iɑ̃ʂɻ̩tsɹ̩,huaŋkio
29,tɕʰiɛtsɹ̩,tɕʰietsɹ̩,tɕʰiɛtsɹ̩,tɕʰiɑtsɹ̩,kio,tɕʰietsəʔ,ɐikwa,dʑyɒtsɹ̩,tɕʰitsɹ̩,tɕʰyetsə,tiautsʰoiie,dʑiəl,tɕʰietsɹ̩,tɕʰiɛtsɹ̩,tɕʰiɛtsɹ̩,tɕʰiɤtsɹ̩,dzɹ̩ŋ̩,tɕʰietsə,tɕiɤtsʌʔ,tɕʰiɛtsɹ̩,loʔsu,tɕʰiətsɹ̩,kio
30,paiʂu,xoŋsau,fansu,lopʰoɕy,hantsi,xuəŋsu,fansy,tɕiopanɕy,xuə̃fv̩,zɥtʰɯ,fansu,fɤ̃dzɥ,sau,tikua,xuŋʂau,xuŋfu,fazei,sany,xuŋsɥ,pətʂʰu,seɦy,xũnʂɔ,huaŋtsɯ
31,tʰutour,iaŋy,iaŋi,iɔŋytʰɛu,bãliŋtsi,sæ̃iəʔtæ̃,sytsɐi,ianydəɯ,iɔ̃y,malintʂʰu,malaŋsu,ɦiɑŋfɤ̃dzɥ,tʰəutəu,tʰutour,iaŋy,iɑŋy,fanaŋvu,tʰutour,sɑŋiʌʔtɑŋ,iɐ̃i,ɦiãseɦy,iɑ̃y,holaŋtsɯ
32,nankuə,nankua,lankua,pɛʔkuɑ,kimkue,næ̃kua,namkwa,nankuɒ,nãkua,læ̃kua,tuŋkua,nɤ̃kuɑ,nankua,uokua,uokua,xulu,tɕaŋko,uokuɑ,nɑŋkuɑ,məkuɐ,veko,lɛ̃nkua,huŋkue
33,tʂu,tsu,tsu,tɕy,ti,tsu,tsy,tɕy,tʂv̩,tʂu,tsuve,tsɥ,tɕy,tʂu,pfu,tʂu,tsei,tʂu,tsɥʐʌʔ,tʂu,tsɹ̩lu,pfu,tɯ
34,kuŋtʂu,tɕyotsu,iatsu,tɕykuli,tikaŋ,kuəŋtsu,tsykuŋ,tɕiotɕytsɹ̩,iatʂv̩,kəŋtʂu,tsuko,koŋtsɥ,koŋtɕy,pʰaulantsɹ̩,iapfu,kuŋtʂu,joŋketsei,kuŋtʂu,ɲiɑʐʌʔ,iɐtʂu,tsɹ̩lɑ̃,iapfu,tɯko
35,mutʂu,mutsu,tsʰaotsu,tɕypʰo,tibu,mutsu,tsyna,tɕybotsɹ̩,mv̩tʂv̩,məŋtʂu,tsuma,mutsɥ,moŋtɕy,mutʂu,mupfu,mutʂu,tsʰɜketsei,mutʂu,muʐʌʔ,mutʂu,lɔm̩tsɹ̩,mupfu,tɯbo
36,kuŋtɕi,tɕikoŋ,koŋtɕi,tɕikuŋ,kekaŋ,kuəŋtɕi,kɐikuŋ,tɕiaɯtɕi,kuə̃tɕj,kəŋtsɹ̩,kekuŋ,ɦioŋtɕi,tɕikoŋ,kuŋtɕi,kuŋtɕi,kuŋtɕi,joŋtsɹ̩,kuŋtɕi,kuŋtɕi,koŋtɕi,ɦioŋtɕi,kũntɕi,koiaŋ
37,mutɕi,tɕipʰo,tsɹ̩tɕi,tɕipʰo,kebu,tsʰautɕi,kɐina,tɕibo,mv̩tɕj,məŋtsɹ̩,kema,botɕi,tɕimoŋ,mutɕi,mutɕi,mutɕi,tsʰɜtsɹ̩,mutɕi,tsʰɔtɕi,mutɕi,tsʰɹ̩tɕi,mutɕi,koibo
38,tɕiatɕʰiɑur,matɕʰyər,matɕʰio,kantɕʰiɔʔtsɹ̩,tsʰiʔtsiaua,tɕʰyar,matsœk,mɒtsʰiotsɹ̩,tɕʰiɔɛ,matɕʰiɯ,vopitle,mɑtɕʰiɔəl,matɕʰio,tɕiatɕʰiaur,tɕʰiaur,matɕʰyɤtsɹ̩,tɕiŋ̩,tɕiɑtɕʰiɑur,tɕʰiɔʐʌʔ,kutɕʰio,motɕʰiaʔ,matɕʰiɔɯ,muãtsiauʔ
39,xɑutsɹ̩,xautsɹ̩,xaotsɹ̩,lauɕy,liautsʰi,kuər,lousy,naɯɕytsɹ̩,lɔfv̩,lɔtʂʰuə,lautsʰuve,lɔtsʰɥ,nauɕy,xautsɹ̩,laufu,lɔtʂʰu,lɜtsʰei,lɑuʂu,kuʐʌʔ,lɔtʂʰu,lɔzoŋ,lɔpfʰutsɹ̩,ŋiãutsʰɯ
40,tʂʰoutʂʰuŋ,tsʰəutsoŋ,tsʰəutsʰoŋ,tsʰɨutsʰuŋ,baʔsat,piəʔsəʔ,muksɐt,tʂʰəɯdʐən,tʂʰɯsɨ,tʂʰɯtʂʰəŋ,konpʰi,tsʰeidzoŋ,tsʰəutsʰoŋ,tʂʰoutʂʰuŋ,tʂʰousei,tʂʰɤusei,kuɔsai,tʂʰoutsʰuŋ,piʌʔʂʌʔ,pisə,tsʰɤzoŋ,piʂə,baksak
41,fɑŋtsɹ̩,faŋtsɹ̩,faŋtsɹ̩,uʔ,tsʰu,fɒ̃tsəʔ,uk,u,fɔ̃tsɹ̩,tsɐʔtsə,vuke,vɑŋtsɹ̩,faŋtsɹ̩,faŋtsɹ̩,faŋ,fɑŋtsɹ̩,vuduɔ,fɑŋtsɹ̩,xuətsʌʔ,fɐ̃tsɹ̩,vɑ̃tsɹ̩,fɑ̃tsɹ̩,tsʰu
42,utsɹ̩,utsɹ̩,faŋkan,fɔŋ,paŋkiŋ,tɕia,fɔŋkan,ɸɔnkan,tʰɔtɕiã,fɑ̃tɕɪ̃,kianne,vɑŋtɕiɤ̃,faŋkan,utsɹ̩,faŋtsɹ̩,fɑŋtsɹ̩,ɦuɔka,utsɹ̩,xuətsʌʔ,fɐ̃tɕiɛ̃,vɑ̃ke,fɑ̃tsɹ̩,paŋ
43,tʂʰuɑŋxu,tsʰuaŋtsɹ̩,tsʰuaŋtsɹ̩,tsʰɔŋtsɹ̩,tʰaŋa,tsʰuɒ̃xu,tsʰœŋ,tʂʰɔntsɹ̩,tʂʰuɔ̃tsɹ̩,tʂʰuɑ̃tsə,tsʰuŋŋe,tsʰɥɑŋmen,tsʰuaŋtsɹ̩,tʂʰuaŋxu,pfʰaŋtsɹ̩,tʂʰuɑŋxu,tɕʰyɔ,tsʰuɑŋxu,suətsʌʔ,tʂʰuɐ̃xoŋ,tsʰɑ̃məŋ,pfʰɑ̃tsɹ̩,tʰeŋ
44,mənkʰar,mənkʰan,menkʰan,mɨnkan,hotiŋ,məŋɕieɕie,munhɐm,mənkʰan,mə̃kʰã,mənkʰæ̃,mumton,menkʰɤ̃,mənkʰan,mənkʰar,mẽkʰã,mɤŋkʰan,maŋkʰa,mənkʰar,məŋɕiɤɕiɤ,mə̃kʰɐ̃,məŋkʰe,mə̃nkʰɛ̃n,muŋtõi
45,tsʰɤsuo,maufaŋ,tsʰɛso,mɑukɔŋ,pienso,maufɒ̃,tsʰisɔ,maɯsɹ̩u,mɔsɹ̩,mɔtsʰɹ̩,sɹ̩kau,mɔkʰɑŋ,mausɹ̩,maulour,mautsɹ̩,mɔfɑŋ,muɔkʰiɛ,mɑusou,mɔtsʌʔ,mɔsɹ̩,modoŋke,mɔsɹ̩,tsʰeso
46,tʂʰufɑŋ,tsʰufaŋ,tsʰufaŋ,tɕʰyfɔŋ,tupaŋ,tsʰufɒ̃,tsʰøyfɔŋ,tsaɯu,tʂʰv̩fɔ̃,kʊtɕiɪ̃,tsʰufoŋha,dzɥvɑŋ,tsʰyfaŋ,tʂʰufaŋ,pfʰufaŋ,tʂʰufɑŋ,ɦotsɜka,tʂʰufɑŋ,tsɥxuə,tsɔfɐ̃,tsɔpʰike,pfʰufɑ̃,toupaŋ
47,iantʰuŋ,iantsʰoŋ,iantsʰoŋ,iɛntʰuŋ,ientaŋ,ietuəŋ,jintʰuŋ,iẽdən,iãtuə̃,iɪ̃ləŋ,ianham,ʔiɤ̃tsʰoŋ,iɛntʰoŋ,iantʰuŋ,iãtʰuŋ,iantʰuŋ,jitɕʰoŋ,iantʰuŋ,iɤtʰuʌʔ,iɛ̃tsʰoŋ,itsʰoŋ,iɛ̃ntʰũn,iŋtaŋ
48,tʂuotsɹ̩,tsotsɹ̩,tsotsɹ̩,tsɔʔtsɹ̩,toʔa,tsuaʔtsəʔ,tʰɔi,tsotsɹ̩,tʂutsɹ̩,tʂuɐʔtsə,tsoke,tsoʔtsɹ̩,tsuotsɹ̩,tʂuotsɹ̩,pfotsɹ̩,tʂuɤtsɹ̩,tɕo,tsuotsɹ̩,tsuʌʔtsʌʔ,tʂotsɹ̩,detsɹ̩,pfətsɹ̩,tsʰɯŋ
49,loutʰi,nəutʰi,ləutʰi,lɛutʰi,lautʰui,ləutʰi,lɐutʰɐi,nəɯtʰi,lv̩tsʰɹ̩,lɯtsʰɹ̩,tʰoipʰai,ɦutʰi,nəutʰi,loutʰi,loutʰi,lɤutʰi,tɕolautʰei,loutʰiər,ləutʰi,ləutʰi,ɦutʰi,louxutʰi,lautʰui
