sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Kunming,Pingyao,Shanghai,Lanzhou,Shantou,Tianjin
21,niʂuotətʰiŋxɑunixainəŋʂuotiarʂəmnə,ɲisotexauxauɲixaixueisotiərsatsɹ̩ne,lisotɛxaotɛxenlixaixueisoɕiɛlaiaŋlɛ,n̩uɑtɛʔmanhɑun̩haaʔuiuɑtiɑʔtsɹ̩sɨʔlile,likɔŋkatsinholiehiaukɔŋsiãbĩʔ,nisuaʔtiəʔkʰaʔxaulɤnixaixueisuaʔɕiarsəŋlɤ,neikɔŋtɐkhouhouneitsuŋsikkɔŋtimɐtjɛnɛ,ɲikɔntæmanhaɯɲiɦaiɕiaɯtækɔntiẽʂənmonie,ɲifɔtʂɔxv̩xɔɲixɛxuɨfɔɛɕisalia,litɕiɑ̃tiəʔxɔxənlixɤləntɕiɑ̃xɔxəŋkələ,n̩səpfun̩liakkoŋn̩haniumakkekoŋke,nisɥəʔtəʔmɤ̃hɔniɦɑɦiosɥəʔtiɤ̃əlsɑkəʔtoŋɕi,nisuotɤmanxaunixainənsuotiɛnmosɹ̩,niʂuotitseixaunixaixueiʂuotiarʂanə,niʂɤtiliautixẽnixainəŋʂɤtiarsa,ɲifɤtitsantɕiŋtixɤŋɲixannɤŋfɤɕiɤsaɲi,ɲikuɔhɜɕinaɲivavaikuɔleɲiɦɔ,niʂonəxə̃xɔnixæxueiʂotiənɐiɐ̃,n̩suʌʔtiʌʔpʌʔlæn̩xɑŋxuæsuʌʔɕiɤʐʌʔʂəŋliʌʔ,noŋkɑ̃təʔlɔhɔɦənoŋɦɛɦuekɑ̃tisanə,ɲifətixɔuaɲixɛ̃nxueifəɕiəsaʂa,lɯtãlaihoʔholɯluãupiaŋtãkekomĩʔkaibo,niʂuotitʂənxɑunixaixueiʂuotiarmɑiɑ
22,uotsueipənuoʂuopukuotʰa,ŋotsueipapənŋotɕiaŋpuintʰa,ŋolɛtsueipentɛxenŋosopuinla,ŋotsuipɑpɨiuɑŋouɑtɕiepɨʔiɑŋ,botsʰuibotsiʔguakɔŋbeiãi,ɣɤtsueipəŋɣɤsuaʔpəʔkuɤtʰa,ŋɔmsikkɔŋjɛŋɔkɔŋmkwɔkʰøy,ŋotsəipɒmoŋkɔntʰɒpuku,nɔtsuɨtʂuɛanɔpatɕiafɔpv̩ku,ʊtsepənʊtɕiɑ̃pəʔkʊtʰa,ŋaiketsoisəpfunpʰunŋaikoŋm̩kuoki,ŋotsɥeipɑbenŋosɥəʔtʰɑpəʔku,ŋuotseipapənsuopukuotʰa,uotsueipənuoʂuopukuotʰa,ŋɤtsueipẽŋɤʂɤpukuouo,vɤtsueipɤŋtixɤŋfɤpukuɤtʰa,ŋ̩fuvaikuɔŋ̩kuɔgifuku,onətsueipə̃oʂopukotʰə,ŋiɤtsueipəŋŋiɤsuʌʔpʌʔkueiuʌʔtɕiɑtiʌʔ,ɦokɑ̃vəʔdaleŋokɑ̃vəʔkuɦi,vətitsueipə̃ntixə̃nvəfəpukuəla,uaboitãueuatãsui,uotsueipənuoʂuopukuotʰɑ
23,ʂuoləipianiouʂuoipian,sonoitauiəusoitau,soəuipianiəusoipian,uɑliɛuiʔtɑuiuuɑiʔtɑu,kɔŋliautsitpaikoʔkɔŋtsitpai,suaʔlauiəʔpieiəusuaʔiəʔpie,kɔŋtsɔjɐttsʰijɐukɔŋjɐttsʰi,kɔntɒitaɯiəɯkɔnitaɯ,fɔkɨliɔjtsʰanakʰɔfɔliɔjtsʰa,tɕiɑ̃tʂəiəʔpiɪ̃iɯtɕiɑ̃iəʔpiɪ̃,koŋŋeittsoniuhanoikoŋittson,sɥəʔləʔiəʔpiɤ̃ɦisɥəʔləʔiəʔpiɤ̃,suoniauipiɛniəuipiɛn,ʂuoləipianiouʂuoipian,ʂɤliɛipiãkʰɤʂɤliɛipiã,fɤliɤipianiɤufɤliɤipian,kuɔjipijijipi,ʂoləipiɛ̃iəuʂoipiɛ̃,suʌʔlɔiʌʔpiɤiəusuʌʔiʌʔpiɤ,kɑ̃ləʔiɪʔpiɦiɤkãiɪʔpi,fəlɔitʂʰɛ̃nkəioufəlɔitʂʰɛ̃n,tãtsekkueliauiutãkekue,ʂuoləipianiouʂuoipian
24,nintsaiʂuoipian,tɕʰinɲitsaisoitau,mafanlitsaisoipianxa,tɕʰiɑŋn̩tsaiuɑiʔtɑu,tsʰiãlikoʔkɔŋtsitpai,tɕʰiəŋnitsaisuaʔiəʔpieva,tsʰɛŋneitsɔikɔŋjɐttsʰi,tsʰianɲitsaikɔnitaɯ,tsɔɲitsɛfɔjtsʰa,tɕʰinlitsɤtɕiɑ̃iəʔpiɪ̃,tsʰiaŋn̩tsoikoŋittson,tɕʰinnitsɤsɥəʔʔiəʔpiɤ̃,tɕʰinnitsaisuoipiɛn,tɕʰiŋnitsaiʂuoipian,tɕʰiŋnitsaiʂɤipiã,tɕʰiŋɲitsaifɤipian,tsʰeŋɲitsekuɔpitʰi,tɕʰĩnitɕiɛtsæʂoipiɛ̃,tɕʰiŋn̩tsæsuʌʔiʌʔpiɤ,tɕʰiŋnoŋtsekɑ̃iɪʔpi,tɕiatɕʰĩnɲitsʰũnfəitʂʰɛ̃n,taʰiãlɯtãkekue,tɕʰiŋnitaiʂuoipian
25,putsɑuləmaliərtɕʰypa,putsaunokʰuaitiərtɕʰie,putsaoəukʰuaitaitɕʰiləu,tsʰɑpɨʔtolokʰuaitɕʰiesɑ,botsalokinkʰio,pəʔtsauliekʰuaitɕʰyva,houanlafaitihøyla,ŋankɒtɒkʰuaitiẽtɕʰieno,tsʰɹ̩liɔtsɔkãtɕiə̃tɕʰjpa,pəʔtsɔləkʰuɤxɔtsʰɥpa,m̩tsauvekʰuaititloihi,pəʔtsɔtəɦɔsɔtɕʰiʔiɑ,putsauniaukʰuaitʰiərkʰɯpa,pitsauləkʰuaitɕʰypa,putsauliɛkãtɕiẽtɕʰi,putsɔliɤkantɕiŋtɕʰipa,dzɹ̩ɦuɔbakʰaletsau,putsɔləkʰuætiəkʰə,pʌʔtsɔlɑkʰuæɕiɤʐʌʔtɕʰyuɑ,vəʔtsɔləʔɦɔsɔtɕʰivaʔ,putsɔlɔkʰuɛɕiətɕʰiʂa,bohotsaoumẽmẽkʰɯ,putsɑuləkʰuaitɕʰypɑ
26,tʂeixuərxaitsɑutʂənətaixuərtsaitɕʰypa,tsexərxaitsautənxaxərtsaitɕʰiema,tsɹ̩xaxaitsaotɛxenlɛtenixatsaitɕʰima,koɕiɛntsʰaihaʔtsɑutɛʔŋɔʔleŋanɑtsɹ̩tsaitɕʰielo,tsitbãiakoʔtsaesiotantsitletsiaʔkoʔkʰila,tsəʔtsəŋtsəŋxaitsautəʔlɤtəŋiəʔtsəŋtsəŋtsaitɕʰyva,jikatsuŋhoutsɛtɐŋjɐttsɐnsintsihøyla,koʂɻ̩sɻ̩ɦaitsaɯtɒkuikʰædʑitsaitɕʰie,tsɔxɛtsɔtʂɛtə̃jkualiɔtsɛtɕʰjsa,tʂɑ̃kəxɤtsɔxəntəniəʔʂɐʔtsɤtsɥpa,kinhahansəpfuntsautenithatsaŋloihi,kəʔmɔɦɑtsɔlɤtenʔiəʔɕiəʔəltsɤtɕʰihɔtəʔ,tsəntsanxantsaunietənixartsaikʰɯ,ɕiantsaixaitsautixɤrnətəŋxuərtsaitɕʰypa,tʂərxaitsautʂɤnitəŋixuərtsaitɕʰi,ɕiantsaixantsɔtiɲitɤŋixatsaitɕʰi,naŋkavatsɜtaŋoŋ̩ɕitsetsauna,tʂɻ̩xɐxætsɔnətə̃xɐtsækʰə,tsʌʔtʂəŋtʂəŋxɑŋtsɔliʌʔtəŋtʂəŋtʂəŋtsætɕʰyuɑ,ɦizeɦɛtsɔlaʔhekutʰəʔiɪʔɕiɪʔtsetɕʰihɸle,tɕiaxɛ̃ntsɔtʂəlitə̃nixalɔtsɛtɕʰiʂa,tsitsuŋhuãtsatotaŋetsiãlaikʰɯ,ɕiantsaixaitsɑutʂənətəŋxuərtaitɕʰypɑ
27,tʂʰɻ̩ləfantsaitɕʰyɕiŋma,tsʰɹ̩nofantsaitɕʰieiautepu,txʰɹ̩əufantɕiaŋtɛtɕʰixa,tɕʰiɑʔliɛufantsaitɕʰiehɑupo,tsiaʔpatsiaʔkʰihobo,tsʰəʔlaufæ̃tsaitɕʰyɕiəŋlauva,siktsɔfansintsihøyhouma,tɕʰiɒtɒɸantsaitɕʰiehaɯpu,fãtʂʰɻ̩paliɔtsɛtɕʰjxɔtʂuə̃lia,tɕʰiəʔkʊfæ̃tsɤtsʰɥkʰəxɔ,səttefantsaŋhihaumo,vɤ̃tɕʰioʔlətsɤtɕʰihɔpəʔhɔ,tɕʰiniaufantsaikʰɯxaupuxau,tʂʰɻ̩ləfantsaitɕʰypa,tʂʰɻ̩liɛfãtsaitɕʰiteitʂʰəŋ,fantʂʰɻ̩liɤtsaitɕʰitsamukɤ,vatsʰɹ̩ɦuɔtsetsaujyɔdʑaafu,tʂʰɻ̩təfɐ̃tsækʰəkəiɔtə,tʂʰʌʔlɔxuɑŋtsætɕʰyɕiɑpʌʔɕiɑ,tɕʰiɪʔləʔvetsetɕinanəŋ,tʂʰɻ̩pafɛ̃nlɔtsɛtɕʰipfə̃nlipu,tsiaʔpatsiãlaikʰɯkʰaʔho,tʂʰɻ̩vanfantaitɕʰyxɑumɑ
28,manmartʂʰɻ̩papəŋtʂɑutɕi,manmərtsʰɹ̩puiauxuaŋ,manmanlɛtsʰɹ̩xaopupiaotsotɕi,manmantsɹ̩tɕʰiɑʔhɑpɨʔiɛutɕiʔ,ununatsiaʔbiantioʔkip,mæ̃ɕiartsʰəʔpəʔkæ̃tsəʔtɕiəʔ,manmansikamhoukɐp,mantiẽtɕʰiɒmotʂʰotɕi,m̃mãɛtʂʰɻ̩pɔtɕjsa,mæ̃xɔtɕʰiəʔpəʔiɔtʂuɐʔtɕiəʔ,manmannesətmsɹ̩ankip,mɤ̃mɤ̃tɕiɔtɕʰioʔʔɑpəʔʔiɔtɕiəʔsɑʔɦuoʔsɑʔ,manmantitɕʰimotɕi,manmartʂʰɻ̩piɛtʂautɕi,mãmartʂʰɻ̩pautʂautɕi,manɕiɤtʂʰɻ̩pɤtʂuɤtɕi,faihuɔmamazɹ̩naŋtsʰɹ̩,mɐ̃tiətʂʰɻ̩mɐpuɕiɔtɕi,mɑŋɕiɤʐʔtʂʰʌʔpʌʔyŋtʂɔtɕiʌʔ,memetɕiɔtɕiɪʔvəʔiɔtɕiɪʔ,tɕiamɛ̃nɕiətʂʰɻ̩ʂapulɔtɕi,kʰuãnĩtsiaʔmãikiŋtsiaŋ,marmartʂʰɻ̩pɑpietʂɑutɕi
29,tsuotʂətʂʰɻ̩pitʂantʂətʂʰɻ̩xautiar,tsotautɕʰitsʰɹ̩pitsantautɕʰitsʰɹ̩xauɕi,tsotɕʰitsʰɹ̩iaopitsantɕʰitsʰɹ̩xaotɛ,tsʰotɑutɕʰiɑʔpitɕʰitɑutɕʰiɑʔhɑuɕiɛʔ,tsetetsiaʔpʰinkʰiatetsiaʔkʰahose,tsuɤtəʔtsʰəʔpitsæ̃təʔtsʰəʔxauɕiar,tsʰɔtsysikhoukwɔkʰeitsysik,dzotɒtɕʰiɒpitsantɒtɕʰiɒhaɯsie,tsuxaliɔtʂʰɻ̩xɔpjtsãtʂɔtʂʰɻ̩xɔɛɕi,tsʊtɔtɕʰiəʔpɹ̩tʂæ̃tɔtɕʰiəʔxɔsɹ̩,tsʰotenloisətpikʰitenloisətkuohau,dzolɑʔtɕʰioʔpiliəʔlɑʔtɕʰioʔʔiɔhɔ,tsuotautɕʰipitsantautɕʰixauɕie,tsuotʂautʂʰɻ̩pʰitʂantʂautʂʰɻ̩xau,tsuoxatʂʰɻ̩pilixatʂʰɻ̩sufu,tsuɤtitʂʰɻ̩kantsantitʂʰɻ̩xɔ,zotatsʰɹ̩peigetatsʰɹ̩hɜle,tsotətʂʰɻ̩pitʂɐ̃tətʂʰɻ̩xɔtiə,tɕyɤtiʌʔtʂʰʌʔpitsɑŋtiʌʔtʂʰʌʔxɔɕiɤʐʌʔ,zulaʔhetɕʰiɪʔpililaʔhetɕʰiɪʔhɔiɪʔŋe,tsuəxalɔtʂʰɻ̩pitʂɛ̃ntʂətʂʰɻ̩xɔɕiəɯ,tsopaŋkotsiaʔhokuekʰiapaŋkotsiaʔ,tsuotʂətʂʰɻ̩pitsantʂətʂʰɻ̩xɑu
30,tʰatʂʰɻ̩ləfanlənitʂʰɻ̩meitsʰɻ̩,tʰatsʰɹ̩nofannoɲitsʰɹ̩nofanmeiiəu,latsʰɹ̩aofanəulitsʰɹ̩aofanputɛɛ,tɕietɕʰiɑʔliɛufankon̩tɕʰiɑʔliɛufanpo,itsiaʔpalolitsiaʔpŋ̩be,tʰatsʰəʔlaufæ̃lienitsʰəʔlieməʔla,kʰøysiktsɔfanlakneisiktsɔfanmeinɛ,tʰɒtɕʰiɒkɒɸantɒɲitɕʰiɒkɒɸanmaɯ,tɕiafãtʂʰɻ̩paliɔɲitʂʰɻ̩liɔmɔ,tʰatɕʰiəʔkʊfæ̃ləlikʰətɕʰiəʔkʊtʂə,kisətlefannensətlefanmoa,tʰɑvɤ̃tɕʰioʔkutənivɤ̃ʔiøpəʔʔiøtɕʰioʔku,tʰatɕʰiniaufanniaunitɕʰiniaumau,tʰatʂʰɻ̩fanlənitʂʰɻ̩fanləmeiiou,tʰatʂʰɻ̩liɛnitʂʰɻ̩liɛmo,tʰatʂʰɻ̩liɤfanliɤɲifantʂʰɻ̩liɤmɤiɤu,givatsʰɹ̩ɦuɔbaɲitsʰɹ̩ɦuɔbameia,tʰətʂʰɻ̩təfɐ̃lənikətʂʰɻ̩tələ,uʌʔtɕiɑtʂʰʌʔlɔxuɑŋlɑn̩tʂʰʌʔlɔxuɑŋlɑmʌʔlɑ,ɦivetɕʰiɪʔkuləʔnoŋvetɕʰiɪʔkuvaʔ,tʰatʂʰɻ̩lɔfɛ̃nlɔɲitʂʰɻ̩lɔm̩iou,itsiaʔhooulɯtsiaʔhobue,tʰɑtʂʰɻ̩vanfanlənitʂʰɻ̩fanləmeiiou
31,tʰatɕʰykuoʂɑŋxaiuomeitɕʰykuo,tʰatɕʰiekosaŋxaiŋomeitɕʰieko,lakʰikosaŋxaiŋomeitɛtɕʰiko,tɕietɕʰiekuosɔŋhaiŋomɑutɕʰiekuo,ikʰikuesioŋhaiguabokʰikue,tʰatɕʰykuɤsɒ̃xaiɣɤməʔlatɕʰykuɤ,kʰøyhøykwɔsœŋhɔiŋɔmeihøykwɔ,tʰɒtaɯkuʂɔnhaiŋomaɯtaɯku,tɕiaʂɔ̃xɛtɕʰjkunɔxɛmɔtɕʰjku,tʰatɔkʊʂɑ̃xɤʊmɐʔiɯtɔkʊ,kihikuosoŋhoiŋaim̩tʰienhikuo,tʰɑzɑŋhɤtɕʰikutəŋoɦɑməʔʔiøtɕʰiku,tʰakʰɯkuosaŋxaiŋuomaukʰɯkuo,tʰatɕʰykuoʂaŋxaiuomeitɕʰykuo,tʰatɕʰikuoʂaŋxaiŋɤmotɕʰikuo,tʰatɕʰikuɤʂɑŋxaivɤmɤtɕʰikuɤ,gijihetsaukubaŋ̩nautsauku,tʰəkʰəkoʂɐ̃xæoməukʰəko,uʌʔtɕiɑtɕʰykueiʂɑŋxæŋiɤmʌʔlɑtɕʰykuei,ɦizɑ̃hetɕʰikuləʔŋoɦm̩məʔtɕʰiku,latsouluəʂɑ̃xɛvəm̩ioutɕʰikuə,ikʰɯkuesiaŋhaiuabokʰɯkue,tʰɑtɕʰykuoʂɑŋxaiuomeitɕʰykuo
32,laiuənuəntʂeituoxuarɕiɑŋpuɕiɑŋ,naiuənxatsɹ̩tsetoxuaɕiaŋpuɕiaŋ,laiuenxakʰantsɹ̩toxuaɕiaŋpuɕiaŋ,laiɕiuŋŋɑkʰɵnkeitofɑɕiɔŋpo,laipʰikʰuãtsitluihueupʰaŋbo,laivəŋvəŋtsaixuaɕiɒ̃pəʔɕiɒ̃,lɐimɐnhaneitœfahœŋmhœŋ,naiuəniɦɒkotohuɒsianpu,ɲikulɛuə̃ɛkɔtʂɻ̩jtuxuaɛɕiɔtʂɔmãmɔɕiɔtʂɔ,lɤuənuəntitʊxuakʰəɕiɑ̃,n̩loipʰiithaetofahioŋmo,lɤvenvenkʰɤkəʔtohuɑəlɕiɑŋpəʔɕiɑŋ,naiuənxanɤtuoxuaɕiaŋpuɕiaŋ,laiuənuəntʂeitʰuoxuarɕiaŋpuɕiaŋ,nivẽixatʂʰɤxuatsʰuãputsʰuã,kuɤlaivɤŋixatseikɤxuerɕiɑŋpuɕiɑŋ,tsaulehoŋtsʰɹ̩kitohoɕiafu,læuə̃uə̃tʂɻ̩toxuɐkəɕiɐ̃,n̩læuŋuŋtsʌʔtueixuɑɕiɑŋpʌʔɕiɑŋ,leməŋməŋkʰøgəʔtuhoɕiãvaʔ,tɕiaɲivə̃nkɯxatʂɻ̩kəxuaɯɕiɑ̃puɕiɑ̃,laipʰĩtʰõitsipʰauhuekʰaʔoipʰaŋ,laivənvəntɕietuorxuɑrɕiɑŋpuɕiɑŋ
33,keiuopərʂu,keŋoipənsu,laipensukenŋo,lɑʔŋoiʔpɨnɕy,hoguatsitpuntsu,keiɣɤiəʔpəŋsu,peipunsyŋɔ,pɒpənɕypɒŋo,kɨnɔkɨjpə̃ɛfv̩,keʊiəʔpənʂu,punitpunsupunŋai,pəʔŋoʔiəʔpensɥ,papənɕyŋuo,keiuoipərʂu,keiŋɤipərfu,kuɤiʂɻ̩mɤfu,sɹ̩hapaŋŋ̩,kəoipə̃ʂu,tɕyŋiɤiʌʔpəŋsɥ,pəʔŋoiɪʔpəŋsɹ̩,kɯvəkɯipə̃nfu,kʰioʔpuŋtsɯkʰɯʔua,keiuoipərʂu
34,uotʂəntəmeineipərʂuia,ŋoŋənsɹ̩motenapənsu,ŋotsenlɛmeitɛapensuma,ŋotsɨnkomɑuiuhepɨnɕye,guakʰaksitbohitpuntsu,ɣɤtsəŋtəʔməʔlavaisu,ŋɔtsɐnhɐimoukɔpunsya,ŋotʂəntimaɯtænɒpənɕynie,nɔʂɻ̩xuamɔiɯnɛjpə̃ɛfv̩ɔ̃kʰɔ,ʊtʂəntiəʔmɐʔiɯlapənʂu,ŋaimoepunsuŋaitsəntsənmoe,ŋotsentɑŋməʔʔiønɑpensɥlɑʔ,ŋuotsəntimautɤnapənɕyme,uotʂənmeineipərʂuua,ŋɤtʂẽkɤmoueiipərfu,vɤtʂuɤʂɻ̩mɤfu,hepaŋsɹ̩ŋ̩tsaŋtsaŋnau,otʂə̃kəməutənəpə̃ʂu,ŋiɤtʂəŋtiʌʔmʌʔlɑuʌʔpəŋsɥ,ŋotsəŋɦəɦm̩məʔsɹ̩,vəʂɻ̩xuam̩ioufu,uatsiŋsikbohɯpuŋtsɯli,uotsəntimeiiouneipərʂunə
35,nikɑusuŋtʰa,ɲikəntʰaso,likenlatɕiaŋ,n̩kɑusuŋtɕie,likaikɔŋ,nikaukeitʰa,neiwapeikʰøytsi,ɲikaɯsɹ̩tʰɒ,ɲikɨtɕiafɔkɨjkua,likəntʰatɕiɑ̃,n̩vʰakiti,nikɔsutʰɑ,nikauɕintʰa,nikausutʰa,nikeitʰaʂɤ,ɲikɤŋtʰafɤ,ɲikʰuɔgikuɔa,nikɔsoŋtʰə,n̩kɔtɕyuʌʔtɕiɑ,noŋtʰəʔɦikɑ̃,ɲikɯlafəixa,lɯkaʔitã,nikɑusuŋtʰɑ
36,xɑuxɑurtətspipiɛpʰɑu,xausəntsəupuiaupʰau,xaoxaolɛtsəupuiaopʰao,hɑusɑŋtsɹ̩tsɛumɔʔpʰɑu,hohoakiãm̩tʰaŋtsau,xauxautsəupəʔkæ̃pʰau,housɛŋhaŋmhoutsɐu,haɯtiẽtsəɯmobən,xɔxɔɛtsɯpɔpʰɔ,xɔxɔtsɯpəʔiɔpʰɔ,manmannetseum̩haulontsʰiak,hɔhɔtɕiɔkɑtseipəʔɦiɔbɔ,xauxautitsəumopʰau,xauxaurtsoupiɛpʰau,xauxaurtsoupaupʰau,xɔxɔrtsɤupɤpʰɔ,tsautsauhɜlefaizei,xɔxɔnətsəumɔpʰɔ,xɔxɔtitsəupʌʔyŋpʰɔ,ɦɔɦɔtɕiɔtsɤvəʔiɔpəŋ,tɕiaxɔxɔtitsoupulɔpʰɔlɔʂa,kiãhomãitsau,xɑurxɑurtsoupiepʰɑu
37,ɕiɑuɕinʂuaiɕiatɕʰipʰapuʂɑŋlai,ɕiauɕinpantaunopʰaputɕʰinai,putsuitaɕiatɕʰitəupʰaputɕʰilaiəu,tsɛufutaʔhɑtɕʰiepʰɑpɨʔsɔŋlai,selipuaʔloʔkʰitioʔpebuekʰilai,tsʰauɕiəŋtiəʔxakəʔpʰapəʔsɒ̃lai,kutsytitlɔkhøypʰamfansœŋlɐi,niəɯʂənpanɦɒtɕʰiebɒputɕʰinai,ɕiɔɕiə̃tʂɔtiɔ̃xatɕʰjpʰapv̩ʂɔ̃lɛ,ɕiɔɕintiɔɕiatsʰɥpʰapəʔʂɑ̃lɤ,lausənnotiethahipʰam̩soŋloivo,tɑŋɕintiəʔloʔtɕʰibɑpəʔzɑŋlɤ,ɕiauɕintaɕiakʰɯpʰapusaŋnai,tɕiaɕiauɕintiauɕiatɕʰypʰapuʂaŋlai,ɕiauɕiẽtiɛxatɕʰitsouʂaŋpulailiɛ,ɕiɔɕiŋpɤtiɤxatɕʰipʰapuʂɑŋlailiɤ,lɤusaŋlailobofuji,ɕiɔɕĩkuɐ̃ɕiɐkʰəpʰɐpuʂɐ̃læ,ɕiɔɕiŋtiʌʔxɑtiʌʔpɑpʌʔsuəlæ,tɑ̃ɕiŋgueɦotɕʰiboɦabovəʔzɑ̃le,ɕiɔɕĩntiəxatɕʰiʂɑ̃pulɛ,tsaikuaŋmãipuaʔkʰɯliaupeʔmtikkʰia,ɕiɑuɕinsuɑiɕiɑtɕʰypʰɑpuʂɑŋlai
38,iʂəŋtɕiɑunituoʂueixuər,isənxanɲitosueixər,isenxanlitosueixa,isɛntɕiɛun̩tokʰunnɑtsɹ̩,isiŋkiolikekʰuntsitle,taifutɕiaunitɤsueikəʔiəʔtsəŋtsəŋ,jisɐŋkiuneifɐntɔti,isiẽiaɯɲitokʰuaniɦɒ,tɛfv̩fɔtʂɛtɕiɔɲitufɨjxuɨɛfɔ,zɹ̩səntɕiɔlitʊʂueʂue,isenhamn̩tosoititmuk,ʔisentɕiɔnitokʰunkʰun,isəntɕiaunituosueixatsɹ̩,taifutɕiaunituoʂueiixuər,taifutɕiaunituofeiixa,taifuʐɑŋɲituɤtʰɑŋixuər,jisiɛtɕiɛɲitɤukʰyle,isə̃tɕiɔnitoʂueiʂuei,isəŋtɕiɔn̩teisueisuei,isãtɕiɔnoŋtukuəŋkuəŋ,iʂə̃ntɕiɔɲituəfeiiɯli,uiseŋkiolɯĩʔtsoie,taifutɕiɑunituosueitɕiɑu
39,tʂʰouianxɤtʂʰatoupuɕy,tsʰɹ̩iantsʰɹ̩tsʰatəuputsuən,tsʰɹ̩iantsʰɹ̩tsʰatəuiaoputɛ,tɕʰiɑʔiɛntɕʰiɑʔtsʰɑtupɨʔɕin,tsiaʔhunasilimteloŋbeiŋ,tsəʔiexaʔtsʰatəupəʔɕy,sikjinwaktsɛjɐmtsʰatoumtɐk,tɕʰiɒiẽhoʂɻ̩tɕʰiɒdzɒtəɯputɕyn,iãipv̩tɕiɔtʂʰɻ̩kɨtsʰaipv̩tɕiɔxukɨ,tɕʰiəʔiɪ̃kənxɐʔtʂʰatɯpəʔsɥ,sətianfattsasəttsʰatum̩tsotet,tɕʰioʔʔiɤ̃ɦuoʔtsɤtɕʰioʔdzɑtupəʔkʰoɦi,tɕʰiiɛnxuotsʰatəupuɕy,tʂʰouianxɤtʂʰatoupuɕiŋ,pupfẽtʂʰɻ̩iãxuotsʰa,tʂʰɤuianxɤtsʰatɤupuɕiŋ,fukytsʰɹ̩jivazɹ̩tsʰɹ̩tɕɤuojyɔfudʑake,tʂʰɻ̩iɛ̃tʂʰɻ̩tʂʰɐtuputʂuə̃,tʂʰʌʔiɤxʌʔtsʰɑtupʌʔɕiɑ,tɕʰiɪʔɕiãitɕʰiɪʔzozevəʔhɔɦə,tʂʰouiɛ̃nxətʂʰatoupupfə̃n,tsiaʔhuŋasitsiaʔteloŋmõ,tsʰouianxɤtʂɤxɤtsʰɑtoupuɕiŋ
40,ianiɛxɑutʂʰaiɛxɑuuotoupuxɑu,ianxotsʰaŋotəupuɕixuan,kuanlisɹ̩iansɹ̩tsʰaŋotəupuɕixuan,iɛnnɑhɑutsʰɑiɑhɑuŋotupɨʔɕifɵn,hunahoteahogualoŋboai,ieiexautsʰaiexauɣɤtəupəʔtaitɕie,jinjɐuhoutsʰajɐuhouŋɔtoumtsuŋji,iẽiɒhaɯdzoiɒhaɯŋodəɯpuɕihɔn,iãipatsʰaipanɔjkuamɔxɔtɔtʂɔ,iɪ̃iɤxɔtʂʰaiɤxɔʊtɯpəʔsɹ̩xʊ̃,ianiahautsʰaiahauŋaitum̩hau,ʔiɤ̃ɦɑhɔdzɑɦɑhɔŋotupəʔhuõɕiti,iɛniexautsʰaiexauŋuotəupuɕixuan,ianiɛxautʂʰaiɛxauuotouputɤi,iãtsʰaŋɤtoupuŋai,ianliɤtsʰaliɤvɤtɤupuxɔ,jiɦahɜdzoɦahɜŋ̩ofusɹ̩ɕy,iɛ̃iɛxɔtʂʰɐiɛxɔotupuxixuɐ̃,iɤiɤxɔtsʰɑiɤxɔŋiɤteipʌʔxɔ,ilɔzolɔŋozevəʔhuøɕi,iɛ̃niəpatʂʰaiəpavətoupuɛ,huŋahoteahoualoŋboiŋiaŋ,ianiexɑutsʰɑiexɑuuotoupuɕixuan
