sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Kunming,Pingyao,Shanghai,Lanzhou,Shantou,Tianjin
11,tʂeikəpineikəxau,tsekokannakoxau,tsɹ̩kokenpiakoxao,keitsɑʔpihetsɑʔhɑu,tsitlepihitlekʰaʔho,tsaipivaixau,neikɔhoukwɔkɔkɔ,kotʂopinɒtʂohaɯ,tʂɻ̩kɔpjnɛkɔxɔ,tikəpɹ̩lakəxɔ,etsakpietsakkuohau,kəʔkoʔpinɑkoʔhɔ,tsɤkuopinakuoxau,tʂeikɤpʰineikɤxau,tʂɻ̩kɤpiukɤxau,tseikɤkanneikɤxɔ,kikaipeihekaihɜ,tʂɻ̩kəpinəkəxɔ,tsʌʔxuæpiuʌʔxuæxɔ,diɪʔɦəʔpiɛɦəʔhɔ,tʂɻ̩kəkɛ̃nlɛkəxɔmɛ̃n,tsikaihokuehɯkai,tseikəpineikəxɑu
12,tʂeiɕiɛfɑŋtsɹ̩pupineiɕiɛfɑŋtsɹ̩xau,tseɕifaŋtsɹ̩motenaɕifaŋtsɹ̩xau,tsɹ̩ɕiɛfaŋtsɹ̩putɛaɕiɛfaŋtsɹ̩xao,keiɕiɛʔuʔmɑuiuheɕiɛʔuʔhɑu,tsiaetsʰubohiaetsʰuho,tsəʔɕiefɒ̃tsəʔməʔlavəʔɕiefɒ̃tsəʔxau,neitiukpɐtjykɔtiukhou,koxieɦɔntsɹ̩pupinɒsieɦɔntsɹ̩haɯ,tʂɻ̩ɕifɔ̃tsɻ̩mɔiɯnɛɕifɔ̃tsɻ̩xɔ,tisɹ̩fɑ̃tsəpəʔtɕiəʔlasɹ̩fɑ̃tsəxɔ,eteuvukemoketeuvukeanliaŋ,kəʔɕivɑŋtsɹ̩ɦɑzɹ̩nɑɕivɑŋtsɹ̩hɔ,tsɤɕiefaŋtsɹ̩mautɤnaɕiefaŋtsɹ̩xau,tʂeiɕiɛfaŋtsɹ̩puluneiɕiɛfaŋtsɹ̩xau,tʂɻ̩ɕiɛfaŋtsɹ̩puʂəŋuɕiɛfaŋtsɹ̩,tseiɕiɤfɑŋtsɹ̩mɤiɤuneiɕiɤfɑŋtsɹ̩xɔ,kilevuduɔnauhelevuduɔnaŋhɜ,tʂɻ̩ɕiɛfɐ̃tsɹ̩məutənəɕiɛfɐ̃tsɹ̩xɔ,tsʌʔɕiɤʐʌʔxuətsʌʔpʌʔtiuʌʔɕiɤʐʌʔxuətsʌʔxɔ,diɪʔŋevɑ̃tsɹ̩piimiiɪʔŋevãtsɹ̩tʰepe,tʂɻ̩ɕiəfɑ̃tsɹ̩m̩ioulɛɕiəfɑ̃tsɹ̩xɔ,tsitsʰoʔtsʰubohɯtsʰoʔtsʰuho,tɕieɕiefɑŋtsɹ̩puyneiɕiefɑŋtsɹ̩xɑu
13,,tsetɕyxuayoŋtsʰəntuxuatsakoso,,,,,,,,,,,,,,,,,,,,,
14,tʰatɕinniantuotasueiʂurlə,tʰatɕinɲianxautasueisuno,latɕinlianxaotala,tɕietɕinɲiɛntsɹ̩tɕitosuilo,ikinlĩukuihuelo,tʰatɕiəŋnietɤtalie,kʰøykɐmninkeitaila,tʰɒtɕinɲiẽhaɯtosəitɒ,tɕiatɕiə̃ɲiãtutasuɨfv̩liɔ,tʰatɕinliɪ̃xɔtasesʊlə,kikinŋiankitosee,tʰɑkenɲiɤ̃tɕisɥeitə,tʰatɕinniɛntɕiseiniau,tʰatɕinniantuotasueiʂulə,uotɕiẽniãtuoʂausueifu,tʰatɕiŋɲiantuɤtaliɤ,gikeɲikelesɹ̩a,tʰətɕĩniɛ̃totɐlə,uʌʔtɕiɑtɕiŋɲiɤteiʂɔɲiɤtɕiliɑ,ɦitɕiŋɲitɕisøləʔ,tʰatɕĩnɲiɛ̃ntuətalɔ,ikimnĩzioʔtsoihueou,tʰɑtɕinniantuotɑlə
15,takaitɕʰisanʂɻ̩laisuərpa,pʰaiəusansɹ̩saŋɕiano,pʰaiəusansɹ̩laisueiləuma,tsʰɑpɨʔtosansɨʔlɑsuipa,takʰaiusãtsapkuihuia,takaisæ̃səʔlaisueiva,jœkmɔksamsɐplɛŋsøyla,iomosanʂɹ̩tɕʰytiẽdəɯpai,takʰuɔ̃mv̩ɛsãʂɻ̩lɛsuɨiɯlia,tayɐʔmɐʔsæ̃ʂəʔuɑ̃sepa,samsəpsetsoiu,mɔsɤ̃zəʔsɥeikuɑŋtsɑŋ,takʰaisansɹ̩tuoseipa,takaisanʂɻ̩laisueipa,tamərsãʂɻ̩laisuər,takaisaʂɻ̩tuɤsueiliɤpa,dakesazaioba,pʰɐiəusɐ̃ʂɻ̩tosueilɐ,yʌʔmʌʔiəusɑŋʂʌʔlæsueiuɑ,daiaʔsesəʔsøɦuãlivaʔ,tamuɯsɛ̃nʂɻ̩tuəlɔ,tsʰamtosãtsapguahuenõ,tɑkaitɕʰisanʂɻ̩laisuərpɑ
16,tʂeituŋɕiioutuotʂʰən,tsekotoŋɕiiəuxautsoŋ,tsɹ̩kotoŋɕiiəuxaotsoŋa,kotsɑʔtuŋɕiiutɕitsʰuŋtso,tsitlebĩʔkintaŋle,tsaituəŋɕiiəutɤlaitsuəŋlɤ,neikɔjɛjɐukeitsʰuŋnɛ,kotʂɒtənsiiəɯhaɯdʐənnie,tʂɻ̩kɔtuə̃ɕjamə̃tʂuə̃tsɹ̩kɔiɯlia,tikətəŋsɹ̩tsəiɯxɔtʂəŋa,eketuŋsiiukitsʰuŋŋe,tɕiəʔkoʔtoŋɕitosɔdzoŋʔɑ,tsɤkuotoŋɕiiəutɕitsoŋ,tʂeikɤtuŋɕiioutuotʂʰənnə,tʂɤtuŋɕiioutuopfəŋ,tseikɤtuŋɕiiɤutuɤtʂuŋ,kikaimøzɹ̩jaukeledʑyɔa,tʂɻ̩kətoŋɕiiəutotʂoŋ,tsʌʔxuætuŋseiiəuteilætsuŋliʌʔ,gəʔtsaʔɦməʔzɹ̩ɦiɤtɕihozoŋ,tʂɻ̩kətũnɕiioutuəpfə̃nʂa,tsikaimuẽʔuzioʔtaŋa,tseikətuŋɕiioutuotsuŋnə
17,iouuʂɻ̩tɕintʂuŋnə,iəuusɹ̩tɕintsoŋo,iəuusɹ̩tɕintsoŋlɛ,iuŋ̩sɨʔtɕintsʰuŋŋe,ugɔtsapkintaŋle,iəuvusəʔtɕiəŋtsuəŋlɤ,siŋŋsɐpkɐntsʰuŋ,iəɯɯʂɻ̩tɕindʐən,v̩ʂɻ̩tɕiə̃iɯlia,iɯuʂəʔtɕintʂəŋʊ,iun̩səpkuokintsʰiŋŋo,ʔiøʔuzəʔtɕindzoŋlɤ,takʰaiiəuusɹ̩tuotɕinpa,iouuʂɻ̩tɕintʂʰən,iouuʂɻ̩tɕiẽpfəŋ,iɤuvuʂɻ̩tɕiŋ,jauŋ̩zaiotɕaŋdʑyɔ,iəuuʂɻ̩tɕĩtsoŋ,iəuuʌʔʂʌʔtɕiŋtsuŋliʌʔ,ɦiɤtəʔŋ̩səʔtɕiŋzoŋ,xapaiouvuʂɻ̩lɛtɕĩnli,hiatioʔuŋõutsapkɯŋtaŋnõ,iouuʂɻ̩tɕintsuŋnə
18,natətuŋma,nautetɕʰipu,latɛtoŋpu,lɑʔtɛʔtʰuŋpo,tʰeʔuhuaʔbo,natuəŋalu,niktɐkjukma,nɒtætɕʰipu,natuə̃lia,kʰəlatəŋa,natethimo,dotəʔdoŋʔuɑ,napunatɤtoŋ,nəŋnatuŋma,nateituŋ,nɤŋnatuŋma,tødoŋafu,kənɐtətoŋ,xeituŋlɔ,netəʔdoŋvaʔ,lə̃nlatũnma,kʰioʔoitiŋtaŋboi,nɑtituŋmɑ
19,uonatətuŋtʰanaputuŋ,ŋonautetɕʰitʰanauputɕʰi,ŋolatɛtoŋlalaputoŋ,ŋolɑʔtɛʔtʰuŋtɕiɛlɑʔpɨʔtʰuŋ,guatʰeʔuhuaʔitʰeʔbohuaʔ,ɣɤnatuəŋlautʰanapəʔtuəŋ,ŋɔniktɐkjukkʰøynikmjuk,ŋonɒtætɕʰitʰɒnɒputɕʰi,nɔnatuə̃liatɕianatuə̃l̩pɔ̃xɔ,ʊlatəŋtʰalapəʔtəŋ,ŋainaatethikinam̩hi,ŋodotəʔdoŋtʰɑdopəʔdoŋ,ŋuonatɤtoŋtʰanaputoŋ,uonəŋnatuŋtʰanaputuŋ,ŋɤnəŋnatuŋtʰanaputuŋ,vɤnatuŋɲitʰanaputuŋ,ŋ̩tødoŋgitøfudoŋ,onɐtətoŋtʰənɐputoŋ,ŋiɤxeituŋlɔuʌʔtɕiɑxeipʌʔtuŋ,ŋonetəʔdoŋɦinevəʔdoŋ,vələ̃nlatũntʰalaputũn,uakʰioʔoitiŋtaŋikʰioʔmtiŋtaŋ,uonɑtituŋtʰɑnɑputuŋ
20,tʂənputɕʰiŋtʂʰəntəlianuoiɛnaputuŋ,ŋənsɹ̩putɕʰinotsoŋtenianŋotəunauputɕʰi,ŋensɹ̩putɕʰinlɛtsoŋtɛlianŋotəulaputoŋ,tɔʔtsɨnmantsʰuŋtsʰuŋtɛʔliɛnŋotulɑʔpɨʔtʰuŋ,sittsaibokʰintaŋkalienguabãtʰeʔbuetintaŋ,tsəŋpəʔtɕʰiəŋtsuəŋtəʔlieɣɤienapəʔtuəŋ,tsɐnhɐimhɛŋtsʰuŋtoulinŋɔtounikmjuk,tsəntʂənputɕʰindʐəntætaɯŋotəɯnɒputɕʰi,ʂɻ̩xuapv̩tɕʰiə̃natʂuə̃tʂɔliãnɔanapv̩tuə̃na,tʂənpəʔtɕʰinliɪ̃ʊtɯlapəʔtəŋ,aiiahautsʰuŋŋolienŋaiianam̩tohi,tsentɑŋpəʔtɕʰindzoŋtəʔliɤ̃ŋotudopəʔdoŋ,tsənputɕʰintsoŋtɤŋuotəunaputoŋniau,tʂənputɕʰiŋtʂʰəntilianuoiɛnaputuŋ,tʂẽpfəŋpfəŋtiliãŋɤtounaputuŋ,tʂuɤʂɻ̩putɕʰiŋtʂuŋtilianvɤiɤnaputuŋ,dʑyɔzaŋeliŋ̩ɦatøfudoŋ,tʂə̃kənəputɕʰitʂoŋnəliɛ̃otunɐputoŋ,pʌʔtɕʰiŋliʌʔliɤŋiɤiɤxeipʌʔtuŋ,tsəŋvəʔtɕʰiŋzoŋtəʔleliŋoɦɑnevəʔdoŋ,aʂɻ̩xuaputɕʰĩnlaliɛ̃nvətoulaputũnla,bohokʰiŋtaŋkauualokʰioʔmtiŋtaŋa,tsənputɕʰiŋsəŋtsuŋtiuotounɑputuŋ
