dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
NC,Nanchang,1,谁啊?我是老三。,哪个哦?我是老三啰,,lɑ ko o ŋo sɿ lɑu san lo,lɑ213 ko45 o04 ŋo213 sɿ21 lɑu213 san42 lo02,lɑ ko o ŋo sɹ̩ lɑu san lo,lɑ213 ko45 o04 ŋo213 sɹ̩21 lɑu213 san42 lo02
NC,Nanchang,2,老四呢?她正跟一个朋友说着话呢。,老四哩?渠正在跟一个朋友谈坨,,lɑu sɿ li tɕie tsɨn tsˈai kiɛn iʔ kɔ pˈuŋ iu tˈan tˈo,lɑu213 sɿ45 li04 tɕie213 tsɨn45 tsˈai21 kiɛn42 iʔ5 kɔ45 pˈuŋ24 iu04 tˈan24 tˈo24,lɑu sɹ̩ li t͡ɕie t͡sɨn t͡sʰai kiɛn iʔ kɔ pʰuŋ iu tʰan tʰo,lɑu213 sɹ̩45 li04 t͡ɕie213 t͡sɨn45 t͡sʰai21 kiɛn42 iʔ5 kɔ45 pʰuŋ24 iu04 tʰan24 tʰo24
NC,Nanchang,3,她还没说完吗?,渠还冒谈完呐?,,tɕie haʔ mɑu tˈan uɵn nɑ,tɕie213 haʔ5 mɑu21 tˈan24 uɵn45 nɑ04,t͡ɕie haʔ mɑu tʰan uɵn nɑ,t͡ɕie213 haʔ5 mɑu21 tʰan24 uɵn45 nɑ04
NC,Nanchang,4,还没有。大概再有一会儿就说完了。,还冒。差不多再有得一下子就谈完了,,haʔ mɑu tsˈɑ pɨʔ to tsai iu tɛʔ iʔ hɑ tsɿ tɕiu tˈan uɵn liɛu,haʔ5 mɑu21 tsˈɑ42 pɨʔ5 to42 tsai45 iu213 tɛʔ04 iʔ5 hɑ21 tsɿ02 tɕiu21 tˈan24 uɵn45 liɛu04,haʔ mɑu t͡sʰɑ pɨʔ to t͡sai iu tɛʔ iʔ hɑ t͡sɹ̩ t͡ɕiu tʰan uɵn liɛu,haʔ5 mɑu21 t͡sʰɑ42 pɨʔ5 to42 t͡sai45 iu213 tɛʔ04 iʔ5 hɑ21 t͡sɹ̩02 t͡ɕiu21 tʰan24 uɵn45 liɛu04
NC,Nanchang,5,他说马上就走，怎么这半天了还在家里?,渠话马上就走，□箇半日了还在屋里嘛,,tɕie uɑ mɑ sɔŋ tɕˈiu tsɛu lɔŋ lo pɵn ȵiʔ liɛu haʔ tsˈai uɨʔ li mɑ,tɕie213 uɑ21 mɑ213 sɔŋ04 tɕˈiu21 tsɛu213 lɔŋ42 lo213 pɵn45 ȵiʔ5 liɛu02 haʔ tsˈai21 uɨʔ5 li02 mɑ02,t͡ɕie uɑ mɑ sɔŋ t͡ɕʰiu t͡sɛu lɔŋ lo pɵn ɲiʔ liɛu haʔ t͡sʰai uɨʔ li mɑ,t͡ɕie213 uɑ21 mɑ213 sɔŋ04 t͡ɕʰiu21 t͡sɛu213 lɔŋ42 lo213 pɵn45 ɲiʔ5 liɛu02 haʔ t͡sʰai21 uɨʔ5 li02 mɑ02
NC,Nanchang,6,你到哪儿去?我到城里去。,你到哪里去啊?我进城去,,n̩ tɑu lɑ li tɕˈie ɑ ŋo tɕin sɑŋ tɕˈie,n̩213 tɑu45 lɑ213 li04 tɕˈie213 ɑ04 ŋo213 tɕin45 sɑŋ45 tɕˈie213,n̩ tɑu lɑ li t͡ɕʰie ɑ ŋo t͡ɕin sɑŋ t͡ɕʰie,n̩213 tɑu45 lɑ213 li04 t͡ɕʰie213 ɑ04 ŋo213 t͡ɕin45 sɑŋ45 t͡ɕʰie213
NC,Nanchang,7,在那儿，不在这儿。,在许里，不在箇里,,tsˈai he li pɨʔ tsˈai ko li,tsˈai21 he213 li04 pɨʔ5 tsˈai21 ko213 li04,t͡sʰai he li pɨʔ t͡sʰai ko li,t͡sʰai21 he213 li04 pɨʔ5 t͡sʰai21 ko213 li04
NC,Nanchang,8,不是那么做，要这么做。,不是狠做个，要讲做,,pɨʔ sɿ hɛn tsu ko iɛu kɔŋ tsu,pɨʔ5 sɿ21 hɛn213 tsu45 ko04 iɛu45 kɔŋ213 tsu45,pɨʔ sɹ̩ hɛn t͡su ko iɛu kɔŋ t͡su,pɨʔ5 sɹ̩21 hɛn213 t͡su45 ko04 iɛu45 kɔŋ213 t͡su45
NC,Nanchang,9,太多了，用不着那么多，只要这么多就够了。,太多伤了，不要许那么多，只要笝多子就够了,,tˈai to sɔŋ liɛu pɨʔ iɛu he to tsɨʔ iɛu ko to tsɿ tɕˈiu kiɛu liɛu,tˈai213 to42 sɔŋ42 liɛu02 pɨʔ5 iɛu45 he213 to42 tsɨʔ5 iɛu45 ko213 to42 tsɿ02 tɕˈiu21 kiɛu45 liɛu04,tʰai to sɔŋ liɛu pɨʔ iɛu he to t͡sɨʔ iɛu ko to t͡sɹ̩ t͡ɕʰiu kiɛu liɛu,tʰai213 to42 sɔŋ42 liɛu02 pɨʔ5 iɛu45 he213 to42 t͡sɨʔ5 iɛu45 ko213 to42 t͡sɹ̩02 t͡ɕʰiu21 kiɛu45 liɛu04
NC,Nanchang,10,这个大，那个小，这两个哪一个好一点呢?,"□只大,许只小，箇两只哪只好滴子呢?",,kei tsɑʔ tˈai he tsɑʔ ɕiɛu ko liɔŋ tsɑʔ lɑ tsɑʔ hɑu tiɑʔ tsɿ le,kei213 tsɑʔ5 tˈai21 he213 tsɑʔ5 ɕiɛu213 ko21324 liɔŋ213 tsɑʔ5 lɑ213 tsɑʔ5 hɑu213 tiɑʔ04 tsɿ04 le04,kei t͡sɑʔ tʰai he t͡sɑʔ ɕiɛu ko liɔŋ t͡sɑʔ lɑ t͡sɑʔ hɑu tiɑʔ t͡sɹ̩ le,kei213 t͡sɑʔ5 tʰai21 he213 t͡sɑʔ5 ɕiɛu213 ko21324 liɔŋ213 t͡sɑʔ5 lɑ213 t͡sɑʔ5 hɑu213 tiɑʔ04 t͡sɹ̩04 le04
