dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TY,Taiyuan,22,现在还早着呢，等一会儿再去吧。,这阵阵还早着嘞，等一阵阵再去哇,,tsəʔ tsəŋ tsəŋ xai tsau təʔ lɤ təŋ iəʔ tsəŋ tsəŋ tsai tɕˈy va,tsəʔ2 tsəŋ45 tsəŋ4553 xai11 tsau53 təʔ lɤ təŋ53 iəʔ2 tsəŋ45 tsəŋ4553 tsai45 tɕˈy45 va53,t͡səʔ t͡səŋ t͡səŋ xai t͡sau təʔ lɤ təŋ iəʔ t͡səŋ t͡səŋ t͡sai t͡ɕʰy va,t͡səʔ2 t͡səŋ45 t͡səŋ4553 xai11 t͡sau53 təʔ lɤ təŋ53 iəʔ2 t͡səŋ45 t͡səŋ4553 t͡sai45 t͡ɕʰy45 va53
TY,Taiyuan,23,吃了饭再去好吗?,吃咾饭再去行咾哇,,tsˈəʔ lau fæ̃ tsai tɕˈy ɕiəŋ lau va,tsˈəʔ2 lau53 fæ̃45 tsai45 tɕˈy45 ɕiəŋ11 lau53 va11,t͡sʰəʔ lau fæ̃ t͡sai t͡ɕʰy ɕiəŋ lau va,t͡sʰəʔ2 lau53 fæ̃45 t͡sai45 t͡ɕʰy45 ɕiəŋ11 lau53 va11
TY,Taiyuan,24,慢慢儿吃啊，不要着急。,慢些儿吃，不敢着急,,mæ̃ ɕiar tsˈəʔ pəʔ kæ̃ tsəʔ tɕiəʔ,mæ̃45 ɕiar11 tsˈəʔ2 pəʔ245 kæ̃53 tsəʔ54 tɕiəʔ2,mæ̃ ɕiar t͡sʰəʔ pəʔ kæ̃ t͡səʔ t͡ɕiəʔ,mæ̃45 ɕiar11 t͡sʰəʔ2 pəʔ245 kæ̃53 t͡səʔ54 t͡ɕiəʔ2
TY,Taiyuan,25,坐着吃比站着吃好些。,坐着吃比站着吃好些儿,,tsuɤ təʔ tsˈəʔ pi tsæ̃ təʔ tsˈəʔ xau ɕiar,tsuɤ45 təʔ tsˈəʔ2 pi53 tsæ̃45 təʔ tsˈəʔ2 xau53 ɕiar11,t͡suɤ təʔ t͡sʰəʔ pi t͡sæ̃ təʔ t͡sʰəʔ xau ɕiar,t͡suɤ45 təʔ t͡sʰəʔ2 pi53 t͡sæ̃45 təʔ t͡sʰəʔ2 xau53 ɕiar11
TY,Taiyuan,26,他吃了饭了，你吃了饭没有呢?,他吃咾饭咧，你吃咧没啦,,tˈa tsˈəʔ lau fæ̃ lie ni tsˈəʔ lie məʔ la,tˈa11 tsˈəʔ2 lau53 fæ̃45 lie11 ni53 tsˈəʔ2 lie11 məʔ254 la11,tʰa t͡sʰəʔ lau fæ̃ lie ni t͡sʰəʔ lie məʔ la,tʰa11 t͡sʰəʔ2 lau53 fæ̃45 lie11 ni53 t͡sʰəʔ2 lie11 məʔ254 la11
TY,Taiyuan,27,他去过上海，我没有去过。,他去过上海，我没啦去过,,tˈa tɕˈy kuɤ sɒ̃ xai ɣɤ məʔ la tɕˈy kuɤ,tˈa11 tɕˈy45 kuɤ45 sɒ̃45 xai53 ɣɤ53 məʔ253 la11 tɕˈy45 kuɤ53,tʰa t͡ɕʰy kuɤ sɒ̃ xai ɣɤ məʔ la t͡ɕʰy kuɤ,tʰa11 t͡ɕʰy45 kuɤ45 sɒ̃45 xai53 ɣɤ53 məʔ253 la11 t͡ɕʰy45 kuɤ53
TY,Taiyuan,28,来闻闻这朵花香不香。,来闻闻哰花香不香,,lai vəŋ vəŋ tsai xua ɕiɒ̃ pəʔ ɕiɒ̃,lai11 vəŋ11 vəŋ11 tsai53 xua11 ɕiɒ̃11 pəʔ2 ɕiɒ̃11,lai vəŋ vəŋ t͡sai xua ɕiɒ̃ pəʔ ɕiɒ̃,lai11 vəŋ11 vəŋ11 t͡sai53 xua11 ɕiɒ̃11 pəʔ2 ɕiɒ̃11
TY,Taiyuan,29,给我一本书。,给我一本书,,kei ɣɤ iəʔ pəŋ su,kei53 ɣɤ53 iəʔ2 pəŋ53 su11,kei ɣɤ iəʔ pəŋ su,kei53 ɣɤ53 iəʔ2 pəŋ53 su11
TY,Taiyuan,30,我真的没有那本书呀。,我真的没啦𠰻书,,ɣɤ tsəŋ təʔ məʔ la vai su,ɣɤ53 tsəŋ11 təʔ2 məʔ254 la11 vai53 su11,ɣɤ t͡səŋ təʔ məʔ la vai su,ɣɤ53 t͡səŋ11 təʔ2 məʔ254 la11 vai53 su11
TY,Taiyuan,31,你告诉他。,你告给他,,ni kau kei tˈa,ni53 kau45 kei53 tˈa11,ni kau kei tʰa,ni53 kau45 kei53 tʰa11
