dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
GY,Guiyang,60,膝盖,克膝头 ,,kˈɛ ɕi tˈəu,kˈɛ21 ɕi55 tˈəu21,kʰɛɕitʰəu,kʰɛ21ɕi55tʰəu21
GY,Guiyang,61,腿,罢腿 ,,pa tˈuei,pa213 tˈuei42,patʰuei,pa213tʰuei42
GY,Guiyang,62,父亲,爸爸,,pa pa,pa21 pa55,papa,pa21pa55
GY,Guiyang,63,母亲,妈 ,,ma,ma55,ma,ma55
GY,Guiyang,64,祖父,爷爷,,iɛ iɛ,iɛ21 iɛ55,iɛiɛ,iɛ21iɛ55
GY,Guiyang,65,祖母,太太 ,,tˈai tˈai,tˈai21 tˈai213,tʰaitʰai,tʰai21tʰai213
GY,Guiyang,66,伯父,伯伯 ,,pɛ pɜ,pɛ21 pɜ55,pɛpɜ,pɛ21pɜ55
GY,Guiyang,67,伯母,伯妈 ,,pɛ ma,pɛ21 ma55,pɛma,pɛ21ma55
GY,Guiyang,68,叔父,叔叔 ,,su su,su21 su55,susu,su21su55
GY,Guiyang,69,叔母,婶婶 ,,sen sen,sen42 sen42,sensen,sen42sen42
GY,Guiyang,70,外祖父,公公 ,,koŋ koŋ,koŋ55 koŋ55,koŋkoŋ,koŋ55koŋ55
GY,Guiyang,71,外祖母,婆婆 ,,pˈo pˈo,pˈo21 pˈo55,pʰopʰo,pʰo21pʰo55
GY,Guiyang,72,舅舅,舅舅 ,,tɕiəu tɕiəu,tɕiəu21 tɕiəu213,t͡ɕiəut͡ɕiəu,t͡ɕiəu21t͡ɕiəu213
GY,Guiyang,73,舅母,舅妈 ,,tɕiəu ma,tɕiəu213 ma55,t͡ɕiəuma,t͡ɕiəu213ma55
GY,Guiyang,74,丈夫,男人 ,,lan zen,lan21 zen21,lanzen,lan21zen21
GY,Guiyang,75,妻子,女的 ,,li lɛ,li42 lɛ55,lilɛ,li42lɛ55
GY,Guiyang,76,儿子,儿子 ,,ə˞ tsɿ,ə˞21 tsɿ42,ə˞t͡sɹ̩,ə˞21t͡sɹ̩42
GY,Guiyang,77,女儿,姑娘 ,,ku liaŋ,ku55 liaŋ55,kuliaŋ,ku55liaŋ55
GY,Guiyang,78,早饭,过早 ,,ko tsao,ko213 tsao42,kot͡sao,ko213t͡sao42
GY,Guiyang,79,午饭,中午饭,,tsoŋ u fan,tsoŋ55 u42 fan213,t͡soŋufan,t͡soŋ55u42fan213
GY,Guiyang,80,晚饭,晚饭 ,,uan fan,uan42 fan213,uanfan,uan42fan213
GY,Guiyang,81,面条,面 ,,mian,mian213,mian,mian213
GY,Guiyang,82,馒头,馒头 ,,man tˈəu,man21 tˈəu55,mantʰəu,man21tʰəu55
GY,Guiyang,83,包子,包子 ,,pao tsɿ,pao55 tsɿ42,paot͡sɹ̩,pao55t͡sɹ̩42
GY,Guiyang,84,馄饨,馄吞 ,,kˈuen tˈen,kˈuen21 tˈen55,kʰuentʰen,kʰuen21tʰen55
GY,Guiyang,85,醋,醋 ,,tsˈu,tsˈu213,t͡sʰu,t͡sʰu213
GY,Guiyang,86,酱油,酱油 ,,tɕiaŋ iəu,tɕiaŋ213 iəu21,t͡ɕiaŋiəu,t͡ɕiaŋ213iəu21
GY,Guiyang,87,盐,盐巴 ,,ian pa,ian21 pa55,ianpa,ian21pa55
GY,Guiyang,88,筷子,筷子 ,,kˈuai tsɿ,kˈuai213 tsɿ42,kʰuait͡sɹ̩,kʰuai213t͡sɹ̩42
GY,Guiyang,89,勺儿,瓢儿 ,,pˈiao ə˞,pˈiao21 ə˞55,pʰiaoə˞,pʰiao21ə˞55
GY,Guiyang,90,男人,男的 ,,lan lɛ,lan21 lɛ55,lanlɛ,lan21lɛ55
GY,Guiyang,91,女人,女的 ,,li lɛ,li42 lɛ55,lilɛ,li42lɛ55
GY,Guiyang,92,男孩子,男娃娃 ,,lan ua ua,lan21 ua21 ua55,lanuaua,lan21ua21ua55
GY,Guiyang,93,女孩子,女娃娃 ,,li ua ua,li42 ua21 ua55,liuaua,li42ua21ua55
GY,Guiyang,94,老头儿,老者 ,,lao tsei,lao42 tsei42,laot͡sei,lao42t͡sei42
GY,Guiyang,95,医生,医生 ,,i sen,i55 sen55,isen,i55sen55
GY,Guiyang,96,厨师,厨子,,tsˈu tsɿ,tsˈu21 tsɿ42,t͡sʰut͡sɹ̩,t͡sʰu21t͡sɹ̩42
GY,Guiyang,97,乞丐,叫化子 ,,tɕiao xua tsɿ,tɕiao213 xua213 tsɿ42,t͡ɕiaoxuat͡sɹ̩,t͡ɕiao213xua213t͡sɹ̩42
GY,Guiyang,98,保姆,保姆 ,,pao mu,pao42 mu42,paomu,pao42mu42
GY,Guiyang,99,病了,生病了 ,,sen pin əu,sen55 pin213 əu213,senpinəu,sen55pin213əu213
GY,Guiyang,100,伤风,凉倒 ,,liaŋ tao,liaŋ21 tao42,liaŋtao,liaŋ21tao42
GY,Guiyang,101,泻肚,肚皮不好 ,,tu pˈi pu xao,tu213 pˈi21 pu21 xao42,tupʰipuxao,tu213pʰi21pu21xao42
GY,Guiyang,102,瘸子,□子,,pai tsɿ,pai55 tsɿ42,pait͡sɹ̩,pai55t͡sɹ̩42
GY,Guiyang,103,驼背,驼子 ,,tˈo tsɿ,tˈo21 tsɿ42,tʰot͡sɹ̩,tʰo21t͡sɹ̩42
GY,Guiyang,104,死了,死了 ,,sɿ əu,sɿ42 əu213,sɹ̩əu,sɹ̩42əu213
GY,Guiyang,105,看病,看病 ,,kˈan pin,kˈan213 pin213,kʰanpin,kʰan213pin213
GY,Guiyang,106,我,我,,ŋo,ŋo42,ŋo,ŋo42
GY,Guiyang,107,你,你,,li,li42,li,li42
GY,Guiyang,108,他,他,,la,la55,la,la55
GY,Guiyang,109,我们,我们,,ŋo men,ŋo42 men55,ŋomen,ŋo42men55
GY,Guiyang,110,你们,你们,,li men,li42 men55,limen,li42men55
GY,Guiyang,111,他们,他们,,la men,la55 men55,lamen,la55men55
GY,Guiyang,112,咱们,我们,,ŋo men,ŋo42 men55,ŋomen,ŋo42men55
GY,Guiyang,113,自己,自己 ,,tsɿ tɕi,tsɿ213 tɕi42,t͡sɹ̩t͡ɕi,t͡sɹ̩213t͡ɕi42
GY,Guiyang,114,谁,哪个 ,,la ko,la42 ko213,lako,la42ko213
GY,Guiyang,115,什么,朗子 ,,laŋ tsɿ,laŋ42 tsɿ42,laŋt͡sɹ̩,laŋ42t͡sɹ̩42
GY,Guiyang,116,这里,这点,,tsɿ tɛ,tsɿ55 tɛ42,t͡sɹ̩tɛ,t͡sɹ̩55tɛ42
GY,Guiyang,117,那里,那点,,a tɛ,a55 tɛ42,atɛ,a55tɛ42
GY,Guiyang,118,哪里,哪点,,la tɛ,la42 tɛ42,latɛ,la42tɛ42
GY,Guiyang,119,这个,这个,,tsɿ ko,tsɿ55 ko213,t͡sɹ̩ko,t͡sɹ̩55ko213
GY,Guiyang,120,那个,那个,,a ko,a55 ko213,ako,a55ko213
GY,Guiyang,121,哪一个,哪个 ,,la ko,la42 ko213,lako,la42ko213
GY,Guiyang,122,怎么样,咋个样,,tsa ko iaŋ,tsa21 ko21 iaŋ213,t͡sakoiaŋ,t͡sa21ko21iaŋ213
GY,Guiyang,123,上头,上头,,saŋ tˈəu,saŋ213 tˈəu55,saŋtʰəu,saŋ213tʰəu55
GY,Guiyang,124,下头,下头,,ɕia tˈəu,ɕia213 tˈəu55,ɕiatʰəu,ɕia213tʰəu55
GY,Guiyang,125,左边,左边,,tso pian,tso42 pian55,t͡sopian,t͡so42pian55
GY,Guiyang,126,右边,右边,,iəu pian,iəu213 pian55,iəupian,iəu213pian55
GY,Guiyang,127,当中,当中,,taŋ tsoŋ,taŋ55 tsoŋ55,taŋt͡soŋ,taŋ55t͡soŋ55
GY,Guiyang,128,里面,里头,,i tˈəu,i42 tˈəu55,itʰəu,i42tʰəu55
GY,Guiyang,129,外面,外头,,uai tˈəu,uai213 tˈəu55,uaitʰəu,uai213tʰəu55
GY,Guiyang,130,甜,甜,,tˈian,tˈian21,tʰian,tʰian21
GY,Guiyang,131,酸,酸,,suan,suan55,suan,suan55
GY,Guiyang,132,咸,咸,,ɕian,ɕian21,ɕian,ɕian21
GY,Guiyang,133,淡,淡,,tan,tan213,tan,tan213
GY,Guiyang,134,胖,□,,maŋ,maŋ55,maŋ,maŋ55
GY,Guiyang,135,瘦,瘦,,səu,səu213,səu,səu213
GY,Guiyang,136,冷,冷,,len,len42,len,len42
GY,Guiyang,137,热,热,,zɛ,zɛ21,zɛ,zɛ21
GY,Guiyang,138,香,香,,ɕiaŋ,ɕiaŋ55,ɕiaŋ,ɕiaŋ55
GY,Guiyang,139,臭,臭,,tsˈəu,tsˈəu213,t͡sʰəu,t͡sʰəu213
GY,Guiyang,140,粗,粗,,tsˈu,tsˈu55,t͡sʰu,t͡sʰu55
GY,Guiyang,141,细,细,,ɕi,ɕi213,ɕi,ɕi213
GY,Guiyang,142,长,长,,tsˈaŋ,tsˈaŋ21,t͡sʰaŋ,t͡sʰaŋ21
GY,Guiyang,143,短,短,,tuan,tuan42,tuan,tuan42
GY,Guiyang,144,脏,腊踏,,la tˈa,la21 tˈa21,latʰa,la21tʰa21
GY,Guiyang,145,干净,干净 ,,kan tɕin,kan55 tɕin213,kant͡ɕin,kan55t͡ɕin213
GY,Guiyang,146,便宜,便宜 ,,pˈian i,pˈian21 i213,pʰiani,pʰian21i213
GY,Guiyang,147,刚(来),将才 ,,tɕiaŋ tsˈai,tɕiaŋ55 tsˈai21,t͡ɕiaŋt͡sʰai,t͡ɕiaŋ55t͡sʰai21
GY,Guiyang,148,刚(合适),将将的 ,,tɕiaŋ tɕiaŋ lɛ,tɕiaŋ55 tɕiaŋ55 lɛ55,t͡ɕiaŋt͡ɕiaŋlɛ,t͡ɕiaŋ55t͡ɕiaŋ55lɛ55
GY,Guiyang,149,正好,正对头 ,,tsen tuei tˈəu,tsen213 tuei213 tˈəu21,t͡sentueitʰəu,t͡sen213tuei213tʰəu21
