dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,47,烟囱,烟筒,,ian tˈuŋ,ian44 tˈuŋ,ian44 tʰuŋ,ian tʰuŋ
HB,Harbin,48,桌子,桌子,,tʂuo tsɿ,tʂuo44 tsɿ,tʂuo44 t͡sɹ̩,tʂuo t͡sɹ̩
HB,Harbin,49,楼梯,楼梯 ,,lou tˈi,lou24 tˈi44,lou24 tʰi44,lou tʰi
HB,Harbin,50,头,头,,tˈou,tˈou24,tʰou24,tʰou
HB,Harbin,51,额头,锛儿娄 ,,pər lou,pər24 lou,pər24 lou,pər lou
HB,Harbin,52,脸,脸 ,,lian,lian213,lian213,lian
HB,Harbin,53,鼻子,鼻子 ,,pi tsɿ,pi24 tsɿ,pi24 t͡sɹ̩,pi t͡sɹ̩
HB,Harbin,54,脖子,脖子,,pɤ tsɿ,pɤ24 tsɿ,pɤ24 t͡sɹ̩,pɤ t͡sɹ̩
HB,Harbin,55,左手,左手,,tsuo ʂou,tsuo21324 ʂou213,t͡suo21324 ʂou213,t͡suo ʂou
HB,Harbin,56,右手,右手 ,,iou ʂou,iou53 ʂou213,iou53 ʂou213,iou ʂou
HB,Harbin,57,拳头,拳头,,tɕˈyan tˈou,tɕˈyan24 tˈou,t͡ɕʰyan24 tʰou,t͡ɕʰyan tʰou
HB,Harbin,58,手指头,手指头 ,,ʂou tʂɿ tˈou,ʂou21324 tʂɿ21321 tˈou,ʂou21324 tʂɹ̩21321 tʰou,ʂou tʂɹ̩ tʰou
HB,Harbin,59,指甲,手指盖儿 ,,ʂou tʂʅ kar,ʂou21321 tʂʅ kar53,ʂou21321 tʂɻ̩ kar53,ʂou tʂɻ̩ kar
HB,Harbin,60,膝盖,簸棱盖儿 ,,pɤ ləŋ kar,pɤ21321 ləŋ kar53,pɤ21321 ləŋ kar53,pɤ ləŋ kar
HB,Harbin,61,腿,腿 ,,tˈuei,tˈuei213,tʰuei213,tʰuei
HB,Harbin,62,父亲,爸,,pa,pa53,pa53,pa
HB,Harbin,63,母亲,妈,,ma,ma44,ma44,ma
HB,Harbin,64,祖父,爷,,iɛ iɛ,iɛ24 iɛ,iɛ24 iɛ,iɛ iɛ
HB,Harbin,65,祖母,奶 ,,nai,nai213,nai213,nai
HB,Harbin,66,伯父,大爷 ,,ta iɛ,ta53 iɛ,ta53 iɛ,ta iɛ
HB,Harbin,67,伯母,大娘,,ta niaŋ,ta53 niaŋ24,ta53 niaŋ24,ta niaŋ
HB,Harbin,68,叔父,叔,,ʂu,ʂu24,ʂu24,ʂu
HB,Harbin,69,叔母,婶儿 ,,ʂər,ʂər213,ʂər213,ʂər
HB,Harbin,70,外祖父,姥爷 ,,lau iɛ,lau21321 iɛ,lau21321 iɛ,lau iɛ
HB,Harbin,71,外祖母,姥儿 ,,laur,laur213,laur213,laur
HB,Harbin,72,舅舅,舅,,tɕiou,tɕiou53,t͡ɕiou53,t͡ɕiou
HB,Harbin,73,舅母,舅母,,tɕiou mu,tɕiou53 mu,t͡ɕiou53 mu,t͡ɕiou mu
HB,Harbin,74,丈夫,丈夫 ,,tʂaŋ fu,tʂaŋ53 fu,tʂaŋ53 fu,tʂaŋ fu
HB,Harbin,75,妻子,老婆 ,,lau pˈɤ,lau21321 pˈɤ,lau21321 pʰɤ,lau pʰɤ
HB,Harbin,76,儿子,儿子 ,,ə˞ tsɿ,ə˞24 tsɿ,ə˞24 t͡sɹ̩,ə˞ t͡sɹ̩
HB,Harbin,77,女儿,姑娘 ,,ku niaŋ,ku44 niaŋ,ku44 niaŋ,ku niaŋ
HB,Harbin,78,早饭,早上饭,,tsau ʂaŋ fan,tsau21321 ʂaŋ fan53,t͡sau21321 ʂaŋ fan53,t͡sau ʂaŋ fan
HB,Harbin,79,午饭,晌午饭,,ʂaŋ u fan,ʂaŋ21321 u fan53,ʂaŋ21321 u fan53,ʂaŋ u fan
HB,Harbin,80,晚饭,晚上饭 ,,uan ʂaŋ fan,uan21321 ʂaŋ fan53,uan21321 ʂaŋ fan53,uan ʂaŋ fan
HB,Harbin,81,面条,面条儿,,mian tˈiaur,mian53 tˈiaur24,mian53 tʰiaur24,mian tʰiaur
HB,Harbin,82,馒头,馒头 ,,man tˈou,man24 tˈou,man24 tʰou,man tʰou
HB,Harbin,83,包子,包子 ,,pau tsɿ,pau44 tsɿ,pau44 t͡sɹ̩,pau t͡sɹ̩
HB,Harbin,84,馄饨,馄饨 ,,xuən tuən,xuən24 tuən,xuən24 tuən,xuən tuən
HB,Harbin,85,醋,忌讳 ,,tɕi xuei,tɕi53 xuei,t͡ɕi53 xuei,t͡ɕi xuei
HB,Harbin,86,酱油,青酱 ,,tɕˈiŋ tɕiaŋ,tɕˈiŋ44 tɕiaŋ53,t͡ɕʰiŋ44 t͡ɕiaŋ53,t͡ɕʰiŋ t͡ɕiaŋ
HB,Harbin,87,盐,咸盐 ,,ɕian ian,ɕian24 ian24,ɕian24 ian24,ɕian ian
HB,Harbin,88,筷子,筷子 ,,kˈuai tsɿ,kˈuai53 tsɿ,kʰuai53 t͡sɹ̩,kʰuai t͡sɹ̩
HB,Harbin,89,勺儿,勺子 ,,ʂau tsɿ,ʂau24 tsɿ,ʂau24 t͡sɹ̩,ʂau t͡sɹ̩
HB,Harbin,90,男人,男人,,nan ʐən,nan24 ʐən24,nan24 ʐən24,nan ʐən
HB,Harbin,91,女人,女人,,ny ʐən,ny21321 ʐən24,ny21321 ʐən24,ny ʐən
HB,Harbin,92,男孩子,小子 ,,ɕiau tsɿ,ɕiau21321 tsɿ,ɕiau21321 t͡sɹ̩,ɕiau t͡sɹ̩
HB,Harbin,93,女孩子,丫头 ,,ia tˈou,ia44 tˈou,ia44 tʰou,ia tʰou
HB,Harbin,94,老头儿,老头儿 ,,lau tˈour,lau21321 tˈour24,lau21321 tʰour24,lau tʰour
HB,Harbin,95,医生,大夫 ,,tai fu,tai53 fu,tai53 fu,tai fu
HB,Harbin,96,厨师,大师傅 ,,ta ʂʅ fu,ta53 ʂʅ fu,ta53 ʂɻ̩ fu,ta ʂɻ̩ fu
HB,Harbin,97,乞丐,要饭的,,iau fan ti,iau53 fan53 ti,iau53 fan53 ti,iau fan ti
HB,Harbin,98,保姆,老妈子 ,,lau ma tsɿ,lau21321 ma44 tsɿ,lau21321 ma44 t͡sɹ̩,lau ma t͡sɹ̩
HB,Harbin,99,病了,病了,,piŋ lə,piŋ53 lə,piŋ53 lə,piŋ lə
HB,Harbin,100,伤风,伤风,,ʂaŋ fəŋ,ʂaŋ44 fəŋ44,ʂaŋ44 fəŋ44,ʂaŋ fəŋ
HB,Harbin,101,泻肚,闹肚子 ,,nau tu tsɿ,nau53 tu53 tsɿ,nau53 tu53 t͡sɹ̩,nau tu t͡sɹ̩
HB,Harbin,102,瘸子,瘸子 ,,tɕˈyɛ tsɿ,tɕˈyɛ24 tsɿ,t͡ɕʰyɛ24 t͡sɹ̩,t͡ɕʰyɛ t͡sɹ̩
HB,Harbin,103,驼背,罗锅儿 ,,luo kuor,luo24 kuor44,luo24 kuor44,luo kuor
HB,Harbin,104,死了,死了 ,,sɿ lə,sɿ21321 lə,sɹ̩21321 lə,sɹ̩ lə
HB,Harbin,105,看病,看病 ,,kˈan piŋ,kˈan53 piŋ53,kʰan53 piŋ53,kʰan piŋ
HB,Harbin,106,我,我,,uo,uo213,uo213,uo
HB,Harbin,107,你,你,,ni,ni213,ni213,ni
HB,Harbin,108,他,他,,tˈa,tˈa44,tʰa44,tʰa
HB,Harbin,109,我们,我们,,uo mən,uo21321 mən,uo21321 mən,uo mən
HB,Harbin,110,你们,你们,,ni mən,ni21321 mən,ni21321 mən,ni mən
HB,Harbin,111,他们,他们,,tˈa mən,tˈa44 mən,tʰa44 mən,tʰa mən
HB,Harbin,112,咱们,咱们,,tsan mən,tsan24 mən,t͡san24 mən,t͡san mən
HB,Harbin,113,自己,自己,,tsɿ tɕi,tsɿ53 tɕi213,t͡sɹ̩53 t͡ɕi213,t͡sɹ̩ t͡ɕi
HB,Harbin,114,谁,谁,,ʂei,ʂei24,ʂei24,ʂei
HB,Harbin,115,什么,啥,,ʂa,ʂa24,ʂa24,ʂa
HB,Harbin,116,这里,这疙儿 ,,tʂei kar,tʂei53 kar44,tʂei53 kar44,tʂei kar
HB,Harbin,117,那里,那疙儿 ,,nei kar,nei53 kar44,nei53 kar44,nei kar
HB,Harbin,118,哪里,哪疙儿 ,,nei kar,nei21321 kar44,nei21321 kar44,nei kar
HB,Harbin,119,这个,这个 ,,tʂei kɤ,tʂei53 kɤ,tʂei53 kɤ,tʂei kɤ
HB,Harbin,120,那个,那个,,nei kɤ,nei53 kɤ,nei53 kɤ,nei kɤ
HB,Harbin,121,哪一个,哪一个,,nei i kɤ,nei21321 i kɤ,nei21321 i kɤ,nei i kɤ
HB,Harbin,122,怎么样,咋样 ,,tsa iaŋ,tsa21321 iaŋ53,t͡sa21321 iaŋ53,t͡sa iaŋ
HB,Harbin,123,一位客人,位,,uei,uei53,uei53,uei
HB,Harbin,124,刚(合适),正 ,,tʂəŋ,tʂəŋ53,tʂəŋ53,tʂəŋ
HB,Harbin,125,正好,正好儿,,tʂəŋ xaur,tʂəŋ53 xaur213,tʂəŋ53 xaur213,tʂəŋ xaur
HB,Harbin,126,和,和,,xɤ,xɤ53,xɤ53,xɤ
HB,Harbin,127,只,只,,tʂʅ,tʂʅ213,tʂɻ̩213,tʂɻ̩
HB,Harbin,128,从,从,,tsˈuŋ,tsˈuŋ24,t͡sʰuŋ24,t͡sʰuŋ
HB,Harbin,129,替,替 ,,tˈi,tˈi53,tʰi53,tʰi
HB,Harbin,130,拿,拿,,na,na24,na24,na
HB,Harbin,131,故意,净意儿,,tɕiŋ iər,tɕiŋ53 iər213,t͡ɕiŋ53 iər213,t͡ɕiŋ iər
HB,Harbin,132,一,一,,i,i44,i44,i
HB,Harbin,133,二,二,,ə˞,ə˞53,ə˞53,ə˞
HB,Harbin,134,三,三,,san,san44,san44,san
HB,Harbin,135,四,四,,sɿ,sɿ53,sɹ̩53,sɹ̩
HB,Harbin,136,五,五,,u,u213,u213,u
HB,Harbin,137,六,六,,liou,liou53,liou53,liou
HB,Harbin,138,七,七,,tɕˈi,tɕˈi44,t͡ɕʰi44,t͡ɕʰi
HB,Harbin,139,八,八,,pa,pa44,pa44,pa
HB,Harbin,140,九,九,,tɕiou,tɕiou213,t͡ɕiou213,t͡ɕiou
HB,Harbin,141,十,十,,ʂʅ,ʂʅ24,ʂɻ̩24,ʂɻ̩
HB,Harbin,142,十一,十一,,ʂʅ i,ʂʅ24 i44,ʂɻ̩24 i44,ʂɻ̩ i
HB,Harbin,143,十二,十二,,ʂʅ ə˞,ʂʅ24 ə˞53,ʂɻ̩24 ə˞53,ʂɻ̩ ə˞
HB,Harbin,144,二十,二十,,ə˞ ʂʅ,ə˞53 ʂʅ24,ə˞53 ʂɻ̩24,ə˞ ʂɻ̩
HB,Harbin,145,二十一,二十一,,ə˞ ʂʅ i,ə˞53 ʂʅ24 i44,ə˞53 ʂɻ̩24 i44,ə˞ ʂɻ̩ i
