dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,107,你,你,,ȵi,ȵi53,ɲi,ɲi53
CD,Chengdu,108,他,他,,tˈa,tˈa55,tʰa,tʰa55
CD,Chengdu,109,我们,我们,,ŋo mən,ŋo53 mən3155,ŋo mən,ŋo53 mən3155
CD,Chengdu,110,你们,你们,,ȵi mən,ȵi53 mən3155,ɲi mən,ɲi53 mən3155
CD,Chengdu,111,他们,他们,,tˈa mən,tˈa55 mən3155,tʰa mən,tʰa55 mən3155
CD,Chengdu,112,咱们,我们,,ŋo mən,ŋo53 mən3155,ŋo mən,ŋo53 mən3155
CD,Chengdu,113,自己,各人,,ko zən,ko31 zən31,ko zən,ko31 zən31
CD,Chengdu,114,谁,哪个,,na ko,na53 ko13,na ko,na53 ko13
CD,Chengdu,115,什么,啥子,,sa tsɿ,sa13 tsɿ53,sa t͡sɹ̩,sa13 t͡sɹ̩53
CD,Chengdu,116,这里,这儿,,tsər,tsər55,t͡sər,t͡sər55
CD,Chengdu,117,那里,那儿,,nər,nər55,nər,nər55
CD,Chengdu,118,哪里,哪儿,,nər,nər53,nər,nər53
CD,Chengdu,119,这个,这个,,tse ko,tse13 ko1355,t͡se ko,t͡se13 ko1355
CD,Chengdu,120,那个,那个,,na ko,na13 ko1355,na ko,na13 ko1355
CD,Chengdu,121,哪一个,哪个,,na ko,na53 ko13,na ko,na53 ko13
CD,Chengdu,122,怎么样,啷个,,naŋ ko,naŋ53 ko13,naŋ ko,naŋ53 ko13
CD,Chengdu,123,一位客人,一个客人,,ko,ko13,ko,ko13
CD,Chengdu,124,粗,粗,,tsˈu,tsˈu55,t͡sʰu,t͡sʰu55
CD,Chengdu,125,细,细,,ɕi,ɕi13,ɕi,ɕi13
CD,Chengdu,126,长,长,,tsˈaŋ,tsˈaŋ31,t͡sʰaŋ,t͡sʰaŋ31
CD,Chengdu,127,短,短,,tuan,tuan53,tuan,tuan53
CD,Chengdu,128,脏,脏,,tsaŋ,tsaŋ55,t͡saŋ,t͡saŋ55
CD,Chengdu,129,干净,干净,,kan tɕin,kan55 tɕin13,kan t͡ɕin,kan55 t͡ɕin13
CD,Chengdu,130,便宜,相因,,ɕiaŋ in,ɕiaŋ55 in55,ɕiaŋ in,ɕiaŋ55 in55
CD,Chengdu,131,刚(来),才,,tsˈai,tsˈai31,t͡sʰai,t͡sʰai31
CD,Chengdu,132,刚(合适),正,,tsˈən,tsˈən13,t͡sʰən,t͡sʰən13
