dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,33,好好地走，不要跑。,好好儿走，㛳跑,,xau xaur tsou pau pˈau,xau53 xaur5324 tsou53 pau21 pˈau53,xau53 xaur5324 t͡sou53 pau21 pʰau53,xau xaur t͡sou pau pʰau,Xian,XA
XA,Xian,34,小心跌下去爬不上来。,小心，跌下去就上不来咧,,ɕiau ɕiẽ tiɛ xa tɕˈi tsou ʂaŋ pu lai liɛ,ɕiau53 ɕiẽ tiɛ21 xa44 tɕˈi tsou44 ʂaŋ44 pu lai24 liɛ,ɕiau53 ɕiẽ tiɛ21 xa44 t͡ɕʰi t͡sou44 ʂaŋ44 pu lai24 liɛ,ɕiau ɕiẽ tiɛ xa t͡ɕʰi t͡sou ʂaŋ pu lai liɛ,Xian,XA
XA,Xian,35,医生叫你多睡睡。,大夫叫你多睡一下,,tai fu tɕiau ni tuo fei i xa,tai44 fu tɕiau44 ni53 tuo21 fei44 i21 xa,tai44 fu t͡ɕiau44 ni53 tuo21 fei44 i21 xa,tai fu t͡ɕiau ni tuo fei i xa,Xian,XA
XA,Xian,36,抽烟或者喝茶都不许。,不准吃烟喝茶,,pu pfẽ tʂˈʅ iã xuo tsˈa,pu21 pfẽ53 tʂˈʅ2124 iã21 xuo21 tsˈa24,pu21 pfẽ53 tʂʰɻ̩2124 iã21 xuo21 t͡sʰa24,pu pfẽ tʂʰɻ̩ iã xuo t͡sʰa,Xian,XA
XA,Xian,37,烟也好，茶也好，我都不喜欢。,烟茶我都不爱,,iã tsˈa ŋɤ tou pu ŋai,iã21 tsˈa24 ŋɤ53 tou24 pu21 ŋai44,iã21 t͡sʰa24 ŋɤ53 tou24 pu21 ŋai44,iã t͡sʰa ŋɤ tou pu ŋai,Xian,XA
XA,Xian,38,不管你去不去，反正我是要去的。,不管你去不去，反正我要去呢,,pu kuã ni tɕˈi pu tɕˈi fã tʂəŋ ŋɤ iau tɕˈi ni,pu21 kuã53 ni53 tɕˈi44 pu21 tɕˈi44 fã21 tʂəŋ44 ŋɤ53 iau44 tɕˈi44 ni,pu21 kuã53 ni53 t͡ɕʰi44 pu21 t͡ɕʰi44 fã21 tʂəŋ44 ŋɤ53 iau44 t͡ɕʰi44 ni,pu kuã ni t͡ɕʰi pu t͡ɕʰi fã tʂəŋ ŋɤ iau t͡ɕʰi ni,Xian,XA
XA,Xian,39,我非去不可。,我非去不可,,ŋɤ fi tɕˈi pu kˈɤ,ŋɤ53 fi21 tɕˈi44 pu21 kˈɤ53,ŋɤ53 fi21 t͡ɕʰi44 pu21 kʰɤ53,ŋɤ fi t͡ɕʰi pu kʰɤ,Xian,XA
XA,Xian,40,你是哪一年来的?,你是啊一年来的,,ni sɿ a i niã lai ti,ni53 sɿ44 a53 i21 niã24 lai24 ti,ni53 sɹ̩44 a53 i21 niã24 lai24 ti,ni sɹ̩ a i niã lai ti,Xian,XA
XA,Xian,41,我是前年到的北京。,我是前年到的北京,,ŋɤ sɿ tɕˈiã niã tau ti pei tɕiŋ,ŋɤ53 sɿ44 tɕˈiã24 niã tau44 ti pei21 tɕiŋ,ŋɤ53 sɹ̩44 t͡ɕʰiã24 niã tau44 ti pei21 t͡ɕiŋ,ŋɤ sɹ̩ t͡ɕʰiã niã tau ti pei t͡ɕiŋ,Xian,XA
XA,Xian,42,今天开会谁的主席?,今儿开会谁的主席,,tɕiər kˈai xuei sei ti pfu ɕi,tɕiər21 kˈai21 xuei44 sei24 ti pfu53 ɕi24,t͡ɕiər21 kʰai21 xuei44 sei24 ti pfu53 ɕi24,t͡ɕiər kʰai xuei sei ti pfu ɕi,Xian,XA
XA,Xian,43,你得请我的客。,你得请我的客,,ni tei tɕˈiŋ ŋɤ ti kˈei,ni53 tei21 tɕˈiŋ53 ŋɤ53 ti kˈei21,ni53 tei21 t͡ɕʰiŋ53 ŋɤ53 ti kʰei21,ni tei t͡ɕʰiŋ ŋɤ ti kʰei,Xian,XA
XA,Xian,44,一边走，一边讲。,算走算说,,suã tsou suã ʂɤ,suã44 tsou53 suã44 ʂɤ21,suã44 t͡sou53 suã44 ʂɤ21,suã t͡sou suã ʂɤ,Xian,XA
XA,Xian,45,越走越远，越说越多。,越走越远，越说越多,,yɛ tsou yɛ yã yɛ ʂɤ yɛ tuo,yɛ21 tsou53 yɛ21 yã53 yɛ2124 ʂɤ21 yɛ2124 tuo21,yɛ21 t͡sou53 yɛ21 yã53 yɛ2124 ʂɤ21 yɛ2124 tuo21,yɛ t͡sou yɛ yã yɛ ʂɤ yɛ tuo,Xian,XA
XA,Xian,46,把那个东西拿给我。,把兀东西给我,,pa uo tuŋ ɕi kei ŋɤ,pa21 uo53 tuŋ21 ɕi kei53 ŋɤ53,pa21 uo53 tuŋ21 ɕi kei53 ŋɤ53,pa uo tuŋ ɕi kei ŋɤ,Xian,XA
XA,Xian,47,有些地方把太阳叫日头。,有些地方把太阳叫日头,,iou ɕiɛ ti faŋ pa tˈai iaŋ tɕiau ər tˈou,iou53 ɕiɛ ti44 faŋ pa21 tˈai44 iaŋ tɕiau44 ər21 tˈou,iou53 ɕiɛ ti44 faŋ pa21 tʰai44 iaŋ t͡ɕiau44 ər21 tʰou,iou ɕiɛ ti faŋ pa tʰai iaŋ t͡ɕiau ər tʰou,Xian,XA
XA,Xian,48,您贵姓?我姓王。,你贵姓?我姓王,,ni kuei ɕiŋ ŋɤ ɕiŋ uaŋ,ni53 kuei44 ɕiŋ44 ŋɤ53 ɕiŋ44 uaŋ24,ni53 kuei44 ɕiŋ44 ŋɤ53 ɕiŋ44 uaŋ24,ni kuei ɕiŋ ŋɤ ɕiŋ uaŋ,Xian,XA
XA,Xian,49,你姓王我也姓王，咱们两个人都姓王。,你姓王我也姓王，咱俩是一家子,,ni ɕiŋ uaŋ ŋɤ iɛ ɕiŋ uaŋ tsai lia sɿ i tɕia tsɿ,ni53 ɕiŋ44 uaŋ24 ŋɤ53 iɛ53 ɕiŋ44 uaŋ24 tsai24 lia21 sɿ44 i2124 tɕia21 tsɿ,ni53 ɕiŋ44 uaŋ24 ŋɤ53 iɛ53 ɕiŋ44 uaŋ24 t͡sai24 lia21 sɹ̩44 i2124 t͡ɕia21 t͡sɹ̩,ni ɕiŋ uaŋ ŋɤ iɛ ɕiŋ uaŋ t͡sai lia sɹ̩ i t͡ɕia t͡sɹ̩,Xian,XA
XA,Xian,50,你先去吧，我们等一会儿再去。,你先去，俺的等一下再去,,ni ɕiã tɕˈi ŋai ti təŋ i xa tsai tɕˈi,ni53 ɕiã21 tɕˈi44 ŋai21 ti təŋ53 i21 xa tsai44 tɕˈi44,ni53 ɕiã21 t͡ɕʰi44 ŋai21 ti təŋ53 i21 xa t͡sai44 t͡ɕʰi44,ni ɕiã t͡ɕʰi ŋai ti təŋ i xa t͡sai t͡ɕʰi,Xian,XA
XA,Xian,51,你抽烟不抽?,你吃烟不,,ni tʂˈʅ iã pu,ni53 tʂˈʅ2124 iã21 pu21,ni53 tʂʰɻ̩2124 iã21 pu21,ni tʂʰɻ̩ iã pu,Xian,XA
XA,Xian,52,你认得那个人不认得?,兀人你认得得,,uo ʐẽ ni ʐẽ tei tei,uo53 ʐẽ24 ni53 ʐẽ44 tei21 tei24,uo53 ʐẽ24 ni53 ʐẽ44 tei21 tei24,uo ʐẽ ni ʐẽ tei tei,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
XA,Xian,,,,,,,,,Xian,XA
