dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WZ,Wenzhou,122,怎么样,訾那能,,tsɿ na naŋ,tsɿ33-22 na31-12 naŋ31-12,t͡sɹ̩33-22 na31-12 naŋ31-12,t͡sɹ̩ na naŋ
WZ,Wenzhou,123,一位客人,个,,kai,kai42-21,kai42-21,kai
WZ,Wenzhou,124,粗,粗 ,,tɕˈøy,tɕˈøy33,t͡ɕʰøy33,t͡ɕʰøy
WZ,Wenzhou,125,细,细,,sei,sei42,sei42,sei
WZ,Wenzhou,126,长,长,,dʑi,dʑi31,dʑi31,dʑi
WZ,Wenzhou,127,短,短,,tø,tø35,tø35,tø
WZ,Wenzhou,128,脏,鏖糟 ,,ɜ tsɜ,ɜ33 tsɜ33,ɜ33 t͡sɜ33,ɜ t͡sɜ
WZ,Wenzhou,129,干净,了滞 ,,liɛ dzei,liɛ35-42 dzei22,liɛ35-42 dzei22,liɛ dzei
WZ,Wenzhou,130,便宜,便宜,,bi ji,bi31-22 ji31-12,bi31-22 ji31-12,bi ji
WZ,Wenzhou,131,刚(来),新,,saŋ,saŋ33,saŋ33,saŋ
WZ,Wenzhou,132,刚(合适),正好 ,,tseŋ hɜ,tseŋ42 hɜ35,t͡seŋ42 hɜ35,t͡seŋ hɜ
WZ,Wenzhou,133,正好,正好 ,,tseŋ hɜ,tseŋ42 hɜ35,t͡seŋ42 hɜ35,t͡seŋ hɜ
WZ,Wenzhou,134,和,伉 ,,kˈuɔ,kˈuɔ42,kʰuɔ42,kʰuɔ
WZ,Wenzhou,135,只,只 ,,tsɿ,tsɿ213,t͡sɹ̩213,t͡sɹ̩
WZ,Wenzhou,136,从,从 ,,juɔ,juɔ31,juɔ31,juɔ
WZ,Wenzhou,137,替,代,,de,de22,de22,de
WZ,Wenzhou,138,拿,用 ,,jyɔ,jyɔ22,jyɔ22,jyɔ
WZ,Wenzhou,139,故意,故意 ,,ku ji,ku42 ji42-21,ku42 ji42-21,ku ji
WZ,Wenzhou,140,一,一,,jai,jai213,jai213,jai
WZ,Wenzhou,141,二,二,,ŋ̩,ŋ̩22,ŋ̩22,ŋ̩
WZ,Wenzhou,142,三,三,,sa,sa33,sa33,sa
WZ,Wenzhou,143,四,四,,sɿ,sɿ42,sɹ̩42,sɹ̩
WZ,Wenzhou,144,五,五,,ŋ̩,ŋ̩35,ŋ̩35,ŋ̩
WZ,Wenzhou,145,六,六,,lɤu,lɤu213,lɤu213,lɤu
