dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
A,,44,门坎,门坎,,mə̃n kˈɛ̃n,mə̃n53 kˈɛ̃n442,mə̃n kʰɛ̃n,mə̃n53 kʰɛ̃n442
A,,45,厕所,茅厕,,mɔ sɿ,mɔ53 sɿ13,mɔ sɹ̩,mɔ53 sɹ̩13
A,,46,厨房,厨房,,pfˈu fɑ̃,pfˈu53-11 fɑ̃53,pfʰu fɑ̃,pfʰu53-11 fɑ̃53
A,,47,烟囱,烟筒,,iɛ̃n tˈũn,iɛ̃n31 tˈũn442,iɛ̃n tʰũn,iɛ̃n31 tʰũn442
A,,48,桌子,桌子,,pfə tsɿ,pfə13-11 tsɿ13,pfə t͡sɹ̩,pfə13-11 t͡sɹ̩13
A,,49,楼梯,楼户梯 ,,lou xu tˈi,lou53 xu13 tˈi53,lou xu tʰi,lou53 xu13 tʰi53
A,,50,头,头,,tˈou,tˈou53,tʰou,tʰou53
A,,51,额头,奔颅,,pə̃n lu,pə̃n31 lu21,pə̃n lu,pə̃n31 lu21
A,,52,脸,脸盘子,,liɛ̃n pˈɛ̃n tsɿ,liɛ̃n442 pˈɛ̃n21 tsɿ21,liɛ̃n pʰɛ̃n t͡sɹ̩,liɛ̃n442 pʰɛ̃n21 t͡sɹ̩21
A,,53,鼻子,鼻疙瘩,,pi kə ta,pi53 kə13 ta53,pi kə ta,pi53 kə13 ta53
A,,54,脖子,脖子,,pə tsɿ,pə53 tsɿ13,pə t͡sɹ̩,pə53 t͡sɹ̩13
A,,55,左手,左手,,tsuə ʂou,tsuə442-53 ʂou442,t͡suə ʂou,t͡suə442-53 ʂou442
A,,56,右手,右手,,iou ʂou,iou13-11 ʂou442,iou ʂou,iou13-11 ʂou442
A,,57,拳头,棰头,,pfˈei tˈou,pfˈei53 tˈou13,pfʰei tʰou,pfʰei53 tʰou13
A,,58,手指头,指头子,,tʂʅ tˈou tsɿ,tʂʅ53 tˈou13 tsɿ53,tʂɻ̩ tʰou t͡sɹ̩,tʂɻ̩53 tʰou13 t͡sɹ̩53
A,,59,指甲,指甲,,tʂʅ tɕia,tʂʅ13-11 tɕia53,tʂɻ̩ t͡ɕia,tʂɻ̩13-11 t͡ɕia53
A,,60,膝盖,波膝盖子,,pə ɕi kɛ tsɿ,pə442 ɕi13-22 kɛ13-11 tsɿ53,pə ɕi kɛ t͡sɹ̩,pə442 ɕi13-22 kɛ13-11 t͡sɹ̩53
A,,61,腿,腿,,tˈuei,tˈuei442,tʰuei,tʰuei442
A,,62,父亲,爹,,tiə,tiə31,tiə,tiə31
A,,63,母亲,妈,,ma,ma31,ma,ma31
A,,64,祖父,爷爷,,iə iə,iə53 iə13,iə iə,iə53 iə13
A,,65,祖母,奶奶,,lɛ lɛ,lɛ442 lɛ21,lɛ lɛ,lɛ442 lɛ21
A,,66,伯父,太太,,ta ta,ta13-11 ta53,ta ta,ta13-11 ta53
A,,67,伯母,嬷嬷,,ma ma,ma13-11 ma53,ma ma,ma13-11 ma53
A,,68,叔父,爸爸,,pa pa,pa53 pa13,pa pa,pa53 pa13
A,,69,叔母,婶婶,,ʂə̃n ʂən,ʂə̃n442 ʂən21,ʂə̃n ʂən,ʂə̃n442 ʂən21
A,,70,外祖父,外爷,,vɛ iə,vɛ13-11 iə53,vɛ iə,vɛ13-11 iə53
A,,71,外祖母,外奶奶,,vɛ lɛ lɛ,vɛ13-11 lɛ442 lɛ21,vɛ lɛ lɛ,vɛ13-11 lɛ442 lɛ21
A,,72,舅舅,阿舅,,a tɕiou,a31 tɕiou13,a t͡ɕiou,a31 t͡ɕiou13
A,,73,舅母,舅母,,tɕiou mu,tɕiou13-11 mu442,t͡ɕiou mu,t͡ɕiou13-11 mu442
A,,74,丈夫,男人,,lɛ̃n ʐə̃n,lɛ̃n53 ʐə̃n13,lɛ̃n ʐə̃n,lɛ̃n53 ʐə̃n13
A,,75,妻子,女人,,ȵy ʐə̃n,ȵy442 ʐə̃n21,ɲy ʐə̃n,ɲy442 ʐə̃n21
A,,76,儿子,儿子,,ɯ tsɿ,ɯ53 tsɿ13,ɯ t͡sɹ̩,ɯ53 t͡sɹ̩13
