dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,17,真不轻，重得连我也拿不动。,硬是不轻呵，重得连我都㧯不起。,,ŋən sɿ pu tɕˈin o tsoŋ te nian ŋo təu nau pu tɕˈi,ŋən13 sɿ13 pu31 tɕˈin55 o13 tsoŋ13 te31 nian31 ŋo53 təu55 nau53 pu31 tɕˈi53,ŋən sɹ̩ pu t͡ɕʰin o t͡soŋ te nian ŋo təu nau pu t͡ɕʰi,ŋən13 sɹ̩13 pu31 t͡ɕʰin55 o13 t͡soŋ13 te31 nian31 ŋo53 təu55 nau53 pu31 t͡ɕʰi53
CD,Chengdu,18,你说得很好，你还会说点什么呢?,你说得好好，你还会说点儿啥子呢?,,ȵi so te xau xau ȵi xai xuei so tiər sa tsɿ ne,ȵi53 so31 te31 xau53 xau53 ȵi53 xai31 xuei13 so31 tiər53 sa13 tsɿ53 ne55,ɲi so te xau xau ɲi xai xuei so tiər sa t͡sɹ̩ ne,ɲi53 so31 te31 xau53 xau53 ɲi53 xai31 xuei13 so31 tiər53 sa13 t͡sɹ̩53 ne55
CD,Chengdu,19,我嘴笨，我说不过他。,我嘴巴笨，我讲不赢他。,,ŋo tsuei pa pən ŋo tɕiaŋ pu in tˈa,ŋo53 tsuei53 pa55 pən13 ŋo53 tɕiaŋ53 pu31 in31 tˈa55,ŋo t͡suei pa pən ŋo t͡ɕiaŋ pu in tʰa,ŋo53 t͡suei53 pa55 pən13 ŋo53 t͡ɕiaŋ53 pu31 in31 tʰa55
CD,Chengdu,20,说了一遍，又说一遍。,说了一道，又说一道。,,so no i tau iəu so i tau,so31 no53 i31 tau13 iəu13 so31 i31 tau13,so no i tau iəu so i tau,so31 no53 i31 tau13 iəu13 so31 i31 tau13
CD,Chengdu,21,请你再说一遍。,请你再说一道。,,tɕˈin ȵi tsai so i tau,tɕˈin53 ȵi53 tsai13 so31 i31 tau13,t͡ɕʰin ɲi t͡sai so i tau,t͡ɕʰin53 ɲi53 t͡sai13 so31 i31 tau13
CD,Chengdu,22,不早了，快去吧。,"不早了,快点去吧",,pu tsau no kˈuai tiər tɕˈie,pu31 tsau53 no53 kˈuai13 tiər53 tɕˈie13,pu t͡sau no kʰuai tiər t͡ɕʰie,pu31 t͡sau53 no53 kʰuai13 tiər53 t͡ɕʰie13
CD,Chengdu,23,现在还早着呢，等一会儿再去吧。,这阵还早，过一阵再去嘛。,,tse xər xai tsau tən xa xər tsai tɕˈie ma,tse13 xər55 xai31 tsau53 tən53 xa13 xər55 tsai13 tɕˈie13 ma53,t͡se xər xai t͡sau tən xa xər t͡sai t͡ɕʰie ma,t͡se13 xər55 xai31 t͡sau53 tən53 xa13 xər55 t͡sai13 t͡ɕʰie13 ma53
CD,Chengdu,24,吃了饭再去好吗?,吃了饭再去要得不?,,tsˈɿ no fan tsai tɕˈie iau te pu,tsˈɿ31 no53 fan13 tsai13 tɕˈie13 iau13 te31 pu31,t͡sʰɹ̩ no fan t͡sai t͡ɕʰie iau te pu,t͡sʰɹ̩31 no53 fan13 t͡sai13 t͡ɕʰie13 iau13 te31 pu31
CD,Chengdu,25,慢慢儿吃啊，不要着急。,慢慢儿吃，不要慌。,,man mər tsˈɿ pu iau xuaŋ,man13 mər1355 tsˈɿ53 pu31 iau13 xuaŋ55,man mər t͡sʰɹ̩ pu iau xuaŋ,man13 mər1355 t͡sʰɹ̩53 pu31 iau13 xuaŋ55
CD,Chengdu,26,坐着吃比站着吃好些。,坐倒起吃比站倒起吃好些。,,tso tau tɕˈi tsˈɿ pi tsan tau tɕˈi tsˈɿxau ɕi,tso13 tau53 tɕˈi53 tsˈɿ31 pi53 tsan13 tau53 tɕˈi53 tsˈɿ31xau53 ɕi55,t͡so tau t͡ɕʰi t͡sʰɹ̩ pi t͡san tau t͡ɕʰi t͡sʰɹ̩xau ɕi,t͡so13 tau53 t͡ɕʰi53 t͡sʰɹ̩31 pi53 t͡san13 tau53 t͡ɕʰi53 t͡sʰɹ̩31xau53 ɕi55
