dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
SH,Shanghai,070,外祖父,外公 ,,,ŋa13-22 koŋ53-44
SH,Shanghai,071,外祖母,外婆 ,,,ŋa13-22 bu13-44
SH,Shanghai,072,舅舅,娘舅,,,ȵiã13-22 dʑiɤ3-44
SH,Shanghai,073,舅母,舅妈 ,,,dʑiɤ13-22 ma13-44
SH,Shanghai,074,丈夫,爱人,,,e35-33 ȵiŋ13-44
SH,Shanghai,075,妻子,爱人 ,,,e35-33 ȵiŋ13-44
SH,Shanghai,076,儿子,儿子 ,,,ȵi13-22 tsɿ35-44
SH,Shanghai,077,女儿,囡五,,,nø13-22 ŋ̩13-44
SH,Shanghai,078,早饭,早饭 ,,,tsɔ35-33 ve13-44
SH,Shanghai,079,午饭,中饭 ,,,tsoŋ53-55  ve13-21
SH,Shanghai,080,晚饭,夜饭 ,,,ɦia13-22  ve13-44
SH,Shanghai,081,面条,面,,,mi13
SH,Shanghai,082,馒头,馒头 ,,,mø13-22 dɤ13-44
SH,Shanghai,083,包子,馒头 ,,,mø13-22 dɤ13-44
SH,Shanghai,084,馄饨,馄饨 ,,,ɦuəŋ13-22 dəŋ13-44
SH,Shanghai,085,醋,醋 ,,,tsˈu35
SH,Shanghai,086,酱油,酱油 ,,,tɕiã53-55 ɦiɤ13-21
SH,Shanghai,087,盐,盐 ,,,ɦi13
SH,Shanghai,088,筷子,筷 ,,,kue53
SH,Shanghai,089,勺儿,勺子 ,,,zoʔ1-1 tsɿ35-23
SH,Shanghai,090,男人,男人 ,,,nø13-22 ȵiŋ13-44
SH,Shanghai,091,女人,女人 ,,,ȵy13-22 ȵiŋ13-44
SH,Shanghai,092,男孩子,男小囡 ,,,nø13-22 ɕiɔ35-55 nø13-21
SH,Shanghai,093,女孩子,女小囡 ,,,ȵy13-22 ɕiɔ35-55 nø13-21
SH,Shanghai,094,老头儿,老公公 ,,,lɔ13-22 koŋ53-55 koŋ53-21
SH,Shanghai,095,医生,医生 ,,,i53-55 sã53-21
SH,Shanghai,096,厨师,厨师 ,,,zɿ13-22 sɿ53-44
SH,Shanghai,097,乞丐,叫化子 ,,,kø35-33 ho35-55 tsɿ35-21
SH,Shanghai,098,保姆,娘姨 ,,,ȵiã13-22 ɦi13-44
SH,Shanghai,099,病了,生病,,,sã53-44 biŋ13-13
SH,Shanghai,100,伤风,伤风,,,sɑ̃53-55 foŋ53-21
SH,Shanghai,101,泻肚,肚皮,,,du3-22 bi13-55 za13-21
SH,Shanghai,102,瘸子,跷脚 ,,,tɕˈiɔ53-55 tɕiaʔ5-21
SH,Shanghai,103,驼背,驼子 ,,,du13-22 tsɿ35-44
SH,Shanghai,104,死了,死脱勒 ,,,ɕi35-33 tˈəʔ5-4 ləʔ1-21
SH,Shanghai,105,看病,看医生 ,,,kˈø35-33 i53-55 sã53-21
SH,Shanghai,106,我,我,,,ŋu13
SH,Shanghai,107,你,侬,,,noŋ13
SH,Shanghai,108,他,伊,,,ɦi13
SH,Shanghai,109,我们,阿拉,,,aʔ5-3 la53-44
SH,Shanghai,110,你们,倷,,,na13
SH,Shanghai,111,他们,伊拉,,,ɦi13-22 la53-44
SH,Shanghai,112,咱们,阿拉 ,,,aʔ5-3 la53-44
SH,Shanghai,113,自己,自家 ,,,zɿ13-22 ka53-44
SH,Shanghai,114,谁,啥人 ,,,sa35-33 ȵiŋ13-44
SH,Shanghai,115,什么,啥 ,,,sa35
SH,Shanghai,116,这里,迭搭 ,,,diɪʔ1-1 taʔ5-2
SH,Shanghai,117,那里,伊搭,,,i53-55 taʔ5-21
SH,Shanghai,118,哪里,啥地方 ,,,sa34-33 di13-55 fɑ̃53-21
SH,Shanghai,119,这个,迭个,,,diɪʔ1-1 gəʔ1-23
SH,Shanghai,120,那个,伊个,,,i53-55 gəʔ1-21
SH,Shanghai,121,哪一个,鞋里个,,,ɦa13-22 li13-55 gəʔ1-21
SH,Shanghai,122,怎么样,哪能,,,na13-22 nəŋ13-44
SH,Shanghai,123,一位客人,,,,
SH,Shanghai,124,一双鞋,,,,
SH,Shanghai,125,一床被,,,,
SH,Shanghai,126,一辆车,,,,
SH,Shanghai,127,一条牛,,,,
SH,Shanghai,128,一口猪,,,,
SH,Shanghai,129,听一会儿,,,,
SH,Shanghai,130,打一下,,,,
SH,Shanghai,131,上头,上头,,,zɑ̃13-22 dɤ13-44
SH,Shanghai,132,下头,下头,,,ɦo13-22 dɤ13-44
SH,Shanghai,133,左边,左面 ,,,tsu35-33 mi13-44
SH,Shanghai,134,右边,右面 ,,,ɦiɤ13-22 mi13-44
SH,Shanghai,135,当中,当中 ,,,tɑ̃53-55 tsoŋ53-21
SH,Shanghai,136,里面,里向,,,li13-22 ɕiã34-33
SH,Shanghai,137,外面,外面 ,,,ŋa13-22 mi13-44
SH,Shanghai,138,甜,甜,,,di13
SH,Shanghai,139,酸,酸,,,sø53
SH,Shanghai,140,咸,咸,,,ɦe13
SH,Shanghai,141,淡,淡,,,de13
SH,Shanghai,142,胖,壮 ,,,tsɑ̃3
SH,Shanghai,143,瘦,瘦 ,,,sɤ35
SH,Shanghai,144,冷,冷,,,lã13
SH,Shanghai,145,热,暖热,,,nø13-22 ȵiɪ1-4
SH,Shanghai,146,香,香 ,,,ɕiã53
SH,Shanghai,147,臭,臭 ,,,tsˈɤ35
SH,Shanghai,148,粗,粗,,,tsˈu53
SH,Shanghai,149,细,细,,,ɕi35
SH,Shanghai,150,长,长,,,zɑ̃13
SH,Shanghai,151,短,短,,,tø35
SH,Shanghai,152,脏,龌龊,,,oʔ5-3 tsˈoʔ5-4
SH,Shanghai,153,干净,清爽,,,tɕˈiŋ53-55 sɑ̃35-21
SH,Shanghai,154,便宜,啜,,,dʑiã13
SH,Shanghai,155,刚(来),刚刚,,,kɑ̃53-55 kɑ̃53-21
SH,Shanghai,156,刚(合适),刚好,,,kɑ̃53 hɔ35-21
SH,Shanghai,157,正好,刚正好 ,,,kɑ̃53-55 tsəŋ35-33 hɔ3-21
SH,Shanghai,158,和,搭,,,taʔ5
SH,Shanghai,159,只,只 ,,,tsəʔ5
SH,Shanghai,160,从,从 ,,,zoŋ13
SH,Shanghai,161,替,代 ,,,de13
SH,Shanghai,162,拿,拿 ,,,ne53
SH,Shanghai,163,故意,有意,,,ɦiɤ13-22 i53-44
SH,Shanghai,164,一,一,,,iɪʔ
SH,Shanghai,165,二,二,,,ȵi13
SH,Shanghai,166,三,三,,,se53
SH,Shanghai,167,四,四,,,sɿ35
SH,Shanghai,168,五,五,,,ŋ̩13
SH,Shanghai,169,六,六,,,loʔ1
SH,Shanghai,170,七,七,,,tɕˈiɪʔ5
SH,Shanghai,171,八,八,,,paʔ5
SH,Shanghai,172,九,九,,,tɕiɤ35
SH,Shanghai,173,十,十,,,zəʔ1
SH,Shanghai,174,十一,十一,,,zəʔ1-1 iɪʔ5-23
SH,Shanghai,175,十二,十二,,,zəʔ1-1 ȵi13-23
SH,Shanghai,176,二十,念,,,ȵie13
SH,Shanghai,177,二十一,念一,,,ȵie13-22 iɪʔ5-4
SH,Shanghai,178,一百二十一,一百念一,,,iɪʔ5-3 paʔ5-4 ȵie13-22 iɪʔ5-4
SH,Shanghai,179,第一,第一,,,di13-22 iɪʔ5-4
SH,Shanghai,180,第二,第二,,,di13-22 ȵi13-44
SH,Shanghai,181,两里,两里,,,liã13-22 li13-44
SH,Shanghai,182,二两,二两,,,ȵi13-22 liã13-44
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
