dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,24,请你再说一遍。,请你再讲一遍,,tɕˈin li tsE tɕiɑ̃ iəʔ piɪ̃,tɕˈin24 li24 tsE53 tɕiɑ̃24 iəʔ5 piɪ̃53,tɕʰin24li24tsɤ53tɕiɑ̃24iəʔ5piɪ̃53,tɕʰinlitsɤtɕiɑ̃iəʔpiɪ̃
HF,Hefei,25,不早了，快去吧。,不早了，快毫去吧,,pəʔ tsɔ lə kˈuE xɔ tsˈɥ pa,pəʔ52 tsɔ24 lə kˈuE53 xɔ tsˈɥ53 pa,pəʔ52tsɔ24ləkʰuɤ53xɔtsʰɥ53pa,pəʔtsɔləkʰuɤxɔtsʰɥpa
HF,Hefei,26,现在还早着呢，等一会儿再去吧。,丈个还早很，等一霎再去吧,,tʂɑ̃ kə xE tsɔ xən tən iəʔ ʂɐʔ tsE tsɥ pa,tʂɑ̃53 kə xE55 tsɔ24 xən24 tən24 iəʔ52 ʂɐʔ5 tsE53 tsɥ53 pa,tʂɑ̃53kəxɤ55tsɔ24xən24tən24iəʔ52ʂɐʔ5tsɤ53tsɥ53pa,tʂɑ̃kəxɤtsɔxəntəniəʔʂɐʔtsɤtsɥpa
HF,Hefei,27,吃了饭再去好吗?,吃过饭再去可好,,tɕˈiəʔ kʊ fæ̃ tsE tsˈɥ kˈə xɔ,tɕˈiəʔ5 kʊ53 fæ̃53 tsE53 tsˈɥ53 kˈə24 xɔ24,tɕʰiəʔ5kʊ53fæ̃53tsɤ53tsʰɥ53kʰə24xɔ24,tɕʰiəʔkʊfæ̃tsɤtsʰɥkʰəxɔ
HF,Hefei,28,慢慢儿吃啊，不要着急。,慢毫吃，不要着急,,mæ̃ xɔ tɕˈiəʔ pəʔ iɔ tʂuɐʔ tɕiəʔ,mæ̃53 xɔ tɕˈiəʔ5 pəʔ5 iɔ53 tʂuɐʔ52 tɕiəʔ5,mæ̃53xɔtɕʰiəʔ5pəʔ5iɔ53tʂuɐʔ52tɕiəʔ5,mæ̃xɔtɕʰiəʔpəʔiɔtʂuɐʔtɕiəʔ
HF,Hefei,29,坐着吃比站着吃好些。,坐到吃比站到吃好些,,tsʊ tɔ tɕˈiəʔ pɿ tʂæ̃ tɔ tɕˈiəʔ xɔ sɿ,tsʊ53 tɔ53 tɕˈiəʔ5 pɿ24 tʂæ̃53 tɔ53 tɕˈiəʔ5 xɔ24 sɿ,tsʊ53tɔ53tɕʰiəʔ5pɹ̩24tʂæ̃53tɔ53tɕʰiəʔ5xɔ24sɹ̩,tsʊtɔtɕʰiəʔpɹ̩tʂæ̃tɔtɕʰiəʔxɔsɹ̩
HF,Hefei,30,他吃了饭了，你吃了饭没有呢?,他吃过饭了，你可吃过之,,tˈa tɕˈiəʔ kʊ fæ̃ lə li kˈə tɕˈiəʔ kʊ tʂə,tˈa21 tɕˈiəʔ5 kʊ53 fæ̃53 lə li24 kˈə24 tɕˈiəʔ5 kʊ53 tʂə,tʰa21tɕʰiəʔ5kʊ53fæ̃53ləli24kʰə24tɕʰiəʔ5kʊ53tʂə,tʰatɕʰiəʔkʊfæ̃ləlikʰətɕʰiəʔkʊtʂə
HF,Hefei,31,他去过上海，我没有去过。,他到过上海，我没有到过,,tˈa tɔ kʊ ʂɑ̃ xE ʊ mɐʔ iɯ tɔ kʊ,tˈa2124 tɔ53 kʊ53 ʂɑ̃ xE24 ʊ24 mɐʔ52 iɯ24 tɔ53 kʊ53,tʰa2124tɔ53kʊ53ʂɑ̃xɤ24ʊ24mɐʔ52iɯ24tɔ53kʊ53,tʰatɔkʊʂɑ̃xɤʊmɐʔiɯtɔkʊ
HF,Hefei,32,来闻闻这朵花香不香。,来闻闻第朵花可香,,lE uən uən ti tʊ xua kˈə ɕiɑ̃,lE55 uən55 uən ti53 tʊ24 xua21 kˈə24 ɕiɑ̃21,lɤ55uən55uənti53tʊ24xua21kʰə24ɕiɑ̃21,lɤuənuəntitʊxuakʰəɕiɑ̃
HF,Hefei,33,给我一本书。,给我一本书,,ke ʊ iəʔ pən ʂu,ke24 ʊ24 iəʔ52 pən24 ʂu21,ke24ʊ24iəʔ52pən24ʂu21,keʊiəʔpənʂu
