dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
ST,Shantou,01,谁啊?我是老三。,地俢?我介阿老三,,,ti31 tiaŋ55 ua53 kai213-55 a33 alu35-31 sã33
ST,Shantou,02,老四呢?她正跟一个朋友说着话呢。,阿老四呢?伊正合个朋友□呾话,,,a33 lau35-31 si213 nẽ31 i33 tsiã213-55 kaʔ2-5 kai55-31 pˈeŋ55-31 iu53 lo53-24 tã213-55 ue31
ST,Shantou,03,她还没说完吗?,伊还呾未了啊,,,i33 huã53-24 tã213-55 bue31 liau53 a31
ST,Shantou,04,还没有。大概再有一会儿就说完了。,还未。差唔多隔加困囝就呾直,,,huã53-24 bue31 tsˈa33 m35-31 to33 keʔ2-5 ke33 kˈuŋ213-31 kiã53-213 tsiu35-31 tã213-55 tik5
ST,Shantou,05,他说马上就走，怎么这半天了还在家里?,伊呾即时就行，做呢够□还在内,,,i33 tã213-55 tsiak2-5 si55 tsiu35-31 kiã55 tso213-55 nĩ55-31 kau213-55 kua213 huã53-24 to35-31 lai35
ST,Shantou,06,你到哪儿去?我到城里去。,汝爱去地块?我爱来去城内,,,lɯ53 ãi213-55 kˈɯ213-55 ti31 ko213 ua53 ãi213-55 lai53-24 kˈɯ213-55 siã55-31 lai35
ST,Shantou,07,在那儿，不在这儿。,在许块，无在只块,,,to35-31 hɯ53 ko213-31 bo55-31 to35-31 tsi53 ko213-31
ST,Shantou,08,不是那么做，要这么做。,唔奀□生做，着□生,,,m35-31 mĩ35-31 hĩ213-55 hẽ33 tso213 tioʔ5-2 tsĩ213-31 sẽ33-31 tso213-31
ST,Shantou,09,太多了，用不着那么多，只要这么多就够了。,□敥了，免向㪁，□敥就□了,,,kˈaʔ2-5 tsoi31 ou53-213 miaŋ53 hiõ213-31 tsoi31 tsiõ213-55 tsoi31 tsiu35-31 la35 ou53-213
ST,Shantou,10,这个大，那个小，这两个哪一个好一点呢?,只个大，许个细，只两个物地个会□好呢,,,tsi53 kai55-31 tua31 hɯ53 kai55-31 soi213 tsi53-24 nõ35-31 kai55-31 muẽʔ5 ti31 kai55-31 oi35-31 iau53-24 ho53 nẽ31
ST,Shantou,11,这个比那个好。,只个好过许个,,,tsi53 kai55-31 ho53-24 kue213-55 hɯ53 kai55-31
