dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
SH,Shanghai,28,慢慢儿吃啊，不要着急。,慢慢叫吃，勿要急,,,me13-22 me13-55 tɕiɔ35-21 tɕiɪʔ5 vəʔ1-1 iɔ35-23 tɕiɪʔ5
SH,Shanghai,29,坐着吃比站着吃好些。,坐辣海吃比立辣海吃好一眼,,,zu13-22 laʔ1-55 he35-21 tɕˈiɪʔ5 pi35 li13-22 laʔ1-55 he35-21 tɕˈiɪʔ5 hɔ35-33 iɪʔ5-55 ŋe13-21
SH,Shanghai,30,他吃了饭了，你吃了饭没有呢?,伊饭吃过勒，侬饭吃过栰,,,ɦi13 ve13 tɕˈiɪʔ5-3 ku35-55 ləʔ1-21 noŋ13 ve13 tɕˈiɪʔ5-3 ku35-55 vaʔ13-21
SH,Shanghai,31,他去过上海，我没有去过。,伊上海去过勒，我呒没去过,,,ɦi13 zɑ̃13-22 he35-44 tɕˈi35-33 ku35-55 ləʔ1-21 ŋo13 ɦm̩13-22 məʔ1-44 tɕˈi35-33 ku35-44
SH,Shanghai,32,来闻闻这朵花香不香。,来闻闻看搿朵花香浌,,,le13 məŋ13-22 məŋ13-55 kˈø35-21 gəʔ1-1 tu35-23 ho53 ɕiã53-55 vaʔ1-21
SH,Shanghai,33,给我一本书。,拨我一本书,,,pəʔ5-4 ŋo13 iɪʔ5-3 pəŋ13-44 sɿ53
SH,Shanghai,34,我真的没有那本书呀。,我真个呒没书,,,ŋo13 tsəŋ53-55 ɦə13-21 ɦm̩13-22 məʔ1-44 sɿ53
SH,Shanghai,35,你告诉他。,侬脱伊讲,,,noŋ13 tˈəʔ5-3 ɦi13-44 kɑ̃35
SH,Shanghai,36,好好地走，不要跑。,好好叫走，勿要奔,,,ɦɔ35-22 ɦɔ35-55 tɕiɔ35-21 tsɤ35 vəʔ1-1 iɔ35-23 pəŋ53
SH,Shanghai,37,小心跌下去爬不上来。,当心掼下去爬也爬勿上来,,,tɑ̃53-55 ɕiŋ53-21 gue13-22 ɦo13-55 tɕˈi35-21 bo13 ɦa13 bo13-22 vəʔ1-55 zɑ̃13-33 le13-21
SH,Shanghai,38,医生叫你多睡睡。,医生叫侬多睏睏,,,i53-55 sã53-21 tɕiɔ35-33 noŋ13-44 tu13 kuəŋ35-33 kuəŋ35-44
SH,Shanghai,39,抽烟或者喝茶都不许。,吃香烟吃茶侪勿好个,,,tɕˈiɪʔ5-4 ɕiã53-55 i53-21 tɕˈiɪʔ5-4 zo13 ze13 vəʔ1-1 hɔ35-23 ɦə13-21
SH,Shanghai,40,烟也好，茶也好，我都不喜欢。,烟咾，茶咾我侪勿欢喜,,,i53-55 lɔ13 zo13-33 lɔ13 ŋo13 ze13 vəʔ1-3 huø53-35 ɕi35-21
SH,Shanghai,41,不管你去不去，反正我是要去的。,勿管侬去勿去，反正我是要去个,,,vəʔ1-1 kuø35-23 noŋ13 tɕˈi35-33 vəʔ1-55 tɕˈi35-21 fe35-33 tsəŋ35-44 ŋo35-33 zɿ13 iɔ35-44 tɕˈi35 ɦə13-21
SH,Shanghai,42,我非去不可。,我是一定要去个,,,ŋo13-33 zɿ13 iɪʔ5-3 diŋ13-44 iɔ35-44 tɕˈi35 ɦəʔ13-21
SH,Shanghai,43,你是哪一年来的?,侬是鞋里一年来个,,,noŋ13-33 zɿ13 ɦa13-22 li13-55 iɪʔ5-33 ȵi13-21 le13 ɦəʔ1-21
SH,Shanghai,44,我是前年到的北京。,我是前年到北京个,,,ŋo13-33 zɿ13 ʑi13-22 ȵi13-44 tɔ35 poʔ5-3 tɕiŋ53-44 ɦəʔ1-21
SH,Shanghai,45,今天开会谁的主席?,今朝开会啥人做主席,,,tɕiuŋ53-55 tsɔ35-21 kˈe35-44 ɦue13 sa35-33 ȵiŋ13-44 tsu35 tsɿ35-33 ʑiɪʔ1-44
SH,Shanghai,46,你得请我的客。,侬要请我吃饭个噢,,,noŋ13-33 iɔ35 tɕˈiŋ35-44 ŋo13 tɕˈiɪʔ5-4 ve13 gəʔ1-1 53-23
SH,Shanghai,47,一边走，一边讲。,一面走，一面讲,,,iɪʔ5-3 mi13-44 tsɤ35 iɪʔ5-3 mi13-44 kɑ̃35
SH,Shanghai,48,越走越远，越说越多。,越走越远，越讲越多,,,ɦyɪʔ1-2 tsɤ35 ɦyɪʔ1-2 ɦyp13 ɦyɪʔ1-2 kɑ̃35 ɦyɪʔ1-2 tu53
SH,Shanghai,49,把那个东西拿给我。,拿伊面个物事拨我,,,ne53 i53-55 mi13-33 gəʔ1-21 məʔ1-1 zɿ13-23 pəʔ5-4 ŋo13
SH,Shanghai,50,有些地方把太阳叫日头。,有种地方拿太阳叫日头,,,ɦiɤ13-22 tsoŋ35-44 di13-22 fɑ̃53-44 ne53 tˈa35-33 ɦiã13-44 tɕiɔ35 ȵiɪʔ1-1 dɤ13-23
SH,Shanghai,51,您贵姓?我姓王。,侬贵姓?我姓王,,,noŋ13 kue35-33 ɕiŋ35-44 ŋo13 ɕiŋ35-44 ɦuɑ̃13
SH,Shanghai,52,你姓王我也姓王，咱们两个人都姓王。,侬姓王，我也姓王，阿拉两家头侪姓王,,,noŋ13 ɕiŋ35-44 ɦuɑ̃13 ŋo13 ɦa13 ɕiŋ35-44 ɦuɑ̃13 aʔ5-3 la53-44 liã13-22 ka53-55 dɤ13-21 ze13 ɕiŋ35-44 ɦuɑ̃13
SH,Shanghai,53,你先去吧，我们等一会儿再去。,侬先去吪，阿拉等脱一歇再去,,,noŋ13 ɕi35-33 tɕˈi35-55 vaʔ1-21 aʔ5-3 la53-44 təŋ35-33 tˈəʔ5-55 iɪʔ5-33 ɕiɪʔ5-21 tse35-44 tɕˈi35
SH,Shanghai,54,你抽烟不抽?/你抽不抽烟?,侬香烟吃吪,,,noŋ13 ɕiã53-55 i53-21 tɕˈiɪʔ5-3 vaʔ1-44
SH,Shanghai,55,你认得那个人不认得?,侬认得哀面个人哦,,,noŋ13 ȵiŋ13-22 təʔ5-4 e53-55 mi13-33 ɦəʔ1-33 ȵiŋ13-33 vaʔ1-21
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
