dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone,Unnamed: 10
NC,Nanchang,1,有一回,有回子,,iu fɨi tsɿ,iu213 fɨi45 tsɿ04,iu fɨi tsɹ̩,iu213 fɨi45 tsɹ̩04,
NC,Nanchang,2,北风跟太阳在那儿争论谁的本事大,北风同到日头跍得 许 里争哪个个本事大,,pɛʔ fuŋ tˈuŋ tɑu ȵiʔ tˈɛu kˈu tɛʔ he li tsɑŋ lɑ ko ko pɨn sɿ tˈai,pɛʔ5 fuŋ42 tˈuŋ24 tɑu04 ȵiʔ5 tˈɛu02 kˈu24 tɛʔ04 he213 li04 tsɑŋ42 lɑ213 ko45 ko04 pɨn213 sɿ04 tˈai21,pɛʔ fuŋ tˈuŋ tɑu ɲiʔ tˈɛu kˈu tɛʔ he li tsɑŋ lɑ ko ko pɨn sɹ̩ tˈai,pɛʔ5 fuŋ42 tˈuŋ24 tɑu04 ɲiʔ5 tˈɛu02 kˈu24 tɛʔ04 he213 li04 tsɑŋ42 lɑ213 ko45 ko04 pɨn213 sɹ̩04 tˈai21,2.0
NC,Nanchang,3,争来争去就是分不出高低来,争来争去就是分不出输赢来,,tsɑŋ lai tsɑŋ tɕˈie tɕˈiu sɿ fɨn pɨʔ tsˈɨʔ ɕy iɑŋ lai,tsɑŋ42 lai45 tsɑŋ42 tɕˈie213 tɕˈiu21 sɿ21 fɨn42 pɨʔ02 tsˈɨʔ5 ɕy42 iɑŋ45 lai04,tsɑŋ lai tsɑŋ tɕˈie tɕˈiu sɹ̩ fɨn pɨʔ tsˈɨʔ ɕy iɑŋ lai,tsɑŋ42 lai45 tsɑŋ42 tɕˈie213 tɕˈiu21 sɹ̩21 fɨn42 pɨʔ02 tsˈɨʔ5 ɕy42 iɑŋ45 lai04,3.0
NC,Nanchang,4,这时候路上来了个走道儿的,箇场中 来了一个 过路个,,ko tsˈɔŋ tsuŋ lai liɛu iʔ ko kuo lu ko,ko213 tsˈɔŋ04 tsuŋ04 lai45 liɛu04 iʔ5 ko45 kuo45 lu21 ko02,ko tsˈɔŋ tsuŋ lai liɛu iʔ ko kuo lu ko,ko213 tsˈɔŋ04 tsuŋ04 lai45 liɛu04 iʔ5 ko45 kuo45 lu21 ko02,4.0
NC,Nanchang,5,他身上穿着件厚大衣,渠身上穿到件厚大衣,,tɕie sɨn sɔŋ tsˈɵn tau tɕˈiɛn hɛu tˈai i,tɕie213 sɨn42 sɔŋ02 tsˈɵn42 tau02 tɕˈiɛn21 hɛu21 tˈai21 i42,tɕie sɨn sɔŋ tsˈɵn tau tɕˈiɛn hɛu tˈai i,tɕie213 sɨn42 sɔŋ02 tsˈɵn42 tau02 tɕˈiɛn21 hɛu21 tˈai21 i42,5.0
NC,Nanchang,6,他们俩就说好了,渠们两个就议正了,,tɕie mɨn liɔŋ ko tɕˈiu ȵi tsɑŋ liɛu,tɕie213 mɨn04 liɔŋ213 ko04 tɕˈiu21 ȵi21 tsɑŋ45 liɛu04,tɕie mɨn liɔŋ ko tɕˈiu ɲi tsɑŋ liɛu,tɕie213 mɨn04 liɔŋ213 ko04 tɕˈiu21 ɲi21 tsɑŋ45 liɛu04,6.0
NC,Nanchang,7,谁能先叫这个走道儿的脱下他的厚大衣,话个哪个要是先舞得箇只过路个脱不渠个大衣去,,uɑ ko lɑ ko iɛu sɿ ɕiɛn u tɛʔ ko tsɑʔ kuo lu ko tˈɵʔ pɨʔ tɕie ko tˈai i tɕˈie,uɑ21 ko02 lɑ213 ko04 iɛu45 sɿ21 ɕiɛn42 u213 tɛʔ04 ko213 tsɑʔ5 kuo45 lu21 ko02 tˈɵʔ5 pɨʔ02 tɕie213 ko04 tˈai21 i42 tɕˈie02,uɑ ko lɑ ko iɛu sɹ̩ ɕiɛn u tɛʔ ko tsɑʔ kuo lu ko tˈɵʔ pɨʔ tɕie ko tˈai i tɕˈie,uɑ21 ko02 lɑ213 ko04 iɛu45 sɹ̩21 ɕiɛn42 u213 tɛʔ04 ko213 tsɑʔ5 kuo45 lu21 ko02 tˈɵʔ5 pɨʔ02 tɕie213 ko04 tˈai21 i42 tɕˈie02,7.0
NC,Nanchang,8,就算谁的本事大,就算渠个本事大,,tɕˈiu sɵn tɕie ko pɨn sɿ tˈai,tɕˈiu21 sɵn45 tɕie213 ko04 pɨn213 sɿ04 tˈai21,tɕˈiu sɵn tɕie ko pɨn sɹ̩ tˈai,tɕˈiu21 sɵn45 tɕie213 ko04 pɨn213 sɹ̩04 tˈai21,8.0
NC,Nanchang,9,北风就使劲儿地刮起来了,北风就攒劲吹,,pɛʔ fuŋ tɕˈiu tsan tɕin tsˈui,pɛʔ5 fuŋ42 tɕˈiu21 tsan213 tɕin45 tsˈui42,pɛʔ fuŋ tɕˈiu tsan tɕin tsˈui,pɛʔ5 fuŋ42 tɕˈiu21 tsan213 tɕin45 tsˈui42,9.0
NC,Nanchang,10,不过他越是刮得厉害,哪晓得渠越是哑命里吹,,lɑ ɕiɛu tɛʔ tɕie yɵʔ sɿ ŋɑ miɑŋ li tsˈui,lɑ213-24 ɕiɛu213 tɛʔ04 tɕie213 yɵʔ5 sɿ21 ŋɑ213 miɑŋ21 li02 tsˈui42,lɑ ɕiɛu tɛʔ tɕie yɵʔ sɹ̩ ŋɑ miɑŋ li tsˈui,lɑ213-24 ɕiɛu213 tɛʔ04 tɕie213 yɵʔ5 sɹ̩21 ŋɑ213 miɑŋ21 li02 tsˈui42,10.0
