dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,84,馄饨,馄饨 ,,xuẽ tˈuẽ,xuẽ24 tˈuẽ,xuẽ24tʰuẽ,xuẽtʰuẽ,Xian,XA
XA,Xian,85,醋,醋 ,,tsˈu,tsˈu44,tsʰu44,tsʰu,Xian,XA
XA,Xian,86,酱油,酱油 ,,tɕiaŋ iou,tɕiaŋ44 iou24,tɕiaŋ44iou24,tɕiaŋiou,Xian,XA
XA,Xian,87,盐,盐,,iã,iã24,iã24,iã,Xian,XA
XA,Xian,88,筷子,筷子 ,,kˈuai tsɿ,kˈuai44 tsɿ,kʰuai44tsɹ̩,kʰuaitsɹ̩,Xian,XA
XA,Xian,89,勺儿,勺勺儿 ,,fo for,fo24 for,fo24for,fofor,Xian,XA
XA,Xian,90,男人,男人 ,,nã ʐẽ,nã24 ʐẽ,nã24ʐẽ,nãʐẽ,Xian,XA
XA,Xian,91,女人,女人 ,,ny ʐẽ,ny53 ʐẽ,ny53ʐẽ,nyʐẽ,Xian,XA
XA,Xian,92,男孩子,娃子 ,,ua tsɿ,ua24 tsɿ,ua24tsɹ̩,uatsɹ̩,Xian,XA
XA,Xian,93,女孩子,女子 ,,ny tsɿ,ny53 tsɿ,ny53tsɹ̩,nytsɹ̩,Xian,XA
XA,Xian,94,老头儿,老汉 ,,lau xã,lau53 xã,lau53xã,lauxã,Xian,XA
XA,Xian,95,医生,大夫,,tai fu,tai44 fu,tai44fu,taifu,Xian,XA
XA,Xian,96,厨师,厨子 ,,pfˈu tsɿ,pfˈu24 tsɿ,pfʰu24tsɹ̩,pfʰutsɹ̩,Xian,XA
XA,Xian,97,乞丐,闲人儿 ,,xã ʐər,xã24 ʐər24,xã24ʐər24,xãʐər,Xian,XA
XA,Xian,98,保姆,佣人 ,,yŋ ʐẽ,yŋ44 ʐẽ,yŋ44ʐẽ,yŋʐẽ,Xian,XA
XA,Xian,99,病了,病咧 ,,piŋ liɛ,piŋ44 liɛ,piŋ44liɛ,piŋliɛ,Xian,XA
XA,Xian,100,伤风,凉着咧 ,,liaŋ pfo liɛ,liaŋ24 pfo liɛ,liaŋ24pfoliɛ,liaŋpfoliɛ,Xian,XA
XA,Xian,101,泻肚,跑後 ,,pˈau xou,pˈau24 xou44,pʰau24xou44,pʰauxou,Xian,XA
XA,Xian,102,瘸子,跛子 ,,po tsɿ,po53 tsɿ,po53tsɹ̩,potsɹ̩,Xian,XA
XA,Xian,103,驼背,背锅子 ,,pei kuo tsɿ,pei21 kuo tsɿ,pei21kuotsɹ̩,peikuotsɹ̩,Xian,XA
XA,Xian,104,死了,死咧 ,,sɿ liɛ,sɿ5321 liɛ,sɹ̩5321liɛ,sɹ̩liɛ,Xian,XA
XA,Xian,105,看病,看病 ,,kˈã piŋ,kˈã44 piŋ44,kʰã44piŋ44,kʰãpiŋ,Xian,XA
XA,Xian,106,我,我,,ŋɤ,ŋɤ53,ŋɤ53,ŋɤ,Xian,XA
XA,Xian,107,你,你,,ni,ni53,ni53,ni,Xian,XA
XA,Xian,108,他,他,,tˈa,tˈa21,tʰa21,tʰa,Xian,XA
XA,Xian,109,我们,俺 ,,ŋai,ŋai21,ŋai21,ŋai,Xian,XA
XA,Xian,110,你们,你,,ni,ni21,ni21,ni,Xian,XA
XA,Xian,111,他们,他的 ,,tˈa ti,tˈa21 ti,tʰa21ti,tʰati,Xian,XA
XA,Xian,112,咱们,咱,,tsai,tsai24,tsai24,tsai,Xian,XA
XA,Xian,113,自己,自个儿 ,,tsɿ kɤr,tsɿ44 kɤr4453,tsɹ̩44kɤr4453,tsɹ̩kɤr,Xian,XA
XA,Xian,114,谁,谁,,sei,sei24,sei24,sei,Xian,XA
XA,Xian,115,什么,啥,,sa,sa44,sa44,sa,Xian,XA
XA,Xian,116,这里,这儿,,tʂɤr,tʂɤr53,tʂɤr53,tʂɤr,Xian,XA
XA,Xian,117,那里,兀儿,,uor,uor53,uor53,uor,Xian,XA
XA,Xian,118,哪里,啊搭 ,,a ta,a53 ta,a53ta,ata,Xian,XA
XA,Xian,119,这个,这个 ,,tʂʅ kɤ,tʂʅ44 kɤ,tʂɻ̩44kɤ,tʂɻ̩kɤ,Xian,XA
XA,Xian,120,那个,兀个,,u kɤ,u44 kɤ,u44kɤ,ukɤ,Xian,XA
XA,Xian,121,哪一个,啊一个,,a i kɤ,a53 i21 kɤ,a53i21kɤ,aikɤ,Xian,XA
XA,Xian,122,怎么样,咋个向 ,,tsa kɤ ɕiaŋ,tsa53 kɤ ɕiaŋ44,tsa53kɤɕiaŋ44,tsakɤɕiaŋ,Xian,XA
XA,Xian,123,一位客人,个,,kɤ,kɤ44,kɤ44,kɤ,Xian,XA
XA,Xian,124,一双鞋,双,,faŋ,faŋ21,faŋ21,faŋ,Xian,XA
XA,Xian,125,一床被,床,,pfˈaŋ,pfˈaŋ24,pfʰaŋ24,pfʰaŋ,Xian,XA
XA,Xian,126,一辆车,辆,,liaŋ,liaŋ53,liaŋ53,liaŋ,Xian,XA
XA,Xian,127,一条牛,个,,kɤ,kɤ44,kɤ44,kɤ,Xian,XA
XA,Xian,128,一口猪,个,,kɤ,kɤ44,kɤ44,kɤ,Xian,XA
XA,Xian,129,听一会儿,,,,,,,Xian,XA
XA,Xian,130,打一下,,,,,,,Xian,XA
XA,Xian,131,上头,上头 ,,ʂaŋ tˈou,ʂaŋ44 tˈou,ʂaŋ44tʰou,ʂaŋtʰou,Xian,XA
XA,Xian,132,下头,底下,,ti xa,ti53 xa,ti53xa,tixa,Xian,XA
XA,Xian,133,左边,左岸儿 ,,tsuo ŋar,tsuo53 ŋar,tsuo53ŋar,tsuoŋar,Xian,XA
XA,Xian,134,右边,右岸儿 ,,iou ŋar,iou44 ŋar,iou44ŋar,iouŋar,Xian,XA
XA,Xian,135,当中,当中里 ,,taŋ pfəŋ ni,taŋ2124 pfəŋ2124 ni021,taŋ2124pfəŋ2124ni021,taŋpfəŋni,Xian,XA
XA,Xian,136,里面,里头 ,,li tˈou,li53 tˈou,li53tʰou,litʰou,Xian,XA
XA,Xian,137,外面,外头 ,,uai tˈou,uai44 tˈou,uai44tʰou,uaitʰou,Xian,XA
XA,Xian,138,甜,甜,,tˈiã,tˈiã24,tʰiã24,tʰiã,Xian,XA
XA,Xian,139,酸,酸,,suã,suã21,suã21,suã,Xian,XA
XA,Xian,140,咸,咸,,xã,xã24,xã24,xã,Xian,XA
XA,Xian,141,淡,甜,,tˈiã,tˈiã24,tʰiã24,tʰiã,Xian,XA
XA,Xian,142,胖,胖,,pˈaŋ,pˈaŋ44,pʰaŋ44,pʰaŋ,Xian,XA
XA,Xian,143,瘦,瘦,,sou,sou44,sou44,sou,Xian,XA
XA,Xian,144,冷,冷,,ləŋ,ləŋ53,ləŋ53,ləŋ,Xian,XA
XA,Xian,145,热,热,,ʐɤ,ʐɤ21,ʐɤ21,ʐɤ,Xian,XA
XA,Xian,146,香,香,,ɕiaŋ,ɕiaŋ21,ɕiaŋ21,ɕiaŋ,Xian,XA
XA,Xian,147,臭,臭,,tʂˈou,tʂˈou44,tʂʰou44,tʂʰou,Xian,XA
XA,Xian,148,粗,粗,,tsˈu,tsˈu21,tsʰu21,tsʰu,Xian,XA
XA,Xian,149,细,细,,ɕi,ɕi44,ɕi44,ɕi,Xian,XA
XA,Xian,150,长,长,,tʂˈaŋ,tʂˈaŋ24,tʂʰaŋ24,tʂʰaŋ,Xian,XA
XA,Xian,151,短,短,,tuã,tuã53,tuã53,tuã,Xian,XA
XA,Xian,152,脏,脏,,tsaŋ,tsaŋ21,tsaŋ21,tsaŋ,Xian,XA
XA,Xian,153,干净,干净,,kã tɕiŋ,kã21 tɕiŋ,kã21tɕiŋ,kãtɕiŋ,Xian,XA
XA,Xian,154,便宜,便宜,,pˈiã i,pˈiã24 i,pʰiã24i,pʰiãi,Xian,XA
XA,Xian,155,刚(来),刚 ,,kaŋ,kaŋ24,kaŋ24,kaŋ,Xian,XA
XA,Xian,156,刚(合适),刚,,kaŋ,kaŋ24,kaŋ24,kaŋ,Xian,XA
XA,Xian,157,正好,刚好儿 ,,kaŋ xaur,kaŋ24 xaur53,kaŋ24xaur53,kaŋxaur,Xian,XA
XA,Xian,158,和,跟 ,,kẽ,kẽ21,kẽ21,kẽ,Xian,XA
XA,Xian,159,只,光 ,,kuaŋ,kuaŋ24,kuaŋ24,kuaŋ,Xian,XA
XA,Xian,160,从,由 ,,iou,iou24,iou24,iou,Xian,XA
XA,Xian,161,替,替,,tˈi,tˈi44,tʰi44,tʰi,Xian,XA
XA,Xian,162,拿,拿 ,,na,na24,na24,na,Xian,XA
XA,Xian,163,故意,故意儿 ,,ku iər,ku44 iər4453,ku44iər4453,kuiər,Xian,XA
XA,Xian,164,一,一,,i,i21,i21,i,Xian,XA
XA,Xian,165,二,二,,ər,ər44,ər44,ər,Xian,XA
XA,Xian,166,三,三,,sã,sã21,sã21,sã,Xian,XA
XA,Xian,167,四,四,,sɿ,sɿ44,sɹ̩44,sɹ̩,Xian,XA
XA,Xian,168,五,五,,u,u53,u53,u,Xian,XA
XA,Xian,169,六,六,,liou,liou21,liou21,liou,Xian,XA
XA,Xian,170,七,七,,tɕˈi,tɕˈi21,tɕʰi21,tɕʰi,Xian,XA
XA,Xian,171,八,八,,pa,pa21,pa21,pa,Xian,XA
XA,Xian,172,九,九,,tɕiou,tɕiou53,tɕiou53,tɕiou,Xian,XA
XA,Xian,173,十,十,,ʂʅ,ʂʅ24,ʂɻ̩24,ʂɻ̩,Xian,XA
XA,Xian,174,十一,十一,,ʂʅ i,ʂʅ24 i21,ʂɻ̩24i21,ʂɻ̩i,Xian,XA
XA,Xian,175,十二,十二,,ʂʅ ər,ʂʅ24 ər44,ʂɻ̩24ər44,ʂɻ̩ər,Xian,XA
XA,Xian,176,二十,二十,,ər ʂʅ,ər44 ʂʅ,ər44ʂɻ̩,ərʂɻ̩,Xian,XA
XA,Xian,177,二十一,二十一,,ər ʂʅ i,ər44 ʂʅ24 i21,ər44ʂɻ̩24i21,ərʂɻ̩i,Xian,XA
XA,Xian,178,一百二十一,一百二十一,,i pei ər ʂʅ i,i2124 pei21 ər44 ʂʅ24 i21,i2124pei21ər44ʂɻ̩24i21,ipeiərʂɻ̩i,Xian,XA
XA,Xian,179,第一,第一,,ti i,ti44 i21,ti44i21,tii,Xian,XA
XA,Xian,180,第二,第二,,ti ər,ti44 ər44,ti44ər44,tiər,Xian,XA
