dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,65,祖母,奶奶 ,,lE lE,lE21 lE,lɤ21lɤ,lɤlɤ
HF,Hefei,66,伯父,大伯 ,,ta pɐʔ,ta53 pɐʔ5,ta53pɐʔ5,tapɐʔ
HF,Hefei,67,伯母,大大 ,,ta ta,ta53 ta,ta53ta,tata
HF,Hefei,68,叔父,爷 ,,i,i55,i55,i
HF,Hefei,69,叔母,婶子,,ʂən tsə,ʂən24 tsə,ʂən24tsə,ʂəntsə
HF,Hefei,70,外祖父,外爹爹,,uE te te,uE53 te21 te,uɤ53te21te,uɤtete
HF,Hefei,71,外祖母,外奶奶 ,,uE lE lE,uE53 lE lE,uɤ53lɤlɤ,uɤlɤlɤ
HF,Hefei,72,舅舅,舅舅,,tɕiɯ tɕiɯ,tɕiɯ53 tɕiɯ,tɕiɯ53tɕiɯ,tɕiɯtɕiɯ
HF,Hefei,73,舅母,舅妈 ,,tɕiɯ mə,tɕiɯ53 mə,tɕiɯ53mə,tɕiɯmə
HF,Hefei,74,丈夫,老的们 ,,lɔ tiəʔ mən,lɔ24 tiəʔ mən,lɔ24tiəʔmən,lɔtiəʔmən
HF,Hefei,75,妻子,奶奶们,,lE lE mən,lE24 lE mən,lɤ24lɤmən,lɤlɤmən
HF,Hefei,76,儿子,儿子 ,,a tsə,a55 tsə,a55tsə,atsə
HF,Hefei,77,女儿,丫头,,ia tˈɯ,ia21 tˈɯ,ia21tʰɯ,iatʰɯ
HF,Hefei,78,早饭,早饭 ,,tsɔ fæ̃,tsɔ24 fæ̃53,tsɔ24fæ̃53,tsɔfæ̃
HF,Hefei,79,午饭,中饭 ,,tʂəŋ fæ̃,tʂəŋ2124 fæ̃53,tʂəŋ2124fæ̃53,tʂəŋfæ̃
HF,Hefei,80,晚饭,晚饭 ,,uæ̃ fæ̃,uæ̃24 fæ̃53,uæ̃24fæ̃53,uæ̃fæ̃
HF,Hefei,81,面条,面条 ,,miɪ̃ tˈiɔ,miɪ̃53 tˈiɔ55,miɪ̃53tʰiɔ55,miɪ̃tʰiɔ
HF,Hefei,82,馒头,大馍 ,,ta mʊ,ta53 mʊ55,ta53mʊ55,tamʊ
HF,Hefei,83,包子,包子 ,,pɔ tsə,pɔ21 tsə,pɔ21tsə,pɔtsə
HF,Hefei,84,馄饨,饺子 ,,tɕiɔ tsə,tɕiɔ24 tsə,tɕiɔ24tsə,tɕiɔtsə
HF,Hefei,85,醋,醋,,tsˈu,tsˈu53,tsʰu53,tsʰu
HF,Hefei,86,酱油,酱油 ,,tɕiɑ̃ iɯ,tɕiɑ̃53 iɯ55,tɕiɑ̃53iɯ55,tɕiɑ̃iɯ
HF,Hefei,87,盐,盐,,iɪ̃,iɪ̃55,iɪ̃55,iɪ̃
HF,Hefei,88,筷子,筷子 ,,kˈiE tsə,kˈiE53 tsə,kʰiɤ53tsə,kʰiɤtsə
