dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,1,太阳,太阳,,t‘ai iaŋ,t‘ai13 iaŋ31,tʰaiiaŋ,tʰai13iaŋ31
CD,Chengdu,2,月亮,月亮 ,,ye niaŋ,ye31 niaŋ13,yeniaŋ,ye31niaŋ13
CD,Chengdu,3,星星,星星儿 ,,ɕin ɕiər,ɕin55 ɕiər55,ɕinɕiər,ɕin55ɕiər55
CD,Chengdu,4,打雷,打雷,,ta nuei,ta53 nuei31,tanuei,ta53nuei31
CD,Chengdu,5,闪电,火闪 ,,xo san,xo53 san53,xosan,xo53san53
CD,Chengdu,6,下雨,落雨 ,,no y,no31 y53,noy,no31y53
CD,Chengdu,7,下雪,落雪 ,,no ɕye,no31 ɕye31,noɕye,no31ɕye31
CD,Chengdu,8,冰雹,冰雹子 ,,pin pau tsɿ,pin55 pau13 tsɿ53,pinpautsɹ̩,pin55pau13tsɹ̩53
CD,Chengdu,9,结冰,结冰 ,,tɕie pin,tɕie31 pin55,tɕiepin,tɕie31pin55
CD,Chengdu,10,刮风,刮风 ,,kua foŋ,kua31 foŋ55,kuafoŋ,kua31foŋ55
CD,Chengdu,11,虹,虹,,xoŋ,xoŋ31,xoŋ,xoŋ31
CD,Chengdu,12,端午节,端阳,,tuan iaŋ,tuan55 iaŋ31,tuaniaŋ,tuan55iaŋ31
CD,Chengdu,13,中秋节,中秋节,,tsoŋ tɕˈieu tɕie,tsoŋ55 tɕˈieu55 tɕie31,tsoŋtɕʰieutɕie,tsoŋ55tɕʰieu55tɕie31
CD,Chengdu,14,除夕,三十晚上,,san sɿ uan saŋ,san55 sɿ31 uan53 saŋ13,sansɹ̩uansaŋ,san55sɹ̩31uan53saŋ13
CD,Chengdu,15,今年,今年 ,,tɕin ȵian,tɕin55 ȵian31,tɕinɲian,tɕin55ɲian31
CD,Chengdu,16,明年,明年 ,,min ȵian,min31 ȵian31,minɲian,min31ɲian31
CD,Chengdu,17,去年,去年 ,,tɕˈy ȵian,tɕˈy13 ȵian31,tɕʰyɲian,tɕʰy13ɲian31
CD,Chengdu,18,明天,明天,,min tˈian,min31 tˈian55,mintʰian,min31tʰian55
CD,Chengdu,19,昨天,昨天,,tso tˈian,tso31 tˈian55,tsotʰian,tso31tʰian55
CD,Chengdu,20,今天,今天,,tɕin tˈian,tɕin55 tˈian55,tɕintʰian,tɕin55tʰian55
CD,Chengdu,21,星期天,星期天,,ɕin tɕˈi tˈian,ɕin55 tɕˈi55 tˈian55,ɕintɕʰitʰian,ɕin55tɕʰi55tʰian55
CD,Chengdu,22,麦子,麦子,,me tsɿ,me31 tsɿ53,metsɹ̩,me31tsɹ̩53
CD,Chengdu,23,大米,米,,mi,mi53,mi,mi53
CD,Chengdu,24,蚕豆,胡豆,,fu təu,fu31 təu13,futəu,fu31təu13
CD,Chengdu,25,向日葵,向日葵,,ɕiaŋ zɿ kˈuei,ɕiaŋ13 zɿ31 kˈuei31,ɕiaŋzɹ̩kʰuei,ɕiaŋ13zɹ̩31kʰuei31
CD,Chengdu,26,菠菜,菠菜,,po tsˈai,po55 tsˈai13,potsʰai,po55tsʰai13
CD,Chengdu,27,卷心菜,卷心白,,tɕyan ɕin pe,tɕyan53 ɕin55 pe31,tɕyanɕinpe,tɕyan53ɕin55pe31
CD,Chengdu,28,西红柿,番茄,,fan tɕˈie,fan55 tɕˈie31,fantɕʰie,fan55tɕʰie31
CD,Chengdu,29,茄子,茄子,,tɕˈie tsɿ,tɕˈie31 tsɿ53,tɕʰietsɹ̩,tɕʰie31tsɹ̩53
CD,Chengdu,30,白薯,红苕,,xoŋ sau,xoŋ31 sau31,xoŋsau,xoŋ31sau31
CD,Chengdu,31,马铃薯,洋芋,,iaŋ y,iaŋ31 y13,iaŋy,iaŋ31y13
CD,Chengdu,32,南瓜,南瓜,,nan kua,nan31 kua55,nankua,nan31kua55
CD,Chengdu,33,猪,猪,,tsu,tsu55,tsu,tsu55
CD,Chengdu,34,公猪,脚猪,,tɕyo tsu,tɕyo31 tsu55,tɕyotsu,tɕyo31tsu55
CD,Chengdu,35,母猪,母猪,,mu tsu,mu53 tsu55,mutsu,mu53tsu55
CD,Chengdu,36,公鸡,鸡公,,tɕi koŋ,tɕi55 koŋ55,tɕikoŋ,tɕi55koŋ55
CD,Chengdu,37,母鸡,鸡婆,,tɕi pˈo,tɕi55 pˈo31,tɕipʰo,tɕi55pʰo31
CD,Chengdu,38,麻雀,麻雀儿,,ma tɕˈyər,ma31 tɕˈyər3155,matɕʰyər,ma31tɕʰyər3155
CD,Chengdu,39,老鼠,耗子,,xau tsɿ,xau13 tsɿ53,xautsɹ̩,xau13tsɹ̩53
CD,Chengdu,40,臭虫,臭虫,,tsˈəu tsoŋ,tsˈəu13 tsoŋ31,tsʰəutsoŋ,tsʰəu13tsoŋ31
CD,Chengdu,41,房子(整),房子,,faŋ tsɿ,faŋ31 tsɿ53,faŋtsɹ̩,faŋ31tsɹ̩53
CD,Chengdu,42,房子(单),屋子,,u tsɿ,u31 tsɿ53,utsɹ̩,u31tsɹ̩53
CD,Chengdu,43,窗户,窗子,,tsˈuaŋ tsɿ,tsˈuaŋ55 tsɿ53,tsʰuaŋtsɹ̩,tsʰuaŋ55tsɹ̩53
CD,Chengdu,44,门坎,门槛 ,,mən kˈan,mən31 kˈan53,mənkʰan,mən31kʰan53
CD,Chengdu,45,厕所,茅房 ,,mau faŋ,mau31 faŋ31,maufaŋ,mau31faŋ31
CD,Chengdu,46,厨房,厨房 ,,tsˈu faŋ,tsˈu31 faŋ31,tsʰufaŋ,tsʰu31faŋ31
CD,Chengdu,47,烟囱,烟囱 ,,ian tsˈoŋ,ian55 tsˈoŋ55,iantsʰoŋ,ian55tsʰoŋ55
CD,Chengdu,48,桌子,桌子 ,,tso tsɿ,tso31 tsɿ53,tsotsɹ̩,tso31tsɹ̩53
CD,Chengdu,49,楼梯,楼梯,,nəu tˈi,nəu31 tˈi55,nəutʰi,nəu31tʰi55
