dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XT,Xiangtan,101,泻肚,肚子屙 ,,təɯ tsɿ o,təɯ42 tsɿ33 o33,təɯ tsɹ̩ o,təɯ42 tsɹ̩33 o33
XT,Xiangtan,102,瘸子,拜子,,pai tsɿ,pai33 tsɿ33,pai tsɹ̩,pai33 tsɹ̩33
XT,Xiangtan,103,驼背,驼子 ,,do tsɿ,do12 tsɿ33,do tsɹ̩,do12 tsɹ̩33
XT,Xiangtan,104,死了,老哒 ,,naɯ tɒ,naɯ42 tɒ42,naɯ tɒ,naɯ42 tɒ42
XT,Xiangtan,105,看病,看病 ,,kˈan bian,kˈan55 bian21,kˈan bian,kˈan55 bian21
XT,Xiangtan,106,我,我,,ŋo,ŋo42,ŋo,ŋo42
XT,Xiangtan,107,你,你 ,,ni,ni42,ni,ni42
XT,Xiangtan,108,他,他 ,,tˈɒ,tˈɒ33,tˈɒ,tˈɒ33
XT,Xiangtan,109,我们,我人 ,,ŋo in,ŋo42 in12,ŋo in,ŋo42 in12
XT,Xiangtan,110,你们,你人 ,,ȵi in,ȵi42 in12,ɲi in,ɲi42 in12
XT,Xiangtan,111,他们,他人 ,,tˈɒ in,tˈɒ33 in12,tˈɒ in,tˈɒ33 in12
XT,Xiangtan,112,咱们,我人 ,,ŋo in,ŋo42 in12,ŋo in,ŋo42 in12
XT,Xiangtan,113,自己,自家 ,,dzɿ kɒ,dzɿ21 kɒ33,dzɹ̩ kɒ,dzɹ̩21 kɒ33
XT,Xiangtan,114,谁,哪个 ,,nɒ ko,nɒ42 ko55,nɒ ko,nɒ42 ko55
XT,Xiangtan,115,什么,什么 ,,ʂən mo,ʂən42 mo33,ʂən mo,ʂən42 mo33
XT,Xiangtan,116,这里,咯当 ,,ko tɔn,ko24 tɔn55,ko tɔn,ko24 tɔn55
XT,Xiangtan,117,那里,那当 ,,nɒ tɔn,nɒ24 tɔn55,nɒ tɔn,nɒ24 tɔn55
XT,Xiangtan,118,哪里,哪当 ,,nɒ tɔn,nɒ42 tɔn55,nɒ tɔn,nɒ42 tɔn55
XT,Xiangtan,119,这个,咯个,,ko ko,ko24 ko55,ko ko,ko24 ko55
XT,Xiangtan,120,那个,那个 ,,nɒ ko,nɒ24 ko55,nɒ ko,nɒ24 ko55
XT,Xiangtan,121,哪一个,哪一个 ,,nɒ i ko,nɒ42 i24 ko55,nɒ i ko,nɒ42 i24 ko55
XT,Xiangtan,122,怎么样,台解 ,,i kai,i12 kai42,i kai,i12 kai42
XT,Xiangtan,123,一位客人,隻,,tʂɒ,tʂɒ24,tʂɒ,tʂɒ24
XT,Xiangtan,124,一双鞋,双 ,,sɔn,sɔn33,sɔn,sɔn33
XT,Xiangtan,125,一床被,床,,dzɔn,dzɔn12,dzɔn,dzɔn12
XT,Xiangtan,126,一辆车,部,,bu,bu21,bu,bu21
XT,Xiangtan,127,一条牛,隻,,tʂɒ,tʂɒ24,tʂɒ,tʂɒ24
XT,Xiangtan,128,一口猪,隻,,tʂɒ,tʂɒ24,tʂɒ,tʂɒ24
XT,Xiangtan,129,听一会儿,听一下,,ɦɒ,ɦɒ21,ɦɒ,ɦɒ21
XT,Xiangtan,130,打一下,打一下,,ɦɒ,ɦɒ21,ɦɒ,ɦɒ21
XT,Xiangtan,131,上头,上头 ,,ʂɔn dəɯ,ʂɔn21 dəɯ12,ʂɔn dəɯ,ʂɔn21 dəɯ12
XT,Xiangtan,132,下头,下头 ,,ɦɒ dəɯ,ɦɒ21 dəɯ12,ɦɒ dəɯ,ɦɒ21 dəɯ12
XT,Xiangtan,133,左边,左边 ,,tso piẽ,tso42 piẽ33,tso piẽ,tso42 piẽ33
XT,Xiangtan,134,右边,右边 ,,iəɯ piẽ,iəɯ21 piẽ33,iəɯ piẽ,iəɯ21 piẽ33
XT,Xiangtan,135,当中,中间 ,,tʂən kan,tʂən33 kan33,tʂən kan,tʂən33 kan33
XT,Xiangtan,136,里面,里头 ,,ni dəɯ,ni42 dəɯ12,ni dəɯ,ni42 dəɯ12
XT,Xiangtan,137,外面,外头 ,,uai dəɯ,uai42 dəɯ12,uai dəɯ,uai42 dəɯ12
XT,Xiangtan,138,甜,甜 ,,diẽ,diẽ12,diẽ,diẽ12
XT,Xiangtan,139,酸,酸 ,,sɔn,sɔn33,sɔn,sɔn33
XT,Xiangtan,140,咸,咸 ,,ɦan,ɦan12,ɦan,ɦan12
XT,Xiangtan,141,淡,淡 ,,dan,dan21,dan,dan21
XT,Xiangtan,142,胖,壮 ,,tsɔn,tsɔn55,tsɔn,tsɔn55
XT,Xiangtan,143,瘦,瘦 ,,səɯ,səɯ55,səɯ,səɯ55
XT,Xiangtan,144,冷,冷 ,,nən,nən42,nən,nən42
XT,Xiangtan,145,热,热 ,,ie,ie24,ie,ie24
XT,Xiangtan,146,香,香 ,,sian,sian33,sian,sian33
XT,Xiangtan,147,臭,臭 ,,tʂˈəɯ,tʂˈəɯ55,tʂˈəɯ,tʂˈəɯ55
XT,Xiangtan,148,粗,粗 ,,tsˈəɯ,tsˈəɯ33,tsˈəɯ,tsˈəɯ33
XT,Xiangtan,149,细,细,,si,si55,si,si55
XT,Xiangtan,150,长,长 ,,dʐɔn,dʐɔn12,dʐɔn,dʐɔn12
XT,Xiangtan,151,短,短,,tɔn,tɔn42,tɔn,tɔn42
XT,Xiangtan,152,脏,邋遢 ,,nɒ tˈɒ,nɒ24 tˈɒ55,nɒ tˈɒ,nɒ24 tˈɒ55
XT,Xiangtan,153,干净,索里 ,,so ni,so24 ni42,so ni,so24 ni42
XT,Xiangtan,154,便宜,便宜 ,,biẽ ȵi,biẽ12 ȵi24,biẽ ɲi,biẽ12 ɲi24
XT,Xiangtan,155,刚(来),才 ,,dzai,dzai12,dzai,dzai12
XT,Xiangtan,156,刚(合适),正 ,,tʂən,tʂən55,tʂən,tʂən55
XT,Xiangtan,157,正好,正好 ,,tʂən haɯ,tʂən55 haɯ42,tʂən haɯ,tʂən55 haɯ42
XT,Xiangtan,158,和,和 ,,ɦo,ɦo12,ɦo,ɦo12
XT,Xiangtan,159,只,只 ,,tsɿ,tsɿ24,tsɹ̩,tsɹ̩24
XT,Xiangtan,160,从,从,,dzən,dzən12,dzən,dzən12
XT,Xiangtan,161,替,给 ,,ke,ke24,ke,ke24
XT,Xiangtan,162,拿,拿,,nɒ,nɒ33,nɒ,nɒ33
XT,Xiangtan,163,故意,竟为 ,,tɕin uəi,tɕin55 uəi21,tɕin uəi,tɕin55 uəi21
XT,Xiangtan,164,一,一 ,,i,i24,i,i24
XT,Xiangtan,165,二,二,,e,e21,e,e21
XT,Xiangtan,166,三,三,,san,san33,san,san33
XT,Xiangtan,167,四, 四,,sɿ,sɿ55,sɹ̩,sɹ̩55
XT,Xiangtan,168,五,五,,u,u42,u,u42
XT,Xiangtan,169,六,六,,nəɯ,nəɯ24,nəɯ,nəɯ24
XT,Xiangtan,170,七,七,,tsˈi,tsˈi24,tsˈi,tsˈi24
XT,Xiangtan,171,八,八,,pɒ,pɒ24,pɒ,pɒ24
XT,Xiangtan,172,九,九,,tɕiəɯ,tɕiəɯ42,tɕiəɯ,tɕiəɯ42
XT,Xiangtan,173,十,十,,ʂʅ,ʂʅ55,ʂɻ̩,ʂɻ̩55
XT,Xiangtan,174,十一,十一,,ʂʅ i,ʂʅ55 i24,ʂɻ̩ i,ʂɻ̩55 i24
XT,Xiangtan,175,十二,十二,,ʂʅ e,ʂʅ55 e21,ʂɻ̩ e,ʂɻ̩55 e21
XT,Xiangtan,176,二十,二十,,e ʂʅ,e21 ʂʅ55,e ʂɻ̩,e21 ʂɻ̩55
XT,Xiangtan,177,二十一,二十一,,e ʂʅ i,e21 ʂʅ55 i24,e ʂɻ̩ i,e21 ʂɻ̩55 i24
XT,Xiangtan,178,一百二十,,,,,,
XT,Xiangtan,179,第一,第一,,di i,di21 i24,di i,di21 i24
XT,Xiangtan,180,第二,第二,,di e,di21 e21,di e,di21 e21
XT,Xiangtan,181,两里,两里,,nian ni,nian42 ni42,nian ni,nian42 ni42
XT,Xiangtan,182,二两,二两,,e nian,e21 nian42,e nian,e21 nian42
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
