dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
KM,Kunming,082,馒头,馒头,,,mÃ31 tˈəu31-44
KM,Kunming,083,包子,包子,,,pɔ44 tsɿ53
KM,Kunming,084,馄饨,饺,,,tɕiɔ31
KM,Kunming,085,醋,酸醋,,,suÃ44 tsˈu212
KM,Kunming,086,酱油,清酱,,,tɕˈĩ44 tɕiÃ212
KM,Kunming,087,盐,盐巴,,,iɛ̃31 pA44
KM,Kunming,088,筷子,筷儿,,,kˈuə212 
KM,Kunming,089,勺儿,调羹,,,tˈiɔ31 kə̃44
KM,Kunming,090,男人,男呢,,,nÃ31 nə44
KM,Kunming,091,女人,女呢,,,ni53 nə44
KM,Kunming,092,男孩子,男娃娃,,,nÃ31 uA31 uA31-44
KM,Kunming,093,女孩子,女娃娃,,,ni53 uA31 uA31-44
KM,Kunming,094,老头儿,老倌儿,,,lɔ53 kuÃ44 ə31
KM,Kunming,095,医生,医生,,,i44 sə̃44
KM,Kunming,096,厨师,厨师,,,tʂˈu31 sɿ44
KM,Kunming,097,乞丐,花子,,,xuA44 tsɿ53
KM,Kunming,098,保姆,保姆,,,pɔ53 mu53
KM,Kunming,099,病了,病了,,,pĩ212 lə53
KM,Kunming,100,伤风,伤风,,,ʂÃ44 foŋ44
KM,Kunming,101,泻肚,泻肚子,,,ɕiɛ212 tu212 tsɿ53
KM,Kunming,102,瘸子,,,,pæ44 pæ44
KM,Kunming,103,驼背,背锅,,,pei44 ko44
KM,Kunming,104,死了,不在了,,,pu31 tsæ212 lə53
KM,Kunming,105,看病,瞧病,,,tɕˈiɔ31 pĩ212
KM,Kunming,106,我,我 ,,,o53
KM,Kunming,107,你,你,,,ni53
KM,Kunming,108,他,他  ,,,tˈA44
KM,Kunming,109,我们,我们,,,o53 mə̃44
KM,Kunming,110,你们,你们,,,ni53 mə̃44
KM,Kunming,111,他们,他们,,,tˈA44 mə̃44
KM,Kunming,112,咱们,我们,,,o53 mə̃44
KM,Kunming,113,自己,自己,,,tsɿ212 tɕi53
KM,Kunming,114,谁,哪个,,,nA53 kə212
KM,Kunming,115,什么,哪样,,,nA53 iÃ212
KM,Kunming,116,这里,这点儿,,,tʂʅ212 tiə31
KM,Kunming,117,那里,那点儿,,,nə212 tiə31
KM,Kunming,118,哪里,哪点儿,,,nA53 tiə31
KM,Kunming,119,这个,这个,,,tʂʅ44 kə212
KM,Kunming,120,那个,那个,,,nə212 kə212
KM,Kunming,121,哪一个,哪个,,,nA53 kə212
KM,Kunming,122,怎么样,咋个了,,,tsA31 kə212 lə53
KM,Kunming,123,一位客人,一个客人,,,
KM,Kunming,124,一双鞋,,,,
KM,Kunming,125,一床被,,,,
KM,Kunming,126,一辆车,,,,
KM,Kunming,127,一条牛,,,,
KM,Kunming,128,一口猪,,,,
KM,Kunming,129,听一会儿,,,,
KM,Kunming,130,打一下,,,,
KM,Kunming,131,上头,上首,,,ʂÃ212 ʂəu53
KM,Kunming,132,下头,下首 ,,,ɕiA212 ʂəu53
KM,Kunming,133,左边,左手边 ,,,tso53 ʂəu53 piɛ̃44
KM,Kunming,134,右边,右手边 ,,,iəu212 ʂəu53 piɛ̃44
KM,Kunming,135,当中,正中间 ,,,tʂə̃212 tsoŋ44 tɕiɛ̃44
KM,Kunming,136,里面,以首 ,,,i53 ʂəu53
KM,Kunming,137,外面,外首 ,,,uæ212 ʂəu53
KM,Kunming,138,甜,甜,,,tˈiɛ̃31
KM,Kunming,139,酸,酸,,,suÃ212
KM,Kunming,140,咸,咸,,,ɕiɛ̃31
KM,Kunming,141,淡,淡,,,tÃ212
KM,Kunming,142,胖,胖,,,pˈÃ212
KM,Kunming,143,瘦,瘦,,,səu212
KM,Kunming,144,冷,冷,,,lə̃53
KM,Kunming,145,热,热,,,ʐə31
KM,Kunming,146,香,香,,,ɕiÃ44
KM,Kunming,147,臭,臭,,,tʂˈəu212
KM,Kunming,148,粗,粗,,,tsˈu44
KM,Kunming,149,细,细,,,ɕi212
KM,Kunming,150,长,长,,,tʂˈÃ31
KM,Kunming,151,短,短,,,tuÃ53
KM,Kunming,152,脏,脏,,,tsÃ44
KM,Kunming,153,干净,干净,,,kÃ44 tɕĩ212
KM,Kunming,154,便宜,相因,,,ɕiÃ44 ĩ44
KM,Kunming,155,刚(来),才将,,,tsˈæ31 tɕiÃ44
KM,Kunming,156,刚(合适),将将 ,,,tɕiÃ44 tɕiÃ44
KM,Kunming,157,正好,刚好  ,,,kÃ44 xɔ53
KM,Kunming,158,和,挨  ,,,æ44
KM,Kunming,159,只,只,,,tʂʅ53
KM,Kunming,160,从,从,,,tsˈoŋ31
KM,Kunming,161,替,挨,,,æ44
KM,Kunming,162,拿,拿,,,nA31
KM,Kunming,163,故意,罢意,,,pA212 i212
KM,Kunming,164,一,一,,,i31
KM,Kunming,165,二,二,,,ə212
KM,Kunming,166,三,三,,,sÃ44
KM,Kunming,167,四,四,,,sɿ212
KM,Kunming,168,五,五,,,u53
KM,Kunming,169,六,六,,,lu31
KM,Kunming,170,七,七,,,tɕˈi31
KM,Kunming,171,八,八,,,pA31
KM,Kunming,172,九,九,,,tɕiəu53
KM,Kunming,173,十,十,,,ʂʅ31
KM,Kunming,174,十一,十一,,,ʂʅ31 i31
KM,Kunming,175,十二,十二,,,ʂʅ31 ə212
