beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʂei kə pi nei kə xau,tse ko kan na ko xau,tsɿ ko ken pi a ko xao,kəʔ koʔ pi nɑ koʔ hɔ,tʂei kɤ pˈi nei kɤ xau,ti kə pɿ la kə xɔ,tʂʅ kə pi nə kə xɔ,tʂʅ kə kɛ̃n lɛ kə xɔ mɛ̃n,e tsak pi e tsak kuo hau,kei tsɑʔ pi he tsɑʔ hɑu,tsʌʔ xuæ pi uʌʔ xuæ xɔ,diɪʔ ɦəʔ pi ɛ ɦəʔ hɔ,tsi kai ho kue hɯ kai,tsit le pi hit le kˈaʔ ho,tsai pi vai xau,tsei kə pi nei kə xɑu,ki kai pei he kai hɜ,tsɤ kuo pi na kuo xau,tsei kɤ kan nei kɤ xɔ,tʂʅ kɤ pi u kɤ xau,nei kɔ hou kwɔ kɔ kɔ,ko tʂo pi nɒ tʂo haɯ,tʂʅ kɔ pj nɛ kɔ xɔ
tʂei ɕiɛ fɑŋ tsɿ pu pi nei ɕiɛ fɑŋ tsɿ xau,tse ɕi faŋ tsɿ mo te na ɕi faŋtsɿ xau,tsɿ ɕiɛ faŋ tsɿ pu tɛ a ɕiɛ faŋ tsɿ xao,kəʔ ɕi vɑŋ tsɿ ɦɑ zɿ nɑ ɕi vɑŋ tsɿ hɔ,tʂei ɕiɛ faŋ tsɿ pu lu nei ɕiɛ faŋ tsɿ xau,ti sɿ fɑ̃ tsə pəʔ tɕiəʔ la sɿ fɑ̃ tsə xɔ,tʂʅ ɕiɛ fÃ tsɿ məu tə nə ɕiɛ fÃ tsɿ xɔ,tʂʅ ɕiə fɑ̃ tsɿ m̩ iou lɛ ɕiə fɑ̃ tsɿ xɔ,e teu vuk e mo ke teu vuk e an liaŋ,kei ɕiɛʔ uʔ mɑu iu he ɕiɛʔ uʔ hɑu,tsʌʔ ɕiE ʐʌʔ xuə tsʌʔ pʌʔ ti uʌʔ ɕiE ʐʌʔ xuə tsʌʔ xɔ,diɪʔ ŋe vɑ̃ tsɿ pi i mi iɪʔ ŋe vã tsɿ tˈe pe,tsi tsˈoʔ tsˈu bo hɯ tsˈoʔ tsˈu ho,tsia e tsˈu bo hia e tsˈu ho,tsəʔ ɕie fɒ̃ tsəʔ məʔ la vəʔ ɕie fɒ̃ tsəʔ xau,tɕie ɕie fɑŋ tsɿ pu y nei ɕie fɑŋ tsɿ xɑu,ki le vu duɔ nau he le vu duɔ naŋ hɜ,tsɤ ɕie faŋ tsɿ mau tɤ na ɕie faŋ tsɿ xau,tsei ɕiɤ fɑŋ tsɿ mɤ iɤu nei ɕiɤ fɑŋ tsɿ xɔ,tʂʅ ɕiɛ faŋ tsɿ pu ʂəŋ u ɕiɛ faŋ tsɿ,nei ti uk pɐt jy kɔ ti uk hou,ko xie ɦɔn tsɿ pu pi nɒ sie ɦɔn tsɿ haɯ,tʂʅ ɕi fɔ̃ tsʅ mɔ iɯ nɛ ɕi fɔ̃ tsʅ xɔ
,tse tɕy xua yoŋ tsˈəntu xua tsa ko so,,,,,,,,,,,,,,,,,,,,,
iou u ʂʅ tɕin tʂuŋ nə,iəu u sɿ tɕin tsoŋ o,la tɛ toŋ pu,do təʔ doŋ ʔuɑ,nəŋ na tuŋ ma,iɯ u ʂəʔ tɕin tʂəŋ ʊ,kə nA tə toŋ,xa pa iou vu ʂʅ lɛ tɕĩn li,iu n̩ səp kuo kin tsˈiŋ ŋo,lɑʔ tɛʔ tˈuŋ po,xei tuŋ lɔ,ɦiɤ təʔ ŋ̩ səʔ tɕiŋ zoŋ,hia tioʔ u ŋõu tsap kɯŋ taŋ nõ,tˈeʔ u huaʔ bo,na tuəŋ alu,iou u ʂʅ tɕin tsuŋ nə,tø doŋ a fu,na pu na tɤ toŋ,nɤŋ na tuŋ ma,iou u ʂʅ tɕiẽ pfəŋ,nik tɐk juk ma,iəɯ ɯ ʂʅ tɕin dʐən,na tuə̃ lia
na tə tuŋ ma,nau te tɕˈi pu,ŋo la tɛ toŋ la la pu toŋ,ŋo do təʔ doŋ tˈɑ do pəʔ doŋ,uo nəŋ na tuŋ tˈa na pu tuŋ,kˈə la təŋ a,o nA tə toŋ tˈə nA pu toŋ,lə̃n la tũn ma,na tet hi mo,ŋo lɑʔ tɛʔ tˈuŋ tɕiɛ lɑʔ pɨʔ tˈuŋ,ŋiE xei tuŋ lɔ uʌʔ tɕiɑxei pʌʔ tuŋ,ne təʔ doŋ vaʔ,kˈioʔ oi tiŋ taŋ boi,gua tˈeʔ u huaʔ i tˈeʔ bo huaʔ,ɣɤ na tuəŋ lau tˈa na pəʔ tuəŋ,nɑ ti tuŋ mɑ,ŋ̩ tø doŋ gi tø fu doŋ,ŋuo na tɤ toŋ tˈa na pu toŋ,vɤ na tuŋ ȵi tˈa na pu tuŋ,na tei tuŋ,ŋɔ nik tɐk juk kˈøy nik m juk,nɒ tæ tɕˈi pu,nɔ na tuə̃ lia tɕia na tuə̃ l̩ pɔ̃ xɔ
uo na tə tuŋ tˈa na pu tuŋ,ŋo nau te tɕˈi tˈa nau pu tɕˈi,ŋen sɿ pu tɕˈin lɛ tsoŋ tɛ lian ŋo təu la pu toŋ,tsen tɑŋ pəʔ tɕˈin dzoŋ təʔ liẼ ŋo tu do pəʔ doŋ,tʂən pu tɕˈiŋ tʂˈən ti lian uo iɛ na pu tuŋ,ʊ la təŋ tˈa la pəʔ təŋ,tʂə̃ kə nə pu tɕˈi tʂoŋ nə liɛ̃ o tu nA pu toŋ,və lə̃n la tũn tˈa la pu tũn,ŋai na atet hi ki na m̩ hi,tɔʔ tsɨn man tsˈuŋ tsˈuŋ tɛʔ liɛn ŋo tu lɑʔ pɨʔ tˈuŋ,pʌʔ tɕˈiŋ liʌʔ liE ŋiE iE xei pʌʔ tuŋ,ŋo ne təʔ doŋ ɦi ne vəʔ doŋ,ua kˈioʔ oi tiŋ taŋ i kˈioʔ m tiŋ taŋ,sit tsai bo kˈin taŋ ka lien gua bã tˈeʔ bue tin taŋ,tsəŋ pəʔ tɕˈiəŋ tsuəŋ təʔ lie ɣɤ ie na pəʔ tuəŋ,uo nɑ ti tuŋ tˈɑ nɑ pu tuŋ,dʑyɔ zaŋ e li ŋ̩ ɦa tø fu doŋ,tsən pu tɕˈin tsoŋ tɤ ŋuo təu na pu toŋ niau,tʂuɤ ʂʅ pu tɕˈiŋ tʂuŋ ti lian vɤ iɤ na pu tuŋ,ŋɤ nəŋ na tuŋ tˈa na pu tuŋ,tsɐn hɐi m hɛŋ tsˈuŋ tou lin ŋɔ tou nik m juk,ŋo nɒ tæ tɕˈi tˈɒ nɒ pu tɕˈi,ʂʅ xua pv̩ tɕˈiə̃ na tʂuə̃ tʂɔ liã nɔ a na pv̩ tuə̃ na
tʂən pu tɕˈiŋ tʂˈən tə lian uo iɛ na pu tuŋ,ŋən sɿ pu tɕˈin o tsoŋ te nian ŋo təu nau pu tɕˈi,li so tɛ xao tɛ xen li xai xuei so ɕiɛ la iaŋ lɛ,ni sɥəʔ təʔ mẼ hɔ ni ɦɑ ɦio sɥəʔ tiẼ əl sɑ kəʔ toŋ ɕi,ni ʂuo ti tsei xau ni xai xuei ʂuo tiar ʂa nə,tʂən pəʔ tɕˈin liɪ̃ ʊ tɯ la pəʔ təŋ,ni ʂo nə xə̃ xɔ ni xæ xuei ʂo tiə nA iÃ,a ʂʅ xua pu tɕˈĩn la liɛ̃n və tou la pu tũn la,ai ia hau tsˈuŋ ŋo lien ŋai ia na m̩ to hi,n̩ uɑ tɛʔ man hɑu n̩ haaʔ ui uɑ tiɑʔ tsɿ sɨʔ li le,n̩ suʌʔ tiʌʔ pʌʔ læ n̩ xɑŋ xuæ suʌʔ ɕiE ʐʌʔ ʂəŋ liʌʔ,tsəŋ vəʔ tɕˈiŋ zoŋ təʔ le li ŋo ɦɑ ne vəʔ doŋ,bo ho kˈiŋ taŋ kau ua lo kˈioʔ m tiŋ taŋ a,li kɔŋ ka tsin ho li e hiau kɔŋ siã bĩʔ,ni suaʔ tiəʔ kˈaʔ xau lɤ ni xai xuei suaʔ ɕiar səŋ lɤ,tsən pu tɕˈiŋ səŋ tsuŋ ti uo tou nɑ pu tuŋ,ȵi kuɔ hɜ ɕi na ȵi va vai kuɔ le ȵi ɦɔ,ni suo tɤ man xau ni xai nən suo tiɛn mo sɿ,ȵi fɤ ti tsan tɕiŋ ti xɤŋ ȵi xan nɤŋ fɤ ɕiɤ sa ȵi,tʂẽ pfəŋ pfəŋ ti liã ŋɤ tou na pu tuŋ,nei kɔŋ tɐk hou hou nei tsuŋ sik kɔŋ ti mɐt jɛ nɛ,tsən tʂən pu tɕˈin dʐən tæ taɯ ŋo təɯ nɒ pu tɕˈi,ȵi fɔ tʂɔ xv̩ xɔ ȵi xɛ xuɨ fɔ ɛ ɕi sa lia
ni ʂuo tə tˈiŋ xɑu ni xai nəŋ ʂuo tiar ʂəm nə,ȵi so te xau xau ȵi xai xuei so tiər sa tsɿ ne,ŋo lɛ tsuei pen tɛ xen ŋo so pu in la,ŋo tsɥei pɑ ben ŋo sɥəʔ tˈɑ pəʔ ku,uo tsuei pən uo ʂuo pu kuo tˈa,li tɕiɑ̃ tiəʔ xɔ xən li xE lən tɕiɑ̃ xɔ xəŋ kə lə,o nə tsuei pə̃ o ʂo pu ko tˈə,ȵi fə ti xɔ ua ȵi xɛ̃n xuei fə ɕiə sa ʂa,n̩ səp fun̩ liak koŋ n̩ han iu mak ke koŋ ke,ŋo tsui pɑ pɨi uɑ ŋo uɑ tɕie pɨʔ iɑŋ,ŋiE tsuei pəŋ ŋiE suʌʔ pʌʔ kuei uʌʔ tɕiɑ tiʌʔ,noŋ kɑ̃ təʔ lɔ hɔ ɦə noŋ ɦɛ ɦue kɑ̃ ti sa nə,lɯ tã lai hoʔ ho lɯ luã u piaŋ tã ke ko mĩʔ kai bo,bo tsˈui bo tsiʔ gua kɔŋ be iã i,ɣɤ tsuei pəŋ ɣɤ suaʔ pəʔ kuɤ tˈa,ni ʂuo ti tʂən xɑu ni xai xuei ʂuo tiar mɑ iɑ,ŋ̩ fu vai kuɔ ŋ̩ kuɔ gi fu ku,ŋuo tsei pa pən suo pu kuo tˈa,vɤ tsuei pɤŋ ti xɤŋ fɤ pu kuɤ tˈa,ni ʂɤ ti liau ti xẽ ni xai nəŋ ʂɤ tiar sa,ŋɔ m sik kɔŋ jɛ ŋɔ kɔŋ m kwɔ kˈøy,ȵi kɔn tæ man haɯ ȵi ɦai ɕiaɯ tæ kɔn tiẽ ʂən mo nie,nɔ tsuɨ tʂuɛ a nɔ pa tɕia fɔ pv̩ ku
uo tsuei pən uo ʂuo pu kuo tˈa,ŋo tsuei pa pən ŋo tɕiaŋ pu in tˈa,so əu i pian iəu so i pian,sɥəʔ lə ʔiəʔ piẼ ɦi sɥəʔ lə ʔiəʔ piẼ,ʂuo lə i pian iou ʂuo i pian,ʊ tse pən ʊ tɕiɑ̃ pəʔ kʊ tˈa,ʂo lə i piɛ̃ iəu ʂo i piɛ̃,və ti tsuei pə̃n ti xə̃n və fə pu kuə la,ŋai ke tsoi səp fun pˈun ŋai koŋ m̩ kuo ki,uɑ liɛu iʔ tɑu iu uɑ iʔ tɑu,suʌʔ lɔ iʌʔ piE iəu suʌʔ iʌʔ piE,ɦo kɑ̃ vəʔ da le ŋo kɑ̃ vəʔ ku ɦi,ua boi tã ue ua tã su i,kɔŋ liau tsit pai koʔ kɔŋ tsit pai,suaʔ lau iəʔ pie iəu suaʔ iəʔ pie,uo tsuei pən uo ʂuo pu kuo tˈɑ,kuɔ ji pi ji ji pi,suo niau i piɛn iəu i piɛn,fɤ liɤ i pian iɤu fɤ liɤ i pian,ŋɤ tsuei pẽ ŋɤ ʂɤ pu kuo uo,kɔŋ tsɔ jɐt tsˈi jɐu kɔŋ jɐt tsˈi,ŋo tsəi pɒ mo ŋ kɔn tˈɒ pu ku,fɔ kɨ liɔ j tsˈa na kˈɔ fɔ liɔ j tsˈa
ʂuo lə i pian iou ʂuo i pian,so no i tau iəu so i tau,ma fan li tsai so i pian xa,tɕˈin ni tsE sɥəʔ ʔiəʔ piẼ,tɕˈiŋ ni tsai ʂuo i pian,tɕiɑ̃ tʂə iəʔ piɪ̃ iɯ tɕiɑ̃ iəʔ piɪ̃,tɕˈĩ ni tɕiɛ tsæ ʂo i piɛ̃,fə lɔ i tʂˈɛ̃n kə iou fə lɔ i tʂˈɛ̃n,koŋ ŋe it tson iu han oi koŋ it tson,tɕˈiɑŋ n̩ tsai uɑ iʔ tɑu,tɕˈiŋ n̩ tsæ suʌʔ iʌʔ piE,kɑ̃ ləʔ iɪʔ pi ɦiɤ kã iɪʔ pi,tã tsek kue liau iu tã ke kue,tsˈiã li koʔ kɔŋ tsit pai,tɕˈiəŋ ni tsai suaʔ iəʔ pie va,ʂuo lə i pian iou ʂuo i pian,tsˈeŋ ȵi tse kuɔ pi tˈi,tɕˈin ni tsai suo i piɛn,tɕˈiŋ ȵi tsai fɤ i pian,ʂɤ liɛ i piã kˈɤ ʂɤ liɛ i piã,tsˈɛŋ nei tsɔi kɔŋ jɐt tsˈi,kɔn tɒ i taɯ iəɯ kɔn i taɯ,tsɔ ȵi tsɛ fɔ j tsˈa
nin tsai ʂuo i pian,tɕˈin ȵi tsai so i tau,pu tsao əu kˈuai tai tɕˈi ləu,pəʔ tsɔ tə ɦɔ sɔ tɕˈi ʔiɑ,pi tsau lə kˈuai tɕˈy pa,tɕˈin li tsE tɕiɑ̃ iəʔ piɪ̃,pu tsɔ lə kˈuæ tiə kˈə,tɕia tɕˈĩn ȵi tsˈũn fə i tʂˈɛ̃n,tsˈiaŋ n̩ tsoi koŋ it tson,tsˈɑ pɨʔ to lo kˈuai tɕˈie sɑ,pʌʔ tsɔ lɑ kˈuæ ɕiE ʐʌʔ tɕˈy uɑ,tɕˈiŋ noŋ tse kɑ̃ iɪʔ pi,taˈiã lɯ tã ke kue,bo tsa lo kin kˈi o,pəʔ tsau lie kˈuai tɕˈy va,tɕˈiŋ ni tai ʂuo i pian,dzɿ ɦuɔ ba kˈa le tsau,pu tsau niau kˈuai tˈiər kˈɯ pa,pu tsɔ liɤ kan tɕiŋ tɕˈi pa,tɕˈiŋ ni tsai ʂɤ i piã,hou an la fai ti høy la,tsˈian ȵi tsai kɔn i taɯ,tsˈɿ liɔ tsɔ kã tɕiə̃ tɕˈj pa
pu tsɑu lə ma liər tɕˈy pa,pu tsau no kˈuai tiər tɕˈie,tsɿ xa xai tsao tɛ xen lɛ ten i xa tsai tɕˈi ma,kəʔ mɔ ɦɑ tsɔ lE ten ʔiəʔ ɕiəʔ əl tsE tɕˈi hɔ təʔ,ɕian tsai xai tsau ti xɤr nə təŋ xuər tsai tɕˈy pa,pəʔ tsɔ lə kˈuE xɔ tsˈɥ pa,tʂʅ xA xæ tsɔ nə tə̃ xA tsæ kˈə,pu tsɔ lɔ kˈuɛ ɕiə tɕˈi ʂa,m̩ tsau ve kˈuai tit loi hi,ko ɕiɛn tsˈai haʔ tsɑu tɛʔ ŋɔʔ le ŋan ɑ tsɿ tsai tɕˈie lo,tsʌʔ tʂəŋ tʂəŋ xɑŋ tsɔ liʌʔ təŋ tʂəŋ tʂəŋ tsæ tɕˈy uɑ,vəʔ tsɔ ləʔ ɦɔ sɔ tɕˈi vaʔ,bo ho tsa ou mẽ mẽ kˈɯ,tsit bã ia koʔ tsa e sio tan tsit le tsiaʔ koʔ kˈi la,tsəʔ tsəŋ tsəŋ xai tsau təʔ lɤ təŋ iəʔ tsəŋ tsəŋ tsai tɕˈy va,pu tsɑu lə kˈuai tɕˈy pɑ,naŋ ka va tsɜ taŋ o ŋ̩ ɕi tse tsau na,tsən tsan xan tsau nie tən i xar tsai kˈɯ,ɕian tsai xan tsɔ ti ȵi tɤŋ i xa tsai tɕˈi,pu tsau liɛ kã tɕiẽ tɕˈi,ji ka tsuŋ hou tsɛ tɐŋ jɐt tsɐn sin tsi høy la,ŋan kɒ tɒ kˈuai tiẽ tɕˈie no,tsɔ xɛ tsɔ tʂɛ tə̃ j kua liɔ tsɛ tɕˈj sa
tʂei xuər xai tsɑu tʂə nə tai xuər tsai tɕˈy pa,tse xər xai tsau tən xa xər tsai tɕˈie ma,txˈɿ əu fan tɕiaŋ tɛ tɕˈi xa,vẼ tɕˈioʔ lə tsE tɕˈi hɔ pəʔ hɔ,tʂˈʅ lə fan tsai tɕˈy pa,tʂɑ̃ kə xE tsɔ xən tən iəʔ ʂɐʔ tsE tsɥ pa,tʂˈʅ tə fÃ tsæ kˈə kə iɔ tə,tɕia xɛ̃n tsɔ tʂə li tə̃n i xa lɔ tsɛ tɕˈi ʂa,kin ha han səp fun tsau ten it ha tsaŋ loi hi,tɕˈiɑʔ liɛu fan tsai tɕˈie hɑu po,tʂˈʌʔ lɔ xuɑŋ tsæ tɕˈy ɕiɑ pʌʔ ɕiɑ,ɦi ze ɦɛ tsɔ laʔ he ku tˈəʔ iɪʔ ɕiɪʔ tse tɕˈi hɸ le,tsi tsuŋ huã tsa to taŋ e tsiã lai kˈɯ,tsiaʔ pa tsiaʔ kˈi ho bo,tsˈəʔ lau fæ̃ tsai tɕˈy ɕiəŋ lau va,ɕian tsai xai tsɑu tʂə nə təŋ xuər tai tɕˈy pɑ,va tsˈɿ ɦuɔ tse tsau jyɔ dʑa a fu,tɕˈi niau fan tsai kˈɯ xau pu xau,fan tʂˈʅ liɤ tsai tɕˈi tsa mu kɤ,tʂər xai tsau tʂɤ ni təŋ i xuər tsai tɕˈi,sik tsɔ fan sin tsi høy hou ma,ko ʂʅ sʅ ɦai tsaɯ tɒ ku i kˈæ dʑi tsai tɕˈie,fã tʂˈʅ pa liɔ tsɛ tɕˈj xɔ tʂuə̃ lia
tʂˈʅ lə fan tsai tɕˈy ɕiŋ ma,tsˈɿ no fan tsai tɕˈie iau te pu,man man lɛ tsˈɿ xao pu piao tso tɕi,mẼ mẼ tɕiɔ tɕˈioʔ ʔɑ pəʔ ʔiɔ tɕiəʔ sɑʔ ɦuoʔ sɑʔ,man mar tʂˈʅ piɛ tʂau tɕi,tɕˈiəʔ kʊ fæ̃ tsE tsˈɥ kˈə xɔ,mÃ tiə tʂˈʅ mA pu ɕiɔ tɕi,tʂˈʅ pa fɛ̃n lɔ tsɛ tɕˈi pfə̃n li pu,sət te fan tsaŋ hi hau mo,man man tsɿ tɕˈiɑʔ hɑ pɨʔ iɛu tɕiʔ,mɑŋ ɕiE ʐʔ tʂˈʌʔ pʌʔ yŋ tʂɔ tɕiʌʔ,tɕˈiɪʔ ləʔ ve tse tɕi na nəŋ,tsiaʔ pa tsiã lai kˈɯ kˈaʔ ho,un un a tsiaʔ bian tioʔ kip,mæ̃ ɕiar tsˈəʔ pəʔ kæ̃ tsəʔ tɕiəʔ,tʂˈʅ van fan tai tɕˈy xɑu mɑ,fai huɔ ma ma zɿ naŋ tsˈɿ,man man ti tɕˈi mo tɕi,man ɕiɤ tʂˈʅ pɤ tʂuɤ tɕi,tʂˈʅ liɛ fã tsai tɕˈi tei tʂˈəŋ,man man sik a m hou kɐp,tɕˈiɒ tɒ ɸan tsai tɕˈie haɯ pu,m̃ mã ɛ tʂˈʅ pɔ tɕj sa
man mar tʂˈʅ pa pəŋ tʂɑu tɕi,man mər tsˈɿ pu iau xuaŋ,tso tɕˈi tsˈɿ iao pi tsan tɕˈi tsˈɿ xao tɛ,dzo lɑʔ tɕˈioʔ pi liəʔ lɑʔ tɕˈioʔ ʔiɔ hɔ,tsuo tʂau tʂˈʅ pˈi tʂan tʂau tʂˈʅ xau,mæ̃ xɔ tɕˈiəʔ pəʔ iɔ tʂuɐʔ tɕiəʔ,tso tə tʂˈʅ pi tʂÃ tə tʂˈʅ xɔ tiə,tɕia mɛ̃n ɕiə tʂˈʅ ʂa pu lɔ tɕi,man man ne sət m sɿ an kip,tsˈo tɑu tɕˈiɑʔ pi tɕˈi tɑu tɕˈiɑʔ hɑu ɕiɛʔ,tɕyE tiʌʔ tʂˈʌʔ pi tsɑŋ tiʌʔ tʂˈʌʔ xɔ ɕiE ʐʌʔ,me me tɕiɔ tɕiɪʔ vəʔ iɔ tɕiɪʔ,kˈuã nĩ tsiaʔ mãi kiŋ tsiaŋ,tse te tsiaʔ pˈin kˈia te tsiaʔ kˈa ho se,tsuɤ təʔ tsˈəʔ pi tsæ̃ təʔ tsˈəʔ xau ɕiar,mar mar tʂˈʅ pɑ pie tʂɑu tɕi,zo ta tsˈɿ pei ge ta tsˈɿ hɜ le,tsuo tau tɕˈi pi tsan tau tɕˈi xau ɕie,tsuɤ ti tʂˈʅ kan tsan ti tʂˈʅ xɔ,mã mar tʂˈʅ pau tʂau tɕi,tsˈɔ tsy sik hou kwɔ kˈei tsy sik,man tiẽ tɕˈiɒ mo tʂˈo tɕi,tsu xa liɔ tʂˈʅ xɔ pj tsã tʂɔ tʂˈʅ xɔ ɛ ɕi
tsuo tʂə tʂˈʅ pi tʂan tʂə tʂˈʅ xau tiar,tso tau tɕˈi tsˈɿ pi tsan tau tɕˈi tsˈɿxau ɕi,la tsˈɿ ao fan əu li tsˈɿ ao fan pu tɛ ɛ,tˈɑ vẼ tɕˈioʔ ku tə ni vẼ ʔiø pəʔ ʔiø tɕˈioʔ ku,tˈa tʂˈʅ fan lə ni tʂˈʅ fan lə mei iou,tsʊ tɔ tɕˈiəʔ pɿ tʂæ̃ tɔ tɕˈiəʔ xɔ sɿ,tˈə tʂˈʅ tə fÃ lə ni kə tʂˈʅ tə lə,tsuə xa lɔ tʂˈʅ pi tʂɛ̃n tʂə tʂˈʅ xɔ ɕiə ɯ,tsˈo ten loi sət pi kˈi ten loi sət kuo hau,tɕie tɕˈiɑʔ liɛu fan ko n̩ tɕˈiɑʔ liɛu fan po,uʌʔ tɕiɑ tʂˈʌʔ lɔ xuɑŋ lɑ n̩ tʂˈʌʔ lɔ xuɑŋ lɑ mʌʔ lɑ,zu laʔ he tɕˈiɪʔ pi li laʔ he tɕˈiɪʔ hɔ iɪʔ ŋe,tso paŋ ko tsiaʔ ho kue kˈia paŋ ko tsiaʔ,i tsiaʔ pa lo li tsiaʔ pŋ̩ be,tˈa tsˈəʔ lau fæ̃ lie ni tsˈəʔ lie məʔ la,tsuo tʂə tʂˈʅ pi tsan tʂə tʂˈʅ xɑu,gi va tsˈɿ ɦuɔ ba ȵi tsˈɿ ɦuɔ ba mei a,tˈa tɕˈi niau fan niau ni tɕˈi niau mau,tˈa tʂˈʅ liɤ fan liɤ ȵi fan tʂˈʅ liɤ mɤ iɤu,tsuo xa tʂˈʅ pi li xa tʂˈʅ su fu,kˈøy sik tsɔ fan lak nei sik tsɔ fan mei nɛ,dzo tɒ tɕˈiɒ pi tsan tɒ tɕˈiɒ haɯ sie,tɕia fã tʂˈʅ pa liɔ ȵi tʂˈʅ liɔ mɔ
tˈa tʂˈʅ lə fan lə ni tʂˈʅ mei tsˈʅ,tˈa tsˈɿ no fan no ȵi tsˈɿ no fan mei iəu,la kˈi ko saŋ xai ŋo mei tɛ tɕˈi ko,tˈɑ zɑŋ hE tɕˈi ku tə ŋo ɦɑ məʔ ʔiø tɕˈi ku,tˈa tɕˈy kuo ʂaŋ xai uo mei tɕˈy kuo,tˈa tɕˈiəʔ kʊ fæ̃ lə li kˈə tɕˈiəʔ kʊ tʂə,tˈə kˈə ko ʂÃ xæ o məu kˈə ko,tˈa tʂˈʅ lɔ fɛ̃n lɔ ȵi tʂˈʅ lɔ m̩ iou,ki sət le fan ne n sət le fan mo a,tɕie tɕˈie kuo sɔŋ hai ŋo mɑu tɕˈie kuo,uʌʔ tɕiɑ tɕˈy kuei ʂɑŋ xæ ŋiE mʌʔ lɑ tɕˈy kuei,ɦi ve tɕˈiɪʔ ku ləʔ noŋ ve tɕˈiɪʔ ku vaʔ,i tsiaʔ ho ou lɯ tsiaʔ ho bue,i kˈi kue sioŋ hai gua bo kˈi kue,tˈa tɕˈy kuɤ sɒ̃ xai ɣɤ məʔ la tɕˈy kuɤ,tˈɑ tʂˈʅ van fan lə ni tʂˈʅ fan lə mei iou,gi ji he tsau ku ba ŋ̩ nau tsau ku,tˈa kˈɯ kuo saŋ xai ŋuo mau kˈɯ kuo,tˈa tɕˈi kuɤ ʂɑŋ xai vɤ mɤ tɕˈi kuɤ,tˈa tʂˈʅ liɛ ni tʂˈʅ liɛ mo,kˈøy høy kwɔ sœŋ hɔi ŋɔ mei høy kwɔ,tˈɒ tɕˈiɒ kɒ ɸan tɒ ȵi tɕˈiɒ kɒ ɸan maɯ,tɕia ʂɔ̃ xɛ tɕˈj ku nɔ xɛ mɔ tɕˈj ku
tˈa tɕˈy kuo ʂɑŋ xai uo mei tɕˈy kuo,tˈa tɕˈie ko saŋ xai ŋo mei tɕˈie ko,lai uen xa kˈan tsɿ to xua ɕiaŋ pu ɕiaŋ,lE ven ven kˈE kəʔ to huɑ əl ɕiɑŋ pəʔ ɕiɑŋ,lai uən uən tʂei tˈuo xuar ɕiaŋ pu ɕiaŋ,tˈa tɔ kʊ ʂɑ̃ xE ʊ mɐʔ iɯ tɔ kʊ,læ uə̃ uə̃ tʂʅ to xuA kə ɕiÃ,la tsou luə ʂɑ̃ xɛ və m̩ iou tɕˈi kuə,ki hi kuo soŋ hoi ŋai m̩ tˈien hi kuo,lai ɕiuŋ ŋɑ kˈɵn kei to fɑ ɕiɔŋ po,n̩ læ uŋ uŋ tsʌʔ tuei xuɑ ɕiɑŋ pʌʔ ɕiɑŋ,ɦi zɑ̃ he tɕˈi ku ləʔ ŋo ɦm̩ məʔ tɕˈi ku,i kˈɯ kue siaŋ hai ua bo kˈɯ kue,lai pˈi kˈuã tsit lui hue u pˈaŋ bo,lai vəŋ vəŋ tsai xua ɕiɒ̃ pəʔ ɕiɒ̃,tˈɑ tɕˈy kuo ʂɑŋ xai uo mei tɕˈy kuo,tsau le hoŋ tsˈɿ ki to ho ɕi a fu,nai uən xa nɤ tuo xua ɕiaŋ pu ɕiaŋ,kuɤ lai vɤŋ i xa tsei kɤ xuer ɕiɑŋ pu ɕiɑŋ,tˈa tɕˈi kuo ʂaŋ xai ŋɤ mo tɕˈi kuo,lɐi mɐn ha nei tœ fa hœŋ m hœŋ,tˈɒ taɯ ku ʂɔn hai ŋo maɯ taɯ ku,ȵi ku lɛ uə̃ ɛ kɔ tʂʅ j tu xua ɛ ɕiɔ tʂɔ mã mɔ ɕiɔ tʂɔ
lai uən uən tʂei tuo xuar ɕiɑŋ pu ɕiɑŋ,nai uən xa tsɿ tse to xua ɕiaŋ pu ɕiaŋ,la i pen su ken ŋo,pəʔ ŋo ʔiəʔ pen sɥ,kei uo i pər ʂu,lE uən uən ti tʊ xua kˈə ɕiɑ̃,kə o i pə̃ ʂu,tɕia ȵi və̃n kɯ xa tʂʅ kə xua ɯ ɕiɑ̃ pu ɕiɑ̃,n̩ loi pˈi it ha e to fa hioŋ mo,lɑʔ ŋo iʔ pɨn ɕy,tɕy ŋiE iʌʔ pəŋ sɥ,le məŋ məŋ kˈø gəʔ tu ho ɕiã vaʔ,lai pˈĩ tˈõi tsi pˈau hue kˈaʔ oi pˈaŋ,ho gua tsit pun tsu,kei ɣɤ iəʔ pəŋ su,lai vən vən tɕie tuor xuɑr ɕiɑŋ pu ɕiɑŋ,sɿ ha paŋ ŋ̩,pa pən ɕy ŋuo,kuɤ i ʂʅ mɤ fu,ni vẽ i xa tʂˈɤ xua tsˈuã pu tsˈuã,pei pun sy ŋɔ,nai uən i ɦɒ ko to huɒ sian pu,kɨ nɔ kɨ j pə̃ ɛ fv̩
