beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tɕiər,tɕin tˈian,tɕin tˈian,ken tsɔ,tɕin tˈian,tɕiE kə,tɕĩ ə ʐʅ,tɕĩn kə,kim ŋit,tɕin ȵiʔ,tɕiŋ ʐʌʔ,tɕiŋ tsɔ,kim zik,kin lã lit,tɕiəŋ zəɿ,tɕiər kə,ke ne,tɕin ɯ,tɕiŋ tˈian,tɕiər,kɐm jɐt,tɕin i tsɿ,tɕiə̃ ɛ
li pai tˈian,ɕin tɕˈi tˈian,ɕin tɕˈi tˈian,li pE tˈiẼ,li pai tˈian,ɕin tsˈɿ tˈiɪ̃,ɕĩ tɕˈi,ɕĩn tɕˈi,sen kˈi ŋit,li pai,li pæ ʐʌʔ,li pa tˈi,tsˈẽ kˈi zik,le pai lit,li pai,li pai,lei pa ne,ɕin tɕˈi tˈiɛn,ɕiŋ tɕˈi tˈian,ɕiŋ tɕˈi,siŋ kˈei jɐt,sin dʑi i,ɕiə̃ tɕˈj ʐʅ
mai tsɿ,me tsɿ,mɛ tsɿ,mɑʔ tsɿ,mai tsɿ,mɐʔ tsə,mə tsɿ,mə tsɿ,mak e,mɑʔ tsɿ,miʌʔ tsʌʔ,maʔ tsɿ,beʔ,beʔ a,mieʔ tsəʔ,mai tsɿ,ma,mɤ tsɿ,mei tsɿ,mei,mɐk,mai tsɿ,mɨ tsɿ
ta mi,mi,ta mi,mẼ mi,ta mi,mɿ,mi,ta mi,mi,mi,tɑ mi,du mi,tiu,bi,tˈau tsəʔ,tɑ mi,mei,mi,ta mi,ta mi,wɔ,dai mi,ta mj
tsˈan tou,fu təu,fu təu,dzẼ dei əl,tsˈan tou,tsˈæ̃ tɯ,tsˈÃ təu,ta tou,fu tˈeu,tsˈɵn tˈɛu,tɑ təu,ɦø dɤ,piaŋ tau,tsˈan tau,ta təu,tsˈan tou,va dɤu,tsˈan təu,ta tɤu,tsˈã tou,tsˈam tɐu,uan dəɯ,ta tɯ
ɕiaŋ ʐʅ kˈuei,ɕiaŋ zɿ kˈuei,kˈuei xua,gui huɑ,ta kˈuei xua,kˈue xua,tʂˈɔ iÃ pĩ,ɕiɑ̃ ʐʅ kˈuei,hioŋ ŋit kˈui,kˈui fɑ,tʂˈɔ iɑŋ xuɑ,ɕiã zəʔ gue,hiaŋ zik kˈui,hiɔŋ iɔŋ hue,kˈuei xua,tʂuan lian,tˈa ji vai ho,kˈuei xua,kˈuei xua,ɕiaŋr kˈuei,hœŋ jɐt kˈwɐi,tɕyẽ i niẽ,ɕiɔ̃ ʐʅ kˈuɨ
po tsˈai,po tsˈai,po tsˈai,po tsˈE,pɤ tsˈai,pʊ tsˈE,po tsˈæ,lu pə tsˈɛ,kok tsˈoi ie,po tsˈai,tsˈei tsˈæ,pu tsˈe,pue leŋ,po lin a tsˈai,tɕˈi tsˈai,po tsˈai,pa laŋ tsˈe,po tsˈai,pɤ tsˈai,po tsˈai,pɔ tsˈɔi,po tsˈai,pɔ tsˈɛ
iɑŋ pai tsˈai,tɕyan ɕin pe,ko ɕin pɛ,pɔ ɕin tsˈE,ta tˈou tsˈai,pɔ tˈɯ tsˈE,liɛ̃ xuA pə,liɛ̃n xua tsˈɛ,pau tsˈoi,pɑu tsˈai,xuæ tsʌʔ pæ,tɕyø ɕiŋ tsˈe,ko le,kŋ̩ sim tsˈai,xuei tsəʔ pai,iɑŋ pai tsˈai,dʑau tsˈe,tɕyɛn ɕin tsˈai,lian xua pei,liã xua pei,jɛ tsˈɔi,paɯ tsˈai,tɕyã ɕiə pɨ tsˈɛ
ɕi xuŋ ʂʅ,fan tɕˈie,mao la ko,fẼ dʑiɑ,ʂʅ tsɿ,iɑ̃ sɿ tsə,fÃ tɕˈiɛ,iɑ̃ ʂʅ tsɿ,fan kˈio e,fan tɕˈiɑ,iɑŋ sɿ tsʌʔ,fe ga,huaŋ kio,tˈa bã to,ɕi fæ̃ sɿ,xuo sɿ tsə,fa ga,fan tɕˈie,iɑŋ sɿ tsɿ,iaŋ sɿ tsɿ,fan kˈɛ,si ɦən sɿ,iɔ̃ sɿ tsɿ
tɕˈiɛ tsɿ,tɕˈie tsɿ,tɕˈiɛ tsɿ,dʑi əl,tɕˈiɛ tsɿ,tɕˈye tsə,tɕˈiɛ tsɿ,tɕˈiə tsɿ,tiau tsˈoi ie,tɕˈiɑ tsɿ,tɕiE tsʌʔ,loʔ su,kio,kio,tɕˈie tsəʔ,tɕˈie tsə,dzɿ ŋ̩,tɕˈie tsɿ,tɕˈiɤ tsɿ,tɕˈiɛ tsɿ,ɐi kwa,dʑyɒ tsɿ,tɕˈi tsɿ
pai ʂu,xoŋ sau,fan su,fẼ dzɥ,ti kua,zɥ tˈɯ,pə tʂˈu,xũn ʂɔ,fan su,lo pˈo ɕy,xuŋ sɥ,se ɦy,huaŋ tsɯ,han tsi,xuəŋ su,san y,fa zei,sau,xuŋ fu,xuŋ ʂau,fan sy,tɕio pan ɕy,xuə̃ fv̩
tˈu tour,iaŋ y,iaŋ i,ɦiɑŋ fẼ dzɥ,tˈu tour,ma lin tʂˈu,iÃ i,iɑ̃ y,ma laŋ su,iɔŋ y tˈɛu,sɑŋ iʌʔ tɑŋ,ɦiã se ɦy,ho laŋ tsɯ,bã liŋ tsi,sæ̃ iəʔ tæ̃,tˈu tour,fa naŋ vu,tˈəu təu,iɑŋ y,iaŋ y,sy tsɐi,ian y dəɯ,iɔ̃ y
nan kuə,nan kua,lan kua,nẼ kuɑ,uo kua,læ̃ kua,mə kuA,lɛ̃n kua,tuŋ kua,pɛʔ kuɑ,nɑŋ kuɑ,ve ko,huŋ kue,kim kue,næ̃ kua,uo kuɑ,tɕaŋ ko,nan kua,xu lu,uo kua,nam kwa,nan kuɒ,nã kua
tʂu,tsu,tsu,tsɥ,tʂu,tʂu,tʂu,pfu,tsu ve,tɕy,tsɥ ʐʌʔ,tsɿ lu,tɯ,ti,tsu,tʂu,tsei,tɕy,tʂu,pfu,tsy,tɕy,tʂv̩
kuŋ tʂu,tɕyo tsu,ia tsu,koŋ tsɥ,pˈau lan tsɿ,kəŋ tʂu,iA tʂu,ia pfu,tsu ko,tɕy ku li,ȵiɑ ʐʌʔ,tsɿ lɑ̃,tɯ ko,ti kaŋ,kuəŋ tsu,kuŋ tʂu,joŋ ke tsei,koŋ tɕy,kuŋ tʂu,ia pfu,tsy kuŋ,tɕio tɕy tsɿ,ia tʂv̩
mu tʂu,mu tsu,tsˈao tsu,mu tsɥ,mu tʂu,məŋ tʂu,mu tʂu,mu pfu,tsu ma,tɕy pˈo,mu ʐʌʔ,lɔ m̩ tsɿ,tɯ bo,ti bu,mu tsu,mu tʂu,tsˈɜ ke tsei,moŋ tɕy,mu tʂu,mu pfu,tsy na,tɕy bo tsɿ,mv̩ tʂv̩
kuŋ tɕi,tɕi koŋ,koŋ tɕi,ɦioŋ tɕi,kuŋ tɕi,kəŋ tsɿ,koŋ tɕi,kũn tɕi,ke kuŋ,tɕi kuŋ,kuŋ tɕi,ɦioŋ tɕi,koi aŋ,ke kaŋ,kuəŋ tɕi,kuŋ tɕi,joŋ tsɿ,tɕi koŋ,kuŋ tɕi,kuŋ tɕi,kɐi kuŋ,tɕiaɯ tɕi,kuə̃ tɕj
mu tɕi,tɕi pˈo,tsɿ tɕi,bo tɕi,mu tɕi,məŋ tsɿ,mu tɕi,mu tɕi,ke ma,tɕi pˈo,tsˈɔ tɕi,tsˈɿ tɕi,koi bo,ke bu,tsˈau tɕi,mu tɕi,tsˈɜ tsɿ,tɕi moŋ,mu tɕi,mu tɕi,kɐi na,tɕi bo,mv̩ tɕj
tɕia tɕˈiɑur,ma tɕˈyər,ma tɕˈio,mɑ tɕˈiɔ əl,tɕia tɕˈiaur,ma tɕˈiɯ,ku tɕˈio,ma tɕˈiɔ ɯ,vo pit le,kan tɕˈiɔʔ tsɿ,tɕˈiɔ ʐʌʔ,mo tɕˈiaʔ,muã tsiauʔ,tsˈiʔ tsiau a,tɕˈyar,tɕiɑ tɕˈiɑur,tɕi ŋ̩,ma tɕˈio,ma tɕˈyɤ tsɿ,tɕˈiaur,ma tsœk,mɒ tsˈio tsɿ,tɕˈiɔ ɛ
xɑu tsɿ,xau tsɿ,xao tsɿ,lɔ tsˈɥ,xau tsɿ,lɔ tʂˈuə,lɔ tʂˈu,lɔ pfˈu tsɿ,lau tsˈu ve,lau ɕy,ku ʐʌʔ,lɔ zoŋ,ŋiãu tsˈɯ,liau tsˈi,ku ər,lɑu ʂu,lɜ tsˈei,nau ɕy,lɔ tʂˈu,lau fu,lou sy,naɯ ɕy tsɿ,lɔ fv̩
tʂˈou tʂˈuŋ,tsˈəu tsoŋ,tsˈəu tsˈoŋ,tsˈei dzoŋ,tʂˈou tʂˈuŋ,tʂˈɯ tʂˈəŋ,pi sə,pi ʂə,kon pˈi,tsˈɨu tsˈuŋ,piʌʔ ʂʌʔ,tsˈɤ zoŋ,bak sak,baʔ sat,piəʔ səʔ,tʂˈou tsˈuŋ,kuɔ sai,tsˈəu tsˈoŋ,tʂˈɤu sei,tʂˈou sei,muk sɐt,tʂˈəɯ dʐən,tʂˈɯ sɨ
fɑŋ tsɿ,faŋ tsɿ,faŋ tsɿ,vɑŋ tsɿ,faŋ tsɿ,tsɐʔ tsə,fÃ tsɿ,fɑ̃ tsɿ,vuk e,uʔ,xuə tsʌʔ,vɑ̃ tsɿ,tsˈu,tsˈu,fɒ̃ tsəʔ,fɑŋ tsɿ,vu duɔ,faŋ tsɿ,fɑŋ tsɿ,faŋ,uk,u,fɔ̃ tsɿ
u tsɿ,u tsɿ,faŋ kan,vɑŋ tɕiẼ,u tsɿ,fɑ̃ tɕɪ̃,fÃ tɕiɛ̃,fɑ̃ tsɿ,kian ne,fɔŋ,xuə tsʌʔ,vɑ̃ ke,paŋ,paŋ kiŋ,tɕia,u tsɿ,ɦuɔ ka,faŋ kan,fɑŋ tsɿ,faŋ tsɿ,fɔŋ kan,ɸɔn kan,tˈɔ tɕiã
