beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
mut͡ɕi,t͡ɕipʰo,t͡sɹ̩t͡ɕi,bot͡ɕi,mut͡ɕi,məŋt͡sɹ̩,mut͡ɕi,mut͡ɕi,kema,t͡sʰɔt͡ɕi,t͡sʰɹ̩t͡ɕi,koibo,kebu,t͡sʰaut͡ɕi,mut͡ɕi,t͡sʰɜt͡sɹ̩,t͡ɕimoŋ,mut͡ɕi,mut͡ɕi,kɐina,t͡ɕibo,mv̩t͡ɕj
t͡ɕiat͡ɕʰiɑur,mat͡ɕʰyər,mat͡ɕʰio,mɑt͡ɕʰiɔəl,t͡ɕiat͡ɕʰiaur,mat͡ɕʰiɯ,kut͡ɕʰio,mat͡ɕʰiɔɯ,vopitle,t͡ɕʰiɔʐʌʔ,mot͡ɕʰiaʔ,muãt͡siauʔ,t͡sʰiʔt͡siaua,t͡ɕʰyar,t͡ɕiɑt͡ɕʰiɑur,t͡ɕiŋ̩,mat͡ɕʰio,mat͡ɕʰyɤt͡sɹ̩,t͡ɕʰiaur,mat͡sœk,mɒt͡sʰiot͡sɹ̩,t͡ɕʰiɔɛ
xɑut͡sɹ̩,xaut͡sɹ̩,xaot͡sɹ̩,lɔt͡sʰɥ,xaut͡sɹ̩,lɔtʂʰuə,lɔtʂʰu,lɔpfʰut͡sɹ̩,laut͡sʰuve,kuʐʌʔ,lɔzoŋ,ŋiãut͡sʰɯ,liaut͡sʰi,kuər,lɑuʂu,lɜt͡sʰei,nauɕy,lɔtʂʰu,laufu,lousy,naɯɕyt͡sɹ̩,lɔfv̩
tʂʰoutʂʰuŋ,t͡sʰəut͡soŋ,t͡sʰəut͡sʰoŋ,t͡sʰeidzoŋ,tʂʰoutʂʰuŋ,tʂʰɯtʂʰəŋ,pisə,piʂə,konpʰi,piʌʔʂʌʔ,t͡sʰɤzoŋ,baksak,baʔsat,piəʔsəʔ,tʂʰout͡sʰuŋ,kuɔsai,t͡sʰəut͡sʰoŋ,tʂʰɤusei,tʂʰousei,muksɐt,tʂʰəɯdʐən,tʂʰɯsɨ
fɑŋt͡sɹ̩,faŋt͡sɹ̩,faŋt͡sɹ̩,vɑŋt͡sɹ̩,faŋt͡sɹ̩,t͡sɐʔt͡sə,fÃt͡sɹ̩,fɑ̃t͡sɹ̩,vuke,xuət͡sʌʔ,vɑ̃t͡sɹ̩,t͡sʰu,t͡sʰu,fɒ̃t͡səʔ,fɑŋt͡sɹ̩,vuduɔ,faŋt͡sɹ̩,fɑŋt͡sɹ̩,faŋ,uk,u,fɔ̃t͡sɹ̩
ut͡sɹ̩,ut͡sɹ̩,faŋkan,vɑŋt͡ɕiɤ̃,ut͡sɹ̩,fɑ̃t͡ɕɪ̃,fÃt͡ɕiɛ̃,fɑ̃t͡sɹ̩,kianne,xuət͡sʌʔ,vɑ̃ke,paŋ,paŋkiŋ,t͡ɕia,ut͡sɹ̩,ɦuɔka,faŋkan,fɑŋt͡sɹ̩,faŋt͡sɹ̩,fɔŋkan,ɸɔnkan,tʰɔt͡ɕiã
tʂʰuɑŋxu,t͡sʰuaŋt͡sɹ̩,t͡sʰuaŋt͡sɹ̩,t͡sʰɥɑŋmen,tʂʰuaŋxu,tʂʰuɑ̃t͡sə,tʂʰuÃxoŋ,pfʰɑ̃t͡sɹ̩,t͡sʰuŋŋe,suət͡sʌʔ,t͡sʰɑ̃məŋ,tʰeŋ,tʰaŋa,t͡sʰuɒ̃xu,t͡sʰuɑŋxu,t͡ɕʰyɔ,t͡sʰuaŋt͡sɹ̩,tʂʰuɑŋxu,pfʰaŋt͡sɹ̩,t͡sʰœŋ,tʂʰɔnt͡sɹ̩,tʂʰuɔ̃t͡sɹ̩
mənkʰar,mənkʰan,menkʰan,menkʰɤ̃,mənkʰar,mənkʰæ̃,mə̃kʰÃ,mə̃nkʰɛ̃n,mumton,məŋɕiɤɕiɤ,məŋkʰe,muŋtõi,hotiŋ,məŋɕieɕie,mənkʰar,maŋkʰa,mənkʰan,mɤŋkʰan,mẽkʰã,munhɐm,mənkʰan,mə̃kʰã
t͡sʰɤsuo,maufaŋ,t͡sʰɛso,mɔkʰɑŋ,maulour,mɔt͡sʰɹ̩,mɔsɹ̩,mɔsɹ̩,sɹ̩kau,mɔt͡sʌʔ,modoŋke,t͡sʰeso,pienso,maufɒ̃,mɑusou,muɔkʰiɛ,mausɹ̩,mɔfɑŋ,maut͡sɹ̩,t͡sʰisɔ,maɯsɹ̩u,mɔsɹ̩
tʂʰufɑŋ,t͡sʰufaŋ,t͡sʰufaŋ,dzɥvɑŋ,tʂʰufaŋ,kʊt͡ɕiɪ̃,t͡sɔfÃ,pfʰufɑ̃,t͡sʰufoŋha,t͡sɥxuə,t͡sɔpʰike,toupaŋ,tupaŋ,t͡sʰufɒ̃,tʂʰufɑŋ,ɦot͡sɜka,t͡sʰyfaŋ,tʂʰufɑŋ,pfʰufaŋ,t͡sʰøyfɔŋ,t͡saɯu,tʂʰv̩fɔ̃
iantʰuŋ,iant͡sʰoŋ,iant͡sʰoŋ,ʔiɤ̃t͡sʰoŋ,iantʰuŋ,iɪ̃ləŋ,iɛ̃t͡sʰoŋ,iɛ̃ntʰũn,ianham,iɤtʰuʌʔ,it͡sʰoŋ,iŋtaŋ,ientaŋ,ietuəŋ,iantʰuŋ,jit͡ɕʰoŋ,iɛntʰoŋ,iantʰuŋ,iãtʰuŋ,jintʰuŋ,iẽdən,iãtuə̃
tʂuot͡sɹ̩,t͡sot͡sɹ̩,t͡sot͡sɹ̩,t͡soʔt͡sɹ̩,tʂuot͡sɹ̩,tʂuɐʔt͡sə,tʂot͡sɹ̩,pfət͡sɹ̩,t͡soke,t͡suʌʔt͡sʌʔ,det͡sɹ̩,t͡sʰɯŋ,toʔa,t͡suaʔt͡səʔ,t͡suot͡sɹ̩,t͡ɕo,t͡suot͡sɹ̩,tʂuɤt͡sɹ̩,pfot͡sɹ̩,tʰɔi,t͡sot͡sɹ̩,tʂut͡sɹ̩
loutʰi,nəutʰi,ləutʰi,ɦutʰi,loutʰi,lɯt͡sʰɹ̩,ləutʰi,louxutʰi,tʰoipʰai,ləutʰi,ɦutʰi,lautʰui,lautʰui,ləutʰi,loutʰiər,t͡ɕolautʰei,nəutʰi,lɤutʰi,loutʰi,lɐutʰɐi,nəɯtʰi,lv̩t͡sʰɹ̩
nɑutai,tʰəu,laokʰo,dei,tʰou,tʰɯ,nɔkʰo,tʰou,tʰeu,tʌʔlɔ,dɤ,tʰau,tʰau,təʔnau,nɑutai,dɤu,tʰəu,tʰɤu,tʰou,tʰɐu,naɯkʰo,tʰɯ
nɑumər,ŋenəu,ŋɛləu,ŋɑʔkoʔdei,pərlou,ʐɐʔlɔtʰɯ,nɔmə̃,pə̃nlu,ŋiak,pəŋtəu,ŋaʔkoʔdɤ,hiaʔ,hiaʔtʰau,pəŋləu,ieliŋkar,ŋadɤu,ŋɤtʰəu,pɤŋlɤu,ŋeilou,ŋaktʰɐu,naɯmən,nə̃mv̩tʰɯ
lian,nian,lian,liɤ̃kʰoŋ,lian,liɪ̃,liɛ̃,liɛ̃npʰɛ̃nt͡sɹ̩,mien,liɤ,mikʰoŋ,miŋ,bin,minie,lian,mi,niɛn,lian,liã,min,niẽkuai,liã
pit͡sɹ̩,pit͡sɹ̩,pit͡sɹ̩,bɑʔdei,pit͡sɹ̩,piəʔt͡sə,pit͡sɹ̩,pikəta,pʰikuŋ,piʌʔt͡sʌʔ,biɪʔdɤ,pʰĩ,pʰĩ,piəʔt͡səʔ,pit͡sɹ̩,beidɤu,pit͡sɹ̩,pit͡sɹ̩,pit͡sɹ̩,peikɔ,pʰidən,pjt͡sɹ̩
pokə̃r,t͡ɕint͡sɹ̩,t͡ɕiaŋken,deit͡ɕin,pɤt͡sɹ̩,lɔt͡ɕinpa,pot͡sɹ̩,pət͡sɹ̩,kiaŋkin,pʌʔt͡sʌʔ,dɤt͡ɕiŋ,am,amkun,paʔt͡səʔ,pot͡sɹ̩,dɤut͡ɕaŋ,t͡ɕinkʰuaŋ,pɤt͡sɹ̩,poxaŋ,kɛŋ,t͡ɕiankən,pɔpã
t͡suoʂou,t͡sosəu,t͡sosəu,t͡ɕisei,t͡suoʂou,t͡sʊʂɯ,t͡soʂəu,t͡suəʂou,t͡sosu,t͡ɕiɤʂəu,t͡susɤ,tot͡sʰiu,tot͡sʰiu,t͡suɤsəu,t͡suosou,t͡seiɕɤu,suosəu,t͡suɤʂɤu,t͡suoʂou,t͡sɔsɐu,t͡soʂəɯ,t͡suʂɯ
iouʂou,iəusəu,iəusəu,zɥensei,iouʂou,iɯʂɯ,iəuʂəu,iouʂou,iusu,tʂɻ̩ʂəu,ɦiɤsɤ,t͡siãt͡sʰiu,t͡siãt͡sʰiu,t͡səŋsəu,iousou,joŋɕɤu,iəusəu,iɤuʂɤu,iouʂou,jɐusɐu,iəɯʂəɯ,iɯʂɯ
t͡ɕʰyantʰou,tint͡sɹ̩,tint͡sɹ̩,dzɥõdei,t͡ɕʰyantʰou,t͡ɕʰyɪ̃tʰɯ,tʂʰueitʰəu,pfʰeitʰou,kʰiantʰeu,kʌʔtu,dʑyødɤ,kʰuŋtʰau,kuntʰau,kəʔtu,t͡ɕʰyɑntʰou,dʑydɤu,t͡sʰuantʰəu,tʂʰueitʰɤu,pfʰeitʰout͡sɹ̩,kʰyntʰɐu,doɕin,tʂʰuɨtʰɯ
ʂoutʂɻ̩tʰou,səut͡sɹ̩mər,t͡sɹ̩tʰəu,seit͡sɹ̩dei,ʂoutʂɹ̩tʰou,mutʂɔtʰɯ,ʂəutʂɻ̩tʰəu,tʂɻ̩tʰout͡sɹ̩,sut͡sɹ̩,tʂʌʔtəuʐʌʔ,sɤt͡ɕiɪʔdɤ,t͡sʰiut͡sõi,t͡sŋ̩tʰau,səut͡səʔtʰəu,sout͡sɹ̩tʰou,ɕɤut͡sɹ̩dʑyŋ̩,səut͡sɹ̩,ʂɤut͡sɹ̩tʰɤu,ʂout͡sɹ̩tʰou,sɐut͡sitʰɐu,ʂəɯtʂɻ̩naɯ,ʂɯt͡sɹ̩tʰɯ
tʂɻ̩t͡ɕia,t͡sɹ̩t͡ɕia,t͡sɹ̩t͡ɕia,seit͡sɹ̩kʰɑʔəl,ʂoutʂɻ̩kar,tʂəʔt͡ɕiɐʔkɤ,tʂɻ̩t͡ɕiA,tʂɻ̩t͡ɕia,sut͡sɹ̩kap,t͡sɹ̩t͡ɕiʌʔ,sɤt͡ɕiɪʔkʰaʔ,t͡sõikaʔ,t͡sŋkaʔ,t͡səʔt͡ɕiaʔ,t͡sɹ̩kait͡sə,t͡sɹ̩ka,t͡sɹ̩kakʰuo,t͡sɹ̩t͡ɕia,t͡sɹ̩t͡ɕia,t͡sikap,tʂɻ̩kɒ,t͡sɹ̩t͡ɕia
