beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʂeikəpineikəxau,t͡sekokannakoxau,t͡sɹ̩kokenpiakoxao,kəʔkoʔpinɑkoʔhɔ,tʂeikɤpʰineikɤxau,tikəpɹ̩lakəxɔ,tʂɻ̩kəpinəkəxɔ,tʂɻ̩kəkɛ̃nlɛkəxɔmɛ̃n,et͡sakpiet͡sakkuohau,t͡sʌʔxuæpiuʌʔxuæxɔ,diɪʔɦəʔpiɛɦəʔhɔ,t͡sikaihokuehɯkai,t͡sitlepihitlekʰaʔho,t͡saipivaixau,t͡seikəpineikəxɑu,kikaipeihekaihɜ,t͡sɤkuopinakuoxau,t͡seikɤkanneikɤxɔ,tʂɻ̩kɤpiukɤxau,neikɔhoukwɔkɔkɔ,kotʂopinɒtʂohaɯ,tʂɻ̩kɔpjnɛkɔxɔ
tʂeiɕiɛfɑŋt͡sɹ̩pupineiɕiɛfɑŋt͡sɹ̩xau,t͡seɕifaŋt͡sɹ̩motenaɕifaŋt͡sɹ̩xau,t͡sɹ̩ɕiɛfaŋt͡sɹ̩putɛaɕiɛfaŋt͡sɹ̩xao,kəʔɕivɑŋt͡sɹ̩ɦɑzɹ̩nɑɕivɑŋt͡sɹ̩hɔ,tʂeiɕiɛfaŋt͡sɹ̩puluneiɕiɛfaŋt͡sɹ̩xau,tisɹ̩fɑ̃t͡səpəʔt͡ɕiəʔlasɹ̩fɑ̃t͡səxɔ,tʂɻ̩ɕiɛfÃt͡sɹ̩məutənəɕiɛfÃt͡sɹ̩xɔ,tʂɻ̩ɕiəfɑ̃t͡sɹ̩m̩ioulɛɕiəfɑ̃t͡sɹ̩xɔ,eteuvukemoketeuvukeanliaŋ,t͡sʌʔɕiɤʐʌʔxuət͡sʌʔpʌʔtiuʌʔɕiɤʐʌʔxuət͡sʌʔxɔ,diɪʔŋevɑ̃t͡sɹ̩piimiiɪʔŋevãt͡sɹ̩tʰepe,t͡sit͡sʰoʔt͡sʰubohɯt͡sʰoʔt͡sʰuho,t͡siaet͡sʰubohiaet͡sʰuho,t͡səʔɕiefɒ̃t͡səʔməʔlavəʔɕiefɒ̃t͡səʔxau,t͡ɕieɕiefɑŋt͡sɹ̩puyneiɕiefɑŋt͡sɹ̩xɑu,kilevuduɔnauhelevuduɔnaŋhɜ,t͡sɤɕiefaŋt͡sɹ̩mautɤnaɕiefaŋt͡sɹ̩xau,t͡seiɕiɤfɑŋt͡sɹ̩mɤiɤuneiɕiɤfɑŋt͡sɹ̩xɔ,tʂɻ̩ɕiɛfaŋt͡sɹ̩puʂəŋuɕiɛfaŋt͡sɹ̩,neitiukpɐtjykɔtiukhou,koxieɦɔnt͡sɹ̩pupinɒsieɦɔnt͡sɹ̩haɯ,tʂɻ̩ɕifɔ̃t͡sɻ̩mɔiɯnɛɕifɔ̃t͡sɻ̩xɔ
tʰat͡ɕinniantuotasueiʂurlə,tʰat͡ɕinɲianxautasueisuno,lat͡ɕinlianxaotala,tʰɑkenɲiɤ̃t͡ɕisɥeitə,tʰat͡ɕinniantuotasueiʂulə,tʰat͡ɕinliɪ̃xɔtasesʊlə,tʰət͡ɕĩniɛ̃totAlə,tʰat͡ɕĩnɲiɛ̃ntuətalɔ,kikinŋiankitosee,uʌʔt͡ɕiɑt͡ɕiŋɲiɤteiʂɔɲiɤt͡ɕiliɑ,ɦit͡ɕiŋɲit͡ɕisøləʔ,ikimnĩzioʔt͡soihueou,ikinlĩukuihuelo,tʰat͡ɕiəŋnietɤtalie,tʰɑt͡ɕinniantuotɑlə,gikeɲikelesɹ̩a,tʰat͡ɕinniɛnt͡ɕiseiniau,tʰat͡ɕiŋɲiantuɤtaliɤ,uot͡ɕiẽniãtuoʂausueifu,kʰøykɐmninkeitaila,tʰɒt͡ɕinɲiẽhaɯtosəitɒ,t͡ɕiat͡ɕiə̃ɲiãtutasuɨfv̩liɔ
takait͡ɕʰisanʂɻ̩laisuərpa,pʰaiəusansɹ̩saŋɕiano,pʰaiəusansɹ̩laisueiləuma,mɔsɤ̃zəʔsɥeikuɑŋt͡sɑŋ,takaisanʂɻ̩laisueipa,tayɐʔmɐʔsæ̃ʂəʔuɑ̃sepa,pʰAiəusÃʂɻ̩tosueilA,tamuɯsɛ̃nʂɻ̩tuəlɔ,samsəpset͡soiu,yʌʔmʌʔiəusɑŋʂʌʔlæsueiuɑ,daiaʔsesəʔsøɦuãlivaʔ,t͡sʰamtosãt͡sapguahuenõ,takʰaiusãt͡sapkuihuia,takaisæ̃səʔlaisueiva,tɑkait͡ɕʰisanʂɻ̩laisuərpɑ,dakesazaioba,takʰaisansɹ̩tuoseipa,takaisaʂɻ̩tuɤsueiliɤpa,tamərsãʂɻ̩laisuər,jœkmɔksamsɐplɛŋsøyla,iomosanʂɹ̩t͡ɕʰytiẽdəɯpai,takʰuɔ̃mv̩ɛsãʂɻ̩lɛsuɨiɯlia
tʂeituŋɕiioutuotʂʰən,t͡sekotoŋɕiiəuxaut͡soŋ,t͡sɹ̩kotoŋɕiiəuxaot͡soŋa,t͡ɕiəʔkoʔtoŋɕitosɔdzoŋʔɑ,tʂeikɤtuŋɕiioutuotʂʰənnə,tikətəŋsɹ̩t͡səiɯxɔtʂəŋa,tʂɻ̩kətoŋɕiiəutotʂoŋ,tʂɻ̩kətũnɕiioutuəpfə̃nʂa,eketuŋsiiukit͡sʰuŋŋe,t͡sʌʔxuætuŋseiiəuteilæt͡suŋliʌʔ,gəʔt͡saʔɦməʔzɹ̩ɦiɤt͡ɕihozoŋ,t͡sikaimuẽʔuzioʔtaŋa,t͡sitlebĩʔkintaŋle,t͡saituəŋɕiiəutɤlait͡suəŋlɤ,t͡seikətuŋɕiioutuot͡suŋnə,kikaimøzɹ̩jaukeledʑyɔa,t͡sɤkuotoŋɕiiəut͡ɕit͡soŋ,t͡seikɤtuŋɕiiɤutuɤtʂuŋ,tʂɤtuŋɕiioutuopfəŋ,neikɔjɛjɐukeit͡sʰuŋnɛ,kotʂɒtənsiiəɯhaɯdʐənnie,tʂɻ̩kɔtuə̃ɕjamə̃tʂuə̃t͡sɹ̩kɔiɯlia
iouuʂɻ̩t͡ɕintʂuŋnə,iəuusɹ̩t͡ɕint͡soŋo,iəuusɹ̩t͡ɕint͡soŋlɛ,ʔiøʔuzəʔt͡ɕindzoŋlɤ,iouuʂɻ̩t͡ɕintʂʰən,iɯuʂəʔt͡ɕintʂəŋʊ,iəuuʂɻ̩t͡ɕĩt͡soŋ,xapaiouvuʂɻ̩lɛt͡ɕĩnli,iun̩səpkuokint͡sʰiŋŋo,iəuuʌʔʂʌʔt͡ɕiŋt͡suŋliʌʔ,ɦiɤtəʔŋ̩səʔt͡ɕiŋzoŋ,hiatioʔuŋõut͡sapkɯŋtaŋnõ,ugɔt͡sapkintaŋle,iəuvusəʔt͡ɕiəŋt͡suəŋlɤ,iouuʂɻ̩t͡ɕint͡suŋnə,jauŋ̩zaiot͡ɕaŋdʑyɔ,takʰaiiəuusɹ̩tuot͡ɕinpa,iɤuvuʂɻ̩t͡ɕiŋ,iouuʂɻ̩t͡ɕiẽpfəŋ,siŋŋsɐpkɐnt͡sʰuŋ,iəɯɯʂɻ̩t͡ɕindʐən,v̩ʂɻ̩t͡ɕiə̃iɯlia
natətuŋma,nautet͡ɕʰipu,latɛtoŋpu,dotəʔdoŋʔuɑ,nəŋnatuŋma,kʰəlatəŋa,kənAtətoŋ,lə̃nlatũnma,natethimo,xeituŋlɔ,netəʔdoŋvaʔ,kʰioʔoitiŋtaŋboi,tʰeʔuhuaʔbo,natuəŋalu,nɑtituŋmɑ,tødoŋafu,napunatɤtoŋ,nɤŋnatuŋma,nateituŋ,niktɐkjukma,nɒtæt͡ɕʰipu,natuə̃lia
uonatətuŋtʰanaputuŋ,ŋonautet͡ɕʰitʰanauput͡ɕʰi,ŋolatɛtoŋlalaputoŋ,ŋodotəʔdoŋtʰɑdopəʔdoŋ,uonəŋnatuŋtʰanaputuŋ,ʊlatəŋtʰalapəʔtəŋ,onAtətoŋtʰənAputoŋ,vələ̃nlatũntʰalaputũn,ŋainaatethikinam̩hi,ŋiɤxeituŋlɔuʌʔt͡ɕiɑxeipʌʔtuŋ,ŋonetəʔdoŋɦinevəʔdoŋ,uakʰioʔoitiŋtaŋikʰioʔmtiŋtaŋ,guatʰeʔuhuaʔitʰeʔbohuaʔ,ɣɤnatuəŋlautʰanapəʔtuəŋ,uonɑtituŋtʰɑnɑputuŋ,ŋ̩tødoŋgitøfudoŋ,ŋuonatɤtoŋtʰanaputoŋ,vɤnatuŋɲitʰanaputuŋ,ŋɤnəŋnatuŋtʰanaputuŋ,ŋɔniktɐkjukkʰøynikmjuk,ŋonɒtæt͡ɕʰitʰɒnɒput͡ɕʰi,nɔnatuə̃liat͡ɕianatuə̃l̩pɔ̃xɔ
tʂənput͡ɕʰiŋtʂʰəntəlianuoiɛnaputuŋ,ŋənsɹ̩put͡ɕʰinot͡soŋtenianŋotəunauput͡ɕʰi,ŋensɹ̩put͡ɕʰinlɛt͡soŋtɛlianŋotəulaputoŋ,t͡sentɑŋpəʔt͡ɕʰindzoŋtəʔliɤ̃ŋotudopəʔdoŋ,tʂənput͡ɕʰiŋtʂʰəntilianuoiɛnaputuŋ,tʂənpəʔt͡ɕʰinliɪ̃ʊtɯlapəʔtəŋ,tʂə̃kənəput͡ɕʰitʂoŋnəliɛ̃otunAputoŋ,aʂɻ̩xuaput͡ɕʰĩnlaliɛ̃nvətoulaputũnla,aiiahaut͡sʰuŋŋolienŋaiianam̩tohi,pʌʔt͡ɕʰiŋliʌʔliɤŋiɤiɤxeipʌʔtuŋ,t͡səŋvəʔt͡ɕʰiŋzoŋtəʔleliŋoɦɑnevəʔdoŋ,bohokʰiŋtaŋkauualokʰioʔmtiŋtaŋa,sitt͡saibokʰintaŋkalienguabãtʰeʔbuetintaŋ,t͡səŋpəʔt͡ɕʰiəŋt͡suəŋtəʔlieɣɤienapəʔtuəŋ,t͡sənput͡ɕʰiŋsəŋt͡suŋtiuotounɑputuŋ,dʑyɔzaŋeliŋ̩ɦatøfudoŋ,t͡sənput͡ɕʰint͡soŋtɤŋuotəunaputoŋniau,tʂuɤʂɻ̩put͡ɕʰiŋtʂuŋtilianvɤiɤnaputuŋ,tʂẽpfəŋpfəŋtiliãŋɤtounaputuŋ,t͡sɐnhɐimhɛŋt͡sʰuŋtoulinŋɔtounikmjuk,t͡səntʂənput͡ɕʰindʐəntætaɯŋotəɯnɒput͡ɕʰi,ʂɻ̩xuapv̩t͡ɕʰiə̃natʂuə̃tʂɔliãnɔanapv̩tuə̃na
niʂuotətʰiŋxɑunixainəŋʂuotiarʂəmnə,ɲisotexauxauɲixaixueisotiərsat͡sɹ̩ne,lisotɛxaotɛxenlixaixueisoɕiɛlaiaŋlɛ,nisɥəʔtəʔmɤ̃hɔniɦɑɦiosɥəʔtiɤ̃əlsɑkəʔtoŋɕi,niʂuotit͡seixaunixaixueiʂuotiarʂanə,lit͡ɕiɑ̃tiəʔxɔxənlixɤlənt͡ɕiɑ̃xɔxəŋkələ,niʂonəxə̃xɔnixæxueiʂotiənAiÃ,ɲifətixɔuaɲixɛ̃nxueifəɕiəsaʂa,n̩səpfun̩liakkoŋn̩haniumakkekoŋke,n̩suʌʔtiʌʔpʌʔlæn̩xɑŋxuæsuʌʔɕiɤʐʌʔʂəŋliʌʔ,noŋkɑ̃təʔlɔhɔɦənoŋɦɛɦuekɑ̃tisanə,lɯtãlaihoʔholɯluãupiaŋtãkekomĩʔkaibo,likɔŋkat͡sinholiehiaukɔŋsiãbĩʔ,nisuaʔtiəʔkʰaʔxaulɤnixaixueisuaʔɕiarsəŋlɤ,niʂuotitʂənxɑunixaixueiʂuotiarmɑiɑ,ɲikuɔhɜɕinaɲivavaikuɔleɲiɦɔ,nisuotɤmanxaunixainənsuotiɛnmosɹ̩,ɲifɤtit͡sant͡ɕiŋtixɤŋɲixannɤŋfɤɕiɤsaɲi,niʂɤtiliautixẽnixainəŋʂɤtiarsa,neikɔŋtɐkhouhouneit͡suŋsikkɔŋtimɐtjɛnɛ,ɲikɔntæmanhaɯɲiɦaiɕiaɯtækɔntiẽʂənmonie,ɲifɔtʂɔxv̩xɔɲixɛxuɨfɔɛɕisalia
uot͡sueipənuoʂuopukuotʰa,ŋot͡sueipapənŋot͡ɕiaŋpuintʰa,ŋolɛt͡sueipentɛxenŋosopuinla,ŋot͡sɥeipɑbenŋosɥəʔtʰɑpəʔku,uot͡sueipənuoʂuopukuotʰa,ʊt͡sepənʊt͡ɕiɑ̃pəʔkʊtʰa,onət͡sueipə̃oʂopukotʰə,vətit͡sueipə̃ntixə̃nvəfəpukuəla,ŋaiket͡soisəpfunpʰunŋaikoŋm̩kuoki,ŋiɤt͡sueipəŋŋiɤsuʌʔpʌʔkueiuʌʔt͡ɕiɑtiʌʔ,ɦokɑ̃vəʔdaleŋokɑ̃vəʔkuɦi,uaboitãueuatãsui,bot͡sʰuibot͡siʔguakɔŋbeiãi,ɣɤt͡sueipəŋɣɤsuaʔpəʔkuɤtʰa,uot͡sueipənuoʂuopukuotʰɑ,ŋ̩fuvaikuɔŋ̩kuɔgifuku,ŋuot͡seipapənsuopukuotʰa,vɤt͡sueipɤŋtixɤŋfɤpukuɤtʰa,ŋɤt͡sueipẽŋɤʂɤpukuouo,ŋɔmsikkɔŋjɛŋɔkɔŋmkwɔkʰøy,ŋot͡səipɒmoŋkɔntʰɒpuku,nɔt͡suɨtʂuɛanɔpat͡ɕiafɔpv̩ku
ʂuoləipianiouʂuoipian,sonoitauiəusoitau,soəuipianiəusoipian,sɥəʔləʔiəʔpiɤ̃ɦisɥəʔləʔiəʔpiɤ̃,ʂuoləipianiouʂuoipian,t͡ɕiɑ̃tʂəiəʔpiɪ̃iɯt͡ɕiɑ̃iəʔpiɪ̃,ʂoləipiɛ̃iəuʂoipiɛ̃,fəlɔitʂʰɛ̃nkəioufəlɔitʂʰɛ̃n,koŋŋeitt͡soniuhanoikoŋitt͡son,suʌʔlɔiʌʔpiɤiəusuʌʔiʌʔpiɤ,kɑ̃ləʔiɪʔpiɦiɤkãiɪʔpi,tãt͡sekkueliauiutãkekue,kɔŋliaut͡sitpaikoʔkɔŋt͡sitpai,suaʔlauiəʔpieiəusuaʔiəʔpie,ʂuoləipianiouʂuoipian,kuɔjipijijipi,suoniauipiɛniəuipiɛn,fɤliɤipianiɤufɤliɤipian,ʂɤliɛipiãkʰɤʂɤliɛipiã,kɔŋt͡sɔjɐtt͡sʰijɐukɔŋjɐtt͡sʰi,kɔntɒitaɯiəɯkɔnitaɯ,fɔkɨliɔjt͡sʰanakʰɔfɔliɔjt͡sʰa
nint͡saiʂuoipian,t͡ɕʰinɲit͡saisoitau,mafanlit͡saisoipianxa,t͡ɕʰinnit͡sɤsɥəʔʔiəʔpiɤ̃,t͡ɕʰiŋnit͡saiʂuoipian,t͡ɕʰinlit͡sɤt͡ɕiɑ̃iəʔpiɪ̃,t͡ɕʰĩnit͡ɕiɛt͡sæʂoipiɛ̃,t͡ɕiat͡ɕʰĩnɲit͡sʰũnfəitʂʰɛ̃n,t͡sʰiaŋn̩t͡soikoŋitt͡son,t͡ɕʰiŋn̩t͡sæsuʌʔiʌʔpiɤ,t͡ɕʰiŋnoŋt͡sekɑ̃iɪʔpi,taʰiãlɯtãkekue,t͡sʰiãlikoʔkɔŋt͡sitpai,t͡ɕʰiəŋnit͡saisuaʔiəʔpieva,t͡ɕʰiŋnitaiʂuoipian,t͡sʰeŋɲit͡sekuɔpitʰi,t͡ɕʰinnit͡saisuoipiɛn,t͡ɕʰiŋɲit͡saifɤipian,t͡ɕʰiŋnit͡saiʂɤipiã,t͡sʰɛŋneit͡sɔikɔŋjɐtt͡sʰi,t͡sʰianɲit͡saikɔnitaɯ,t͡sɔɲit͡sɛfɔjt͡sʰa
put͡sɑuləmaliərt͡ɕʰypa,put͡saunokʰuaitiərt͡ɕʰie,put͡saoəukʰuaitait͡ɕʰiləu,pəʔt͡sɔtəɦɔsɔt͡ɕʰiʔiɑ,pit͡sauləkʰuait͡ɕʰypa,pəʔt͡sɔləkʰuɤxɔt͡sʰɥpa,put͡sɔləkʰuætiəkʰə,put͡sɔlɔkʰuɛɕiət͡ɕʰiʂa,m̩t͡sauvekʰuaititloihi,pʌʔt͡sɔlɑkʰuæɕiɤʐʌʔt͡ɕʰyuɑ,vəʔt͡sɔləʔɦɔsɔt͡ɕʰivaʔ,bohot͡saoumẽmẽkʰɯ,bot͡salokinkʰio,pəʔt͡sauliekʰuait͡ɕʰyva,put͡sɑuləkʰuait͡ɕʰypɑ,dzɹ̩ɦuɔbakʰalet͡sau,put͡sauniaukʰuaitʰiərkʰɯpa,put͡sɔliɤkant͡ɕiŋt͡ɕʰipa,put͡sauliɛkãt͡ɕiẽt͡ɕʰi,houanlafaitihøyla,ŋankɒtɒkʰuaitiẽt͡ɕʰieno,t͡sʰɹ̩liɔt͡sɔkãt͡ɕiə̃t͡ɕʰjpa
tʂeixuərxait͡sɑutʂənətaixuərt͡sait͡ɕʰypa,t͡sexərxait͡sautənxaxərt͡sait͡ɕʰiema,t͡sɹ̩xaxait͡saotɛxenlɛtenixat͡sait͡ɕʰima,kəʔmɔɦɑt͡sɔlɤtenʔiəʔɕiəʔəlt͡sɤt͡ɕʰihɔtəʔ,ɕiant͡saixait͡sautixɤrnətəŋxuərt͡sait͡ɕʰypa,tʂɑ̃kəxɤt͡sɔxəntəniəʔʂɐʔt͡sɤt͡sɥpa,tʂɻ̩xAxæt͡sɔnətə̃xAt͡sækʰə,t͡ɕiaxɛ̃nt͡sɔtʂəlitə̃nixalɔt͡sɛt͡ɕʰiʂa,kinhahansəpfunt͡sautenithat͡saŋloihi,t͡sʌʔtʂəŋtʂəŋxɑŋt͡sɔliʌʔtəŋtʂəŋtʂəŋt͡sæt͡ɕʰyuɑ,ɦizeɦɛt͡sɔlaʔhekutʰəʔiɪʔɕiɪʔt͡set͡ɕʰihɸle,t͡sit͡suŋhuãt͡satotaŋet͡siãlaikʰɯ,t͡sitbãiakoʔt͡saesiotant͡sitlet͡siaʔkoʔkʰila,t͡səʔt͡səŋt͡səŋxait͡sautəʔlɤtəŋiəʔt͡səŋt͡səŋt͡sait͡ɕʰyva,ɕiant͡saixait͡sɑutʂənətəŋxuərtait͡ɕʰypɑ,naŋkavat͡sɜtaŋoŋ̩ɕit͡set͡sauna,t͡sənt͡sanxant͡saunietənixart͡saikʰɯ,ɕiant͡saixant͡sɔtiɲitɤŋixat͡sait͡ɕʰi,tʂərxait͡sautʂɤnitəŋixuərt͡sait͡ɕʰi,jikat͡suŋhout͡sɛtɐŋjɐtt͡sɐnsint͡sihøyla,koʂɻ̩sɻ̩ɦait͡saɯtɒkuikʰædʑit͡sait͡ɕʰie,t͡sɔxɛt͡sɔtʂɛtə̃jkualiɔt͡sɛt͡ɕʰjsa
tʂʰɻ̩ləfant͡sait͡ɕʰyɕiŋma,t͡sʰɹ̩nofant͡sait͡ɕʰieiautepu,txʰɹ̩əufant͡ɕiaŋtɛt͡ɕʰixa,vɤ̃t͡ɕʰioʔlət͡sɤt͡ɕʰihɔpəʔhɔ,tʂʰɻ̩ləfant͡sait͡ɕʰypa,t͡ɕʰiəʔkʊfæ̃t͡sɤt͡sʰɥkʰəxɔ,tʂʰɻ̩təfÃt͡sækʰəkəiɔtə,tʂʰɻ̩pafɛ̃nlɔt͡sɛt͡ɕʰipfə̃nlipu,səttefant͡saŋhihaumo,tʂʰʌʔlɔxuɑŋt͡sæt͡ɕʰyɕiɑpʌʔɕiɑ,t͡ɕʰiɪʔləʔvet͡set͡ɕinanəŋ,t͡siaʔpat͡siãlaikʰɯkʰaʔho,t͡siaʔpat͡siaʔkʰihobo,t͡sʰəʔlaufæ̃t͡sait͡ɕʰyɕiəŋlauva,tʂʰɻ̩vanfantait͡ɕʰyxɑumɑ,vat͡sʰɹ̩ɦuɔt͡set͡saujyɔdʑaafu,t͡ɕʰiniaufant͡saikʰɯxaupuxau,fantʂʰɻ̩liɤt͡sait͡ɕʰit͡samukɤ,tʂʰɻ̩liɛfãt͡sait͡ɕʰiteitʂʰəŋ,sikt͡sɔfansint͡sihøyhouma,t͡ɕʰiɒtɒɸant͡sait͡ɕʰiehaɯpu,fãtʂʰɻ̩paliɔt͡sɛt͡ɕʰjxɔtʂuə̃lia
manmartʂʰɻ̩papəŋtʂɑut͡ɕi,manmərt͡sʰɹ̩puiauxuaŋ,manmanlɛt͡sʰɹ̩xaopupiaot͡sot͡ɕi,mɤ̃mɤ̃t͡ɕiɔt͡ɕʰioʔʔɑpəʔʔiɔt͡ɕiəʔsɑʔɦuoʔsɑʔ,manmartʂʰɻ̩piɛtʂaut͡ɕi,mæ̃xɔt͡ɕʰiəʔpəʔiɔtʂuɐʔt͡ɕiəʔ,mÃtiətʂʰɻ̩mApuɕiɔt͡ɕi,t͡ɕiamɛ̃nɕiətʂʰɻ̩ʂapulɔt͡ɕi,manmannesətmsɹ̩ankip,mɑŋɕiɤʐʔtʂʰʌʔpʌʔyŋtʂɔt͡ɕiʌʔ,memet͡ɕiɔt͡ɕiɪʔvəʔiɔt͡ɕiɪʔ,kʰuãnĩt͡siaʔmãikiŋt͡siaŋ,ununat͡siaʔbiantioʔkip,mæ̃ɕiart͡sʰəʔpəʔkæ̃t͡səʔt͡ɕiəʔ,marmartʂʰɻ̩pɑpietʂɑut͡ɕi,faihuɔmamazɹ̩naŋt͡sʰɹ̩,manmantit͡ɕʰimot͡ɕi,manɕiɤtʂʰɻ̩pɤtʂuɤt͡ɕi,mãmartʂʰɻ̩pautʂaut͡ɕi,manmansikamhoukɐp,mantiẽt͡ɕʰiɒmotʂʰot͡ɕi,m̃mãɛtʂʰɻ̩pɔt͡ɕjsa
t͡suotʂətʂʰɻ̩pitʂantʂətʂʰɻ̩xautiar,t͡sotaut͡ɕʰit͡sʰɹ̩pit͡santaut͡ɕʰit͡sʰɹ̩xauɕi,t͡sot͡ɕʰit͡sʰɹ̩iaopit͡sant͡ɕʰit͡sʰɹ̩xaotɛ,dzolɑʔt͡ɕʰioʔpiliəʔlɑʔt͡ɕʰioʔʔiɔhɔ,t͡suotʂautʂʰɻ̩pʰitʂantʂautʂʰɻ̩xau,t͡sʊtɔt͡ɕʰiəʔpɹ̩tʂæ̃tɔt͡ɕʰiəʔxɔsɹ̩,t͡sotətʂʰɻ̩pitʂÃtətʂʰɻ̩xɔtiə,t͡suəxalɔtʂʰɻ̩pitʂɛ̃ntʂətʂʰɻ̩xɔɕiəɯ,t͡sʰotenloisətpikʰitenloisətkuohau,t͡ɕyɤtiʌʔtʂʰʌʔpit͡sɑŋtiʌʔtʂʰʌʔxɔɕiɤʐʌʔ,zulaʔhet͡ɕʰiɪʔpililaʔhet͡ɕʰiɪʔhɔiɪʔŋe,t͡sopaŋkot͡siaʔhokuekʰiapaŋkot͡siaʔ,t͡setet͡siaʔpʰinkʰiatet͡siaʔkʰahose,t͡suɤtəʔt͡sʰəʔpit͡sæ̃təʔt͡sʰəʔxauɕiar,t͡suotʂətʂʰɻ̩pit͡santʂətʂʰɻ̩xɑu,zotat͡sʰɹ̩peigetat͡sʰɹ̩hɜle,t͡suotaut͡ɕʰipit͡santaut͡ɕʰixauɕie,t͡suɤtitʂʰɻ̩kant͡santitʂʰɻ̩xɔ,t͡suoxatʂʰɻ̩pilixatʂʰɻ̩sufu,t͡sʰɔt͡sysikhoukwɔkʰeit͡sysik,dzotɒt͡ɕʰiɒpit͡santɒt͡ɕʰiɒhaɯsie,t͡suxaliɔtʂʰɻ̩xɔpjt͡sãtʂɔtʂʰɻ̩xɔɛɕi
tʰatʂʰɻ̩ləfanlənitʂʰɻ̩meit͡sʰɻ̩,tʰat͡sʰɹ̩nofannoɲit͡sʰɹ̩nofanmeiiəu,lat͡sʰɹ̩aofanəulit͡sʰɹ̩aofanputɛɛ,tʰɑvɤ̃t͡ɕʰioʔkutənivɤ̃ʔiøpəʔʔiøt͡ɕʰioʔku,tʰatʂʰɻ̩fanlənitʂʰɻ̩fanləmeiiou,tʰat͡ɕʰiəʔkʊfæ̃ləlikʰət͡ɕʰiəʔkʊtʂə,tʰətʂʰɻ̩təfÃlənikətʂʰɻ̩tələ,tʰatʂʰɻ̩lɔfɛ̃nlɔɲitʂʰɻ̩lɔm̩iou,kisətlefannensətlefanmoa,uʌʔt͡ɕiɑtʂʰʌʔlɔxuɑŋlɑn̩tʂʰʌʔlɔxuɑŋlɑmʌʔlɑ,ɦivet͡ɕʰiɪʔkuləʔnoŋvet͡ɕʰiɪʔkuvaʔ,it͡siaʔhooulɯt͡siaʔhobue,it͡siaʔpalolit͡siaʔpŋ̩be,tʰat͡sʰəʔlaufæ̃lienit͡sʰəʔlieməʔla,tʰɑtʂʰɻ̩vanfanlənitʂʰɻ̩fanləmeiiou,givat͡sʰɹ̩ɦuɔbaɲit͡sʰɹ̩ɦuɔbameia,tʰat͡ɕʰiniaufanniaunit͡ɕʰiniaumau,tʰatʂʰɻ̩liɤfanliɤɲifantʂʰɻ̩liɤmɤiɤu,tʰatʂʰɻ̩liɛnitʂʰɻ̩liɛmo,kʰøysikt͡sɔfanlakneisikt͡sɔfanmeinɛ,tʰɒt͡ɕʰiɒkɒɸantɒɲit͡ɕʰiɒkɒɸanmaɯ,t͡ɕiafãtʂʰɻ̩paliɔɲitʂʰɻ̩liɔmɔ
tʰat͡ɕʰykuoʂɑŋxaiuomeit͡ɕʰykuo,tʰat͡ɕʰiekosaŋxaiŋomeit͡ɕʰieko,lakʰikosaŋxaiŋomeitɛt͡ɕʰiko,tʰɑzɑŋhɤt͡ɕʰikutəŋoɦɑməʔʔiøt͡ɕʰiku,tʰat͡ɕʰykuoʂaŋxaiuomeit͡ɕʰykuo,tʰatɔkʊʂɑ̃xɤʊmɐʔiɯtɔkʊ,tʰəkʰəkoʂÃxæoməukʰəko,lat͡souluəʂɑ̃xɛvəm̩iout͡ɕʰikuə,kihikuosoŋhoiŋaim̩tʰienhikuo,uʌʔt͡ɕiɑt͡ɕʰykueiʂɑŋxæŋiɤmʌʔlɑt͡ɕʰykuei,ɦizɑ̃het͡ɕʰikuləʔŋoɦm̩məʔt͡ɕʰiku,ikʰɯkuesiaŋhaiuabokʰɯkue,ikʰikuesioŋhaiguabokʰikue,tʰat͡ɕʰykuɤsɒ̃xaiɣɤməʔlat͡ɕʰykuɤ,tʰɑt͡ɕʰykuoʂɑŋxaiuomeit͡ɕʰykuo,gijihet͡saukubaŋ̩naut͡sauku,tʰakʰɯkuosaŋxaiŋuomaukʰɯkuo,tʰat͡ɕʰikuɤʂɑŋxaivɤmɤt͡ɕʰikuɤ,tʰat͡ɕʰikuoʂaŋxaiŋɤmot͡ɕʰikuo,kʰøyhøykwɔsœŋhɔiŋɔmeihøykwɔ,tʰɒtaɯkuʂɔnhaiŋomaɯtaɯku,t͡ɕiaʂɔ̃xɛt͡ɕʰjkunɔxɛmɔt͡ɕʰjku
