beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
t͡sɑutʂʰɑŋfan,t͡saufan,kot͡sao,t͡sɔvɤ̃,t͡sauʂaŋfan,t͡sɔfæ̃,t͡sɔtiɛ̃,t͡sɔfɛ̃n,sətt͡sau,t͡sɑufan,t͡sɔt͡ɕʰixuɑŋ,t͡sɔve,mẽt͡sa,t͡satŋ̩,t͡saut͡ɕʰiəŋfæ̃,tianɕin,tʰikuɔdzɹ̩,kuot͡sau,kant͡sɔfan,kãt͡saufã,t͡sout͡sʰan,t͡saɯɸan,t͡sɔfã
ʂɑŋufan,ufan,t͡soŋufan,t͡soŋvɤ̃,ʂaŋufan,tʂəŋfæ̃,t͡sɔfÃ,ʂɑ̃vu,sətt͡su,t͡suŋfan,suəuxuɑŋ,t͡soŋve,ziktau,tioŋtautŋ̩,sɒ̃vufæ̃,t͡sɑufan,net͡ɕɤudzɹ̩,t͡soŋfan,tʂuŋvufan,ʂaŋufã,ŋt͡sʰan,tʂənuɸan,v̩fã
uanfan,uanfan,uanfan,ɦivɤ̃,uanʂaŋfan,uæ̃fæ̃,uÃfÃ,xəfɛ̃n,sətia,iɑfan,xʌʔt͡ɕiɑŋxuɑŋ,ɦiave,mẽam,amtŋ̩,xəʔiefæ̃,vanfan,ɦaɕydzɹ̩,uanfan,ɕiavufan,xeiliɛfã,mant͡sʰan,iɒɸan,xɨfã
miantʰiɑur,mian,mian,miɤ̃,miantʰiaur,miɪ̃tʰiɔ,miɛ̃,miɛ̃ntʰiɔt͡sɹ̩,mien,miɛn,kɑŋmiɤ,mi,mĩ,bĩ,mie,miantʰiɑur,mi,miɛn,miantʰiɔr,miã,min,miẽ,miã
mantʰou,mantʰəu,mantʰəu,muõdei,mantʰou,tamʊ,mÃtʰəu,məmə,mantʰeu,momo,meimei,mødɤ,maŋtʰau,bantʰo,mɤmɤ,mantʰou,zaisaŋpuɔ,mantʰəu,mɤmɤ,tʂəŋmo,mantʰɐu,momo,mɔmɔ
pɑut͡sɹ̩,paut͡sɹ̩,paot͡sɹ̩,muõdei,paut͡sɹ̩,pɔt͡sə,pɔt͡sɹ̩,pɔt͡sɹ̩,pauve,pɑut͡sɹ̩,pɔʐʌʔ,mødɤ,pau,paua,paut͡səʔ,pɑut͡sə,mødɤu,paut͡sɹ̩,pɔt͡sɹ̩,paut͡sɹ̩,pau,paɯt͡sɹ̩,pɔt͡sɹ̩
xuntʰun,t͡sʰausəu,kʰuentʰen,ɦunden,xuəntuən,t͡ɕiɔt͡sə,t͡ɕiɔ,xũntʰũn,kiauve,t͡ɕʰintʰɔŋ,xuŋtuŋ,ɦuəŋdəŋ,kiau,piensip,xuəŋtuəŋ,xuəntʰuən,vaŋdaŋ,xuəntən,xuŋtʰuŋ,xuẽtʰuẽ,wɐntʰɐn,ɸəntən,xuə̃tuə̃
t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡ɕixuei,t͡sʰu,suÃt͡sʰu,t͡sʰu,sont͡sʰɹ̩,ɕiɛut͡ɕiu,t͡sʰəu,t͡sʰu,t͡sʰou,t͡sʰo,t͡sʰu,t͡sʰu,t͡sʰøy,t͡sʰəu,t͡sʰu,t͡sʰu,t͡sʰou,t͡sʰəɯ,t͡ɕʰy
t͡ɕiɑŋiou,t͡ɕiaŋiəu,t͡ɕiaŋiəu,t͡ɕiɑŋɦiø,t͡ɕʰiŋt͡ɕiaŋ,t͡ɕiɑ̃iɯ,t͡ɕʰĩt͡ɕiÃ,t͡ɕʰĩnt͡ɕiɑ̃,pʰakmi,t͡ɕiɔŋiu,t͡ɕiɑŋiəu,t͡ɕiãɦiɤ,siiu,tauiu,t͡ɕiɒ̃iəu,t͡ɕʰiŋt͡ɕiɑŋ,t͡ɕijau,t͡ɕiaŋiəu,t͡ɕʰiŋt͡ɕiɑŋ,t͡ɕiaŋiou,sijɐu,t͡sianiəɯ,t͡ɕiɔ̃iɯ
ian,ian,ianpa,ɦiɤ̃,ɕianian,iɪ̃,iɛ̃pA,iɛ̃n,iam,iɛn,ɕiɑŋiɤ,ɦi,iam,iam,ɕieie,ian,ji,iɛn,t͡ɕʰiŋt͡ɕiɑŋɕianian,iã,jim,iẽ,iã
