beijing_text.csv,chengdu_text.csv,guiyang_text.csv,hangzhou_text.csv,harbin_text.csv,hefei_text.csv,kunming_text.csv,lanzhou_text.csv,meixian_text.csv,pingyao_text.csv,shanghai_text.csv,shantou_text.csv,taibei_text.csv,taiyuan_text.csv,tianjin_text.csv,wenzhou_text.csv,wuhan_text.csv,wulumuqi_text.csv,xian_text.csv,xianggang_text.csv,xiangtan_text.csv,xining_text.csv
nakət͡soutɑurtəpaitaikuotəyɛʂɻ̩t͡ɕin,nakokannunipataikoteyet͡ɕin,akot͡səululɛpataikotɛiɛt͡ɕin,nɑkoʔt͡seilukəʔlɔkuõpəʔsenkɔdeikəʔdɑʔiɦyəʔzɹ̩kutəʔlɔ,neikɤt͡soutaurtipataikuotiyɛt͡ɕin,lakət͡sɯlutiəʔt͡ɕiɯpatatʂʰɑ̃kʊtiəʔyɐʔt͡ɕin,nəkəkolunəætAikonəiɛfAt͡ɕĩ,lɛkət͡soulutit͡ɕioupataikuətiyət͡ɕĩn,ket͡sakkuolukeŋinpakiemienauemtetiatkin,uʌʔxuæt͡səutɔtɔtiʌʔpɑuæɕyŋɔʐʌʔkueitiʌʔyʌʔt͡ɕiŋ,diɪʔɦəʔt͡sɤluɲiŋdʑiɤnedaikutəʔɦyɪʔt͡ɕiŋ,hɯkaikuelounaŋt͡suzukeŋtuikaitualaukaʔimãubopiaŋou,hitlelaŋt͡sioŋtuaiguiluan,vait͡səuləutəʔpatat͡sʰɒ̃kuɤtiəʔyəʔt͡ɕiəŋ,neikət͡soutɑurtipɑtɑikuotiyet͡ɕin,ɦɛløykunaŋdedajipuɔloŋjyt͡ɕaŋ,nakuot͡səunəutit͡səupataikuotɤyet͡ɕin,neikɤkanlutipatait͡ɕiɤuyɤkuɤtiianʂɻ̩,ukɤt͡soulutipatatʂʰaŋyɛkuoyɛt͡ɕiẽ,kɔkɔhaŋloukɛjɐnt͡sœŋkinlɐulamtoujytsɐt,nɒtʂɒt͡səɯnəɯtipɒdaiikutæyæt͡ɕin,nɛkɔt͡sɯlv̩t͡sɹ̩patajkutʂuyut͡ɕiə̃na
xoulainəpeifəŋt͡ɕioumeitʂɤlə,xəunainepefoŋmotefano,kanxəupɛfoŋmeitɛpanfala,ɦeiseilɤpoʔfoŋməʔʔiøbɤ̃fɑʔ,xouyərpeifəŋmeitʂaurlə,xɯlɤpɐʔfəŋmefɐʔt͡sɹ̩,xəuʂəupəfoŋməutəpÃfA,xoulɛpəfə̃nmətʂɻ̩lɔ,taumihapetfuŋmopʰanfappe,xəuʂəuʐʌʔpʌʔxuŋmʌʔpɑŋxuʌʔ,ɦɤsɤlepoʔfoŋɦm̩məʔt͡ɕiŋləʔ,maŋaupakhuaŋbopiaŋou,aulaipakhɔŋbohuatto,xəulaipeifəŋməʔfarlie,xouiərpeifəŋmeitʂɤlə,paihoŋnaubaho,xəunaipɤfoŋmautɤfat͡sɹ̩,tɔxɤutʰɤupeifɤŋmɤ=tɤuɲianliɤ,peifəŋmofarliɛ,hɐumeipɐkfuŋmoukɐilak,ɦəɯpəidəɯpæɸənmaɯtæbanɸɒtɒ,xɯlɛpɨfə̃mɔpãfaliɔ
tʂɻ̩xɑulatɑulə,t͡ɕiəut͡sɹ̩xausuanno,təuɹ̩t͡sɹ̩xaosuanla,t͡səʔhɔlɑtɔtə,tʂɻ̩xaut͡ɕiousuanlə,tʂəʔxɔt͡ɕiɯsʊ̃tʂə,tʂɻ̩xɔsuÃlə,tʂɻ̩xɔpatɔlɔ,,t͡sɹ̩xɔt͡ɕiəusuɑŋliɑ,t͡səʔhɔvəʔt͡sʰɹ̩ləʔ,t͡sihosuaŋou,t͡sihosuaʔsuaʔkʰi,t͡sɹ̩xaut͡ɕiəusuæ̃lie,iet͡ɕiousuanlə,t͡sɹ̩hɜɕiɦuɔ,t͡sɹ̩xaut͡səusanniau,iɤt͡ɕiɤut͡suɤpaliɤ,t͡sɹ̩teisuãliɛ,wɐijɐut͡sɐusynsoulak,tʂɻ̩haɯdziəɯsɔntɒ,t͡sɹ̩xɔsuãliɔ
kuoləitʂənt͡sɹ̩,konoit͡sən,koaoixaxa,kuləʔiəʔɕieʔəl,kuoləixuər,kʊiəʔʂɐʔ,koləiɕiɔxA,kuəlɔiʂɻ̩ɯ,kuoeitha,kueilɔiʌʔtʂəŋtʂəŋ,net͡soŋməʔ,keʔt͡sekkʰuŋkiã,boguaku,kuɤlauiəʔt͡səŋt͡səŋ,kuoləpuxuər,kujioŋ̩,kuoniauixar,iɤukuɤliɤitʂɤŋt͡sɹ̩,kuoliɛixa,kwɔt͡sɔjɐtt͡sɐn,kutɒikʰædʑi,kuliɔjkuakuaɛ
tʰaiiɑŋtʂʰulailə,tʰaiiaŋkoŋt͡sʰunaino,tʰaiiaŋtəut͡sʰulailo,tʰɤɦiɑŋt͡sʰɥəʔlɤtə,tʰaiiaŋtʂʰulailə,ʐəʔtʰɯtʂʰuəʔlɤtʂə,tʰæiÃtʂʰulælə,ʐɻ̩tʰoupfʰulɛlɔ,ŋittʰeut͡sʰutloiie,ʐʌʔtəuiɤt͡sʰuʌʔlælɑ,tʰaɦiãt͡sʰəʔleləʔ,ziktʰaut͡sʰuklaiou,tʰaiiɔŋt͡sʰutlailo,iɒ̃pʰɤt͡sʰuəʔlailie,tʰaiiɑŋt͡sʰulailə,tʰajisat͡ɕʰy,tʰaiiaŋt͡ɕʰynainiau,tʰaiiɑŋtʂʰulailiɤ,ərtʰoupfʰulailiɛ,jɐttʰɐut͡sʰøtlɐilak,tʰaiiant͡ɕʰynaitɒ,ʐɛtʰɯɛtʂʰv̩lɛliɔ
tʰaxuolalatənəmiʂai,tʰaxopʰiaupʰiauniisai,lazɛxoŋxoŋlɛisai,tʰɑholɑʔlɑʔtiʔiəʔsɤ,tʰaxuolatiiʂai,tʰaʐɐʔxuxuiəʔʂɤ,tʰəxolAlAnəʂæləixA,t͡sɻ̩lalatiiʂɛ,ŋittʰeulatlatkunitsai,uʌʔt͡ɕiɑxueiŋɔŋɔtiiʌʔsæ,ɦilaʔhuaʔhuaʔɦəʔiɪʔso,it͡sekepʰaktʰoŋkõisiokuehue,littʰaut͡sʰiaʔiamiamtitpʰak,tʰat͡səʔt͡sait͡saitiiəʔsaixɒ̃,tʰɑxuoʂɑuxuoliɑutiisai,miɛpiɛɲidɤut͡sɹ̩jisa,tʰaxuonanatiisai,tʰanuannuanxuɤxuɤtiisai,tʰaləŋkərtisai,kʰøyhiŋhɐphɐpkɐmjɐtsai,tʰɒhonɒnɒtiisai,t͡ɕiaʂɔxuə̃sɹ̩lat͡sɹ̩jsɛ
neikət͡soutɑurtəxoutaikeitʰuoɕialailə,nakokannunimasaŋt͡ɕiəupanat͡ɕianxəutaitʰono,akot͡səululɛlimatəupaat͡ɕianxəutaitʰoɕialaila,nɑkoʔt͡seilukəʔlɔkuõtɑŋmɑŋdʑiøpəʔkəʔdʑiɤ̃ɦeidɑʔitʰoʔloʔlɤtə,neikɤt͡soutaurtimaʂaŋt͡ɕioupaneit͡ɕianxoutaitʰipɕialailə,lakət͡sɯlutiəʔkəntʂət͡ɕiɯpaxɯtatʂʰɑ̃tʰuəʔtəʔtʂə,nəkəkolunəmAʂÃt͡ɕiəuænət͡ɕiɛ̃xəutAitʰoɕiAlælə,lɛkət͡soulutiixat͡sɹ̩t͡ɕioupatʰatilɛkəxoutaitʰuəxalɛlɔ,ket͡sakkuolukeŋinlitlakt͡sʰiupakisənhoŋkekʰianpʰunmienautʰothaloiie,uʌʔxuæt͡səutɔtɔtiʌʔt͡ɕiŋkɑŋt͡ɕiŋt͡ɕiəupɑuʌʔt͡ɕiɤt͡ɕiɤɕyŋɔʐʌʔtʰuʌʔxɑlæliɑ,diɪʔɦəʔt͡sɤluɲiŋmazɑ̃ʑiɤneidʑidaitʰəʔɦoleləʔ,hɯkaikuelounaŋt͡siaksit͡siutuikaitualaukaʔitʰɯŋtʰɯŋtiau,hitlelaŋtioʔkuãkinkahitliãtuaitʰŋloʔlai,vait͡səuləutəʔliəʔmat͡ɕiəupatat͡sʰɒ̃tʰuaʔxalailie,neikət͡soutɑurtimɑʂɑŋt͡ɕioupɑneit͡ɕiarxoutɑilieɕiɑlailə,ɦɛløykunaŋkyt͡ɕaŋdegaudajimuɔlotʰai,nakuot͡səunəutimasaŋt͡səupanat͡ɕiɛnxəutaitʰipɕianainiau,neikɤkanlutipaneit͡ɕiant͡sɹ̩xɤutailimert͡ɕiɤutʰuɤtioliɤ,ukɤt͡soulutisaitiʂoupuliau,kɔkɔhaŋloukɛjɐnlint͡sʰøyt͡sɐut͡sœŋkɔkinhɐutailɐut͡sʰøylɔklɐilak,nɒtʂɒt͡səɯnəɯtiniəɯʂɻ̩dziəɯpɒnɒtʂɒɦəɯiɸutʰokɒtɒ,nɛkɔt͡sɯlv̩t͡sɹ̩t͡ɕiə̃tʂɔt͡ɕiɯpanɛkɔxɯtajtʰutʂuxalɛliɔ
tʂeiɕiarpeifəŋtʂɻ̩xauʐəntʰoulə,t͡set͡sənt͡sɹ̩pefoŋt͡sɹ̩tezənsu,t͡sɹ̩xueipɛfoŋt͡sɹ̩xaot͡sʰenzen,poʔfoŋt͡səʔhɔdzenzen,tʂeiɕiarpeifəŋtʂɻ̩xautʂʰəŋʐən,tixuet͡səpɐʔfəŋtʂəʔxɔtʂʰənʐən,tʂɻ̩xAt͡sɹ̩pəfoŋtʂɻ̩tətʂʰə̃ʐə̃,tʂɻ̩ixapəfə̃ntʂɻ̩xɔʐə̃nfu,kehapetfuŋt͡sɹ̩hausənŋin,t͡sʌʔxɑxɑpʌʔxuŋt͡sɹ̩xɔtʂʰəŋʐəŋ,neməʔpoʔfoŋt͡səʔhɔzəŋɲiŋ,t͡siepakhuaŋbopiaŋt͡siãseŋziŋtã,t͡sitsiãpakhɔŋt͡siholinsu,t͡səʔxapeifəŋt͡sɹ̩xaut͡sʰəŋzəŋ,t͡seiɕiɑrpeifəŋt͡sɹ̩xɑuinlə,kinaŋjileipaihoŋt͡sɹ̩hɜzeŋɲaŋ,t͡sɤxarpɤfoŋt͡sɹ̩xaut͡sʰənnən,t͡seiixapeifɤŋt͡ɕiɤut͡sɹ̩teiʐɤŋtʂɑŋliɤ,maʂaŋt͡soupaxoutatʂʰaŋtʰuoxalailiɛ,neihapɐkfuŋwɐijɐusiŋjiŋ,koɦɒt͡sɹ̩pæɸəntʂɻ̩haɯinɕy,tʂɻ̩jkuapifə̃t͡sɹ̩xɔtʂʰə̃ʐə̃
tʰamliatʂuəŋt͡ɕianrxaiʂɻ̩tʰaiiɑŋtənəŋnaita,tʰamənniaŋkot͡soŋt͡ɕianxaisɹ̩tʰaiiaŋnipənsɹ̩ta,lamenliaŋkot͡soŋt͡ɕianxaisɹ̩tʰaiiaŋlɛpensɹ̩ta,tʰɑmenliɑŋkoʔtɑŋt͡soŋɦɑzɹ̩tʰɤɦiɑŋkəʔpenzɹ̩do,tʰamənliataŋtʂuŋxaiʂɻ̩tʰaiiaŋtitʂaŋtʂʰəŋta,tʰaliɑ̃kətɑ̃tʂəŋxɤʂɻ̩ʐəʔtʰɯpənsɹ̩ta,tʰəmə̃liÃkətÃtʂoŋxæʂɻ̩tʰæiÃnəpə̃sɹ̩tA,tʰamə̃nliɑ̃jətɑ̃pfə̃nxɛ̃nʂɻ̩ʐɻ̩tʰoutipə̃nʂɻ̩ta,kilioŋkeŋintoŋt͡suŋhanheŋittʰeukuoiupunsɹ̩,uʌʔt͡ɕiɑliɑŋxuætuət͡suŋxɑŋsɹ̩ʐʌʔtəuiɤtiʌʔpəŋsɹ̩tei,liãkadɤtɑ̃t͡soŋɦezɹ̩tʰaɦiãɦəʔpəŋzɹ̩du,inaŋnõnaŋhuãsiaziktʰaukaikʰaŋkʰueŋẽ,inlŋ̩etioŋkaniasitʰaiiɔŋpunsukʰaʔtua,tʰaməʔliakɤxaisɹ̩niaiɒ̃pʰɤtəʔpəŋsɹ̩ta,tʰɑmənliɑtɑŋt͡suŋxaisɹ̩tʰaiiɑŋtipənsɹ̩tɑ,giliɛkaivazɹ̩tʰajikepaŋzɹ̩dɤule,tʰaməmniaŋkuonitʰəuxaisɹ̩tʰaiiaŋtipənsɹ̩ta,tɔtʰɤulaitʰamɤŋliɑŋkɤʐɤŋtɑŋtʂuŋxansɹ̩tʰaiiɑŋtitʂɑŋtʂʰɤŋta,tʂeiixapeifəŋt͡sɹ̩teiʐẽliɛ,kʰøyteilœŋkɔt͡suŋkant͡suŋhɐijɐttʰɐukɛpunsitai,tʰɒinniankotʂənkanɦaiʂɻ̩tʰaiiantipanʂɻ̩dai,t͡ɕiamə̃liatɔ̃tʂuə̃xɛsɹ̩ʐɛtʰɯɛt͡sɹ̩pə̃sɹ̩ta
,,,,,,,,,,,,,,,,,,tʰaliataŋpfəŋnixaisɹ̩ərtʰoutipẽsɹ̩ta,,,
