dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,43,窗户,窗子 ,,tʂˈuɑ̃ tsə,tʂˈuɑ̃21 tsə,tʂˈuɑ̃21 tsə,tʂˈuɑ̃ tsə
HF,Hefei,44,门坎,门坎 ,,mən kˈæ̃,mən55 kˈæ̃24,mən55 kˈæ̃24,mən kˈæ̃
HF,Hefei,45,厕所,茅厕 ,,mɔ tsˈɿ,mɔ55 tsˈɿ21,mɔ55 tsˈɹ̩21,mɔ tsˈɹ̩
HF,Hefei,46,厨房,锅间 ,,kʊ tɕiɪ̃,kʊ21-24 tɕiɪ̃21,kʊ21-24 tɕiɪ̃21,kʊ tɕiɪ̃
HF,Hefei,47,烟囱,烟龙 ,,iɪ̃ ləŋ,iɪ̃21 ləŋ,iɪ̃21 ləŋ,iɪ̃ ləŋ
HF,Hefei,48,桌子,桌子 ,,tʂuɐʔ tsə,tʂuɐʔ5 tsə,tʂuɐʔ5 tsə,tʂuɐʔ tsə
HF,Hefei,49,楼梯,楼梯 ,,lɯ tsˈɿ,lɯ55 tsˈɿ21,lɯ55 tsˈɹ̩21,lɯ tsˈɹ̩
HF,Hefei,50,头,头,,tˈɯ,tˈɯ55,tˈɯ55,tˈɯ
HF,Hefei,51,额头,额脑头 ,,ʐɐʔ lɔ tˈɯ,ʐɐʔ5-2 lɔ24 tˈɯ55,ʐɐʔ5-2 lɔ24 tˈɯ55,ʐɐʔ lɔ tˈɯ
HF,Hefei,52,脸,脸 ,,liɪ̃,liɪ̃24,liɪ̃24,liɪ̃
HF,Hefei,53,鼻子,鼻子,,piəʔ tsə,piəʔ5 tsə,piəʔ5 tsə,piəʔ tsə
HF,Hefei,54,脖子,脑颈把 ,,lɔ tɕin pa,lɔ24 tɕin24 pa53,lɔ24 tɕin24 pa53,lɔ tɕin pa
HF,Hefei,55,左手,左手 ,,tsʊ ʂɯ,tsʊ24 ʂɯ24,tsʊ24 ʂɯ24,tsʊ ʂɯ
HF,Hefei,56,右手,右手 ,,iɯ ʂɯ,iɯ53 ʂɯ24,iɯ53 ʂɯ24,iɯ ʂɯ
HF,Hefei,57,拳头,拳头 ,,tɕˈyɪ̃ tˈɯ,tɕˈyɪ̃55 tˈɯ,tɕˈyɪ̃55 tˈɯ,tɕˈyɪ̃ tˈɯ
